Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_summary_mean,6.3,0.45825756949558405,0.6538470290550223,0.0379716030316121
w_summary_tmean,6.3,0.45825756949558405,0.6541893299257978,0.039656344691369326
w_vs_mean+ridge,6.3,0.45825756949558405,0.6543359630497287,0.038369243791116885
w_vs_tmean+ridge,6.3,0.45825756949558405,0.6546524970745459,0.039561500472263464
w_pp_mean,6.3,0.45825756949558405,0.6551580982729317,0.04231061477145563
w_pp_tmean,6.3,0.45825756949558405,0.655188230742944,0.042474237007469086
pp_tmean,6.3,0.45825756949558405,0.6552235633484876,0.04236195783071469
w_pp_median,6.3,0.45825756949558405,0.6552629349362595,0.04236534038920811
pp_median,6.3,0.45825756949558405,0.655305228707485,0.042337055190467966
pp_mean,6.3,0.45825756949558405,0.6553399201308174,0.042396828535261784
w_vs_median+ridge,6.3,0.45825756949558405,0.6556540961548061,0.04242965127425056
map_pp_mean,2.8,0.39999999999999997,0.6563166269728232,0.04349013954407585
map_pp_tmean,2.8,0.39999999999999997,0.6566688236486751,0.04334642721204885
w_summary_median,6.3,0.45825756949558405,0.6568070258621073,0.04182579541391675
map_pp_median,2.8,0.39999999999999997,0.6569171352824649,0.04337515629669981
pp_mode,6.3,0.45825756949558405,0.6569823216575605,0.04421891853239408
lasso,11.1,3.269556544854363,0.6573371490919923,0.040545373157388605
pca+ridge,3.9,2.0712315177207983,0.6583134566136342,0.03986559365800334
fpca+ridge,3.6,1.9595917942265426,0.6589218834917374,0.03954352673478062
w_pp_mode,6.3,0.45825756949558405,0.659036958263779,0.04260087689589968
map_pp_mode,2.8,0.39999999999999997,0.6590806671486436,0.04105474569225934
flin,7.0,1.4142135623730951,0.6599005687173601,0.03731268422407702
w_vs_mode+ridge,6.3,0.45825756949558405,0.6608045553052615,0.04428123791786179
pls+ridge,5.2,1.7776388834631178,0.6608194895275428,0.04039863720554436
map_summary_median,2.8,0.39999999999999997,0.6613319722518824,0.046354609323674974
apls,1.5,0.806225774829855,0.6623833933698435,0.03956849605290951
map_vs_tmean+ridge,2.8,0.39999999999999997,0.6624913694952939,0.042211134279040954
map_vs_median+ridge,2.8,0.39999999999999997,0.6628995719514743,0.04374656254692212
map_summary_tmean,2.8,0.39999999999999997,0.6630731407427081,0.04365177957535803
fpls+ridge,4.0,1.2649110640673518,0.6646562124852091,0.036600707533301594
manual+ridge,9.3,1.4177446878757824,0.6652748372520898,0.03869785426138161
fpls1,3.6,1.1135528725660044,0.6664573083781979,0.034778009551919314
map_vs_mean+ridge,2.8,0.39999999999999997,0.667147422826949,0.04198490107090927
pls1,2.9,0.7,0.6676281959624125,0.03378401426337706
map_summary_mean,2.8,0.39999999999999997,0.6684029092899799,0.04141641267470594
map_vs_mode+ridge,2.8,0.39999999999999997,0.6691441749224267,0.043642525522756416
map_summary_mode,2.8,0.39999999999999997,0.6697098039610955,0.04812198073250951
w_summary_mode,6.3,0.45825756949558405,0.6717791164382707,0.046367321026165594
