*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GBM(0, 1)
Model type: L2

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 411.691±6.308 s
Total execution time: 68.615 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
       lasso           11.1       3.2696     0.6573   0.0405
   pca+ridge            3.9       2.0712     0.6583   0.0399
  fpca+ridge            3.6       1.9596     0.6589   0.0395
        flin            7.0       1.4142     0.6599   0.0373
   pls+ridge            5.2       1.7776     0.6608   0.0404
        apls            1.5       0.8062     0.6624   0.0396
  fpls+ridge            4.0       1.2649     0.6647   0.0366
manual+ridge            9.3       1.4177     0.6653   0.0387
       fpls1            3.6       1.1136     0.6665   0.0348
        pls1            2.9       0.7000     0.6676   0.0338

-- RESULTS ERYN METHODS--
Mean split execution time: 303.990±4.537 s
Total execution time: 50.665 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
     w_summary_mean            6.3       0.4583     0.6538   0.0380
    w_summary_tmean            6.3       0.4583     0.6542   0.0397
    w_vs_mean+ridge            6.3       0.4583     0.6543   0.0384
   w_vs_tmean+ridge            6.3       0.4583     0.6547   0.0396
          w_pp_mean            6.3       0.4583     0.6552   0.0423
         w_pp_tmean            6.3       0.4583     0.6552   0.0425
           pp_tmean            6.3       0.4583     0.6552   0.0424
        w_pp_median            6.3       0.4583     0.6553   0.0424
          pp_median            6.3       0.4583     0.6553   0.0423
            pp_mean            6.3       0.4583     0.6553   0.0424
  w_vs_median+ridge            6.3       0.4583     0.6557   0.0424
        map_pp_mean            2.8       0.4000     0.6563   0.0435
       map_pp_tmean            2.8       0.4000     0.6567   0.0433
   w_summary_median            6.3       0.4583     0.6568   0.0418
      map_pp_median            2.8       0.4000     0.6569   0.0434
            pp_mode            6.3       0.4583     0.6570   0.0442
          w_pp_mode            6.3       0.4583     0.6590   0.0426
        map_pp_mode            2.8       0.4000     0.6591   0.0411
    w_vs_mode+ridge            6.3       0.4583     0.6608   0.0443
 map_summary_median            2.8       0.4000     0.6613   0.0464
 map_vs_tmean+ridge            2.8       0.4000     0.6625   0.0422
map_vs_median+ridge            2.8       0.4000     0.6629   0.0437
  map_summary_tmean            2.8       0.4000     0.6631   0.0437
  map_vs_mean+ridge            2.8       0.4000     0.6671   0.0420
   map_summary_mean            2.8       0.4000     0.6684   0.0414
  map_vs_mode+ridge            2.8       0.4000     0.6691   0.0436
   map_summary_mode            2.8       0.4000     0.6697   0.0481
     w_summary_mode            6.3       0.4583     0.6718   0.0464
