Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_pp_median,6.2,0.6,0.6623458310062751,0.03879062173618025
w_pp_tmean,6.2,0.6,0.6624293625673698,0.039062769192646035
w_pp_mean,6.2,0.6,0.6624786032293171,0.038930168592917244
pp_tmean,6.2,0.6,0.6625685319556214,0.03880934784852607
pp_mean,6.2,0.6,0.6626252493397278,0.039076040412399864
pp_median,6.2,0.6,0.662696634310536,0.03891176588496229
w_vs_median+ridge,6.2,0.6,0.6634898240185371,0.03742717570325428
map_summary_median,3.0,0.0,0.6645819597907285,0.03818207934605424
w_vs_mode+ridge,6.2,0.6,0.6649424789320301,0.037814056428856616
map_pp_mean,3.0,0.0,0.665018513375691,0.03826347389267572
map_summary_mean,3.0,0.0,0.665029403875626,0.03816224690254697
map_summary_tmean,3.0,0.0,0.6650689244383189,0.038321551649687494
map_pp_tmean,3.0,0.0,0.6651086050131253,0.03815396456085173
map_pp_median,3.0,0.0,0.6651309313370207,0.03838465911139681
map_vs_median+ridge,3.0,0.0,0.6651651061132201,0.037536887668330306
map_vs_mean+ridge,3.0,0.0,0.6651651061132201,0.037536887668330306
map_vs_tmean+ridge,3.0,0.0,0.6651651061132201,0.037536887668330306
map_vs_mode+ridge,3.0,0.0,0.6651651061132201,0.037536887668330306
w_pp_mode,6.2,0.6,0.665848603095964,0.03603144823953836
pp_mode,6.2,0.6,0.6659244738604458,0.03747299674973514
map_pp_mode,3.0,0.0,0.6697985203043186,0.03661850589231254
lasso,15.8,3.8157568056677826,0.6758903420932121,0.04589865101338658
map_summary_mode,3.0,0.0,0.6845949807867677,0.04992271866184691
w_summary_median,6.2,0.6,0.853459225125943,0.2261584203061037
w_vs_tmean+ridge,6.2,0.6,0.9862813319494788,0.18602844439952135
w_summary_tmean,6.2,0.6,1.0435278033727244,0.20967241427968794
apls,9.9,0.3,1.1004101813052016,0.09963295483116431
w_vs_mean+ridge,6.2,0.6,1.2034096207600762,0.190788288543544
w_summary_mean,6.2,0.6,1.2704238744005718,0.20165601947315367
w_summary_mode,6.2,0.6,1.330593720792308,0.4809361880121335
manual+ridge,6.0,0.0,1.4775212053660827,0.15407571501868955
pls+ridge,10.0,0.0,1.573695804090152,0.14149621742940333
pls1,10.0,0.0,1.5787704113580852,0.14473315671595666
fpca+ridge,9.4,0.66332495807108,2.3110777180245963,0.19421438130921284
pca+ridge,9.1,0.5385164807134504,2.315361652258666,0.1952699236073006
fpls1,8.6,1.2806248474865698,2.6544532242117276,0.18191785966993787
fpls+ridge,8.6,1.2806248474865698,2.668780298814457,0.1890609338017246
flin,9.0,0.0,3.433695599128235,0.38389205188816966
