*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GBM(0, 1)
Model type: RKHS

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 397.795±6.630 s
Total execution time: 66.299 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
       lasso           15.8       3.8158     0.6759   0.0459
        apls            9.9       0.3000     1.1004   0.0996
manual+ridge            6.0       0.0000     1.4775   0.1541
   pls+ridge           10.0       0.0000     1.5737   0.1415
        pls1           10.0       0.0000     1.5788   0.1447
  fpca+ridge            9.4       0.6633     2.3111   0.1942
   pca+ridge            9.1       0.5385     2.3154   0.1953
       fpls1            8.6       1.2806     2.6545   0.1819
  fpls+ridge            8.6       1.2806     2.6688   0.1891
        flin            9.0       0.0000     3.4337   0.3839

-- RESULTS ERYN METHODS--
Mean split execution time: 374.249±6.213 s
Total execution time: 62.375 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
        w_pp_median            6.2          0.6     0.6623   0.0388
         w_pp_tmean            6.2          0.6     0.6624   0.0391
          w_pp_mean            6.2          0.6     0.6625   0.0389
           pp_tmean            6.2          0.6     0.6626   0.0388
            pp_mean            6.2          0.6     0.6626   0.0391
          pp_median            6.2          0.6     0.6627   0.0389
  w_vs_median+ridge            6.2          0.6     0.6635   0.0374
 map_summary_median            3.0          0.0     0.6646   0.0382
    w_vs_mode+ridge            6.2          0.6     0.6649   0.0378
        map_pp_mean            3.0          0.0     0.6650   0.0383
   map_summary_mean            3.0          0.0     0.6650   0.0382
  map_summary_tmean            3.0          0.0     0.6651   0.0383
       map_pp_tmean            3.0          0.0     0.6651   0.0382
      map_pp_median            3.0          0.0     0.6651   0.0384
map_vs_median+ridge            3.0          0.0     0.6652   0.0375
  map_vs_mean+ridge            3.0          0.0     0.6652   0.0375
 map_vs_tmean+ridge            3.0          0.0     0.6652   0.0375
  map_vs_mode+ridge            3.0          0.0     0.6652   0.0375
          w_pp_mode            6.2          0.6     0.6658   0.0360
            pp_mode            6.2          0.6     0.6659   0.0375
        map_pp_mode            3.0          0.0     0.6698   0.0366
   map_summary_mode            3.0          0.0     0.6846   0.0499
   w_summary_median            6.2          0.6     0.8535   0.2262
   w_vs_tmean+ridge            6.2          0.6     0.9863   0.1860
    w_summary_tmean            6.2          0.6     1.0435   0.2097
    w_vs_mean+ridge            6.2          0.6     1.2034   0.1908
     w_summary_mean            6.2          0.6     1.2704   0.2017
     w_summary_mode            6.2          0.6     1.3306   0.4809
