Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_vs_tmean+ridge,6.0,0.4472135954999579,0.6514256214524488,0.03779352580687048
w_summary_tmean,6.0,0.4472135954999579,0.6518316604499234,0.03832277089273482
w_vs_median+ridge,6.0,0.4472135954999579,0.6522785628357344,0.036419513771714054
w_pp_tmean,6.0,0.4472135954999579,0.652323372318784,0.03696208688434005
w_pp_mean,6.0,0.4472135954999579,0.6523428811431672,0.03684938016445743
w_pp_median,6.0,0.4472135954999579,0.6523604021803717,0.03678097415578846
pp_tmean,6.0,0.4472135954999579,0.6524040247511154,0.03680187463080676
pp_median,6.0,0.4472135954999579,0.6524425576615347,0.036862141933736305
pp_mean,6.0,0.4472135954999579,0.6525296022843896,0.036956606996388364
w_vs_mean+ridge,6.0,0.4472135954999579,0.6532436240026003,0.03579629408131309
map_pp_mean,2.0,0.0,0.6533293468742415,0.036838144278954814
pp_mode,6.0,0.4472135954999579,0.653357034514773,0.03647065296634643
map_pp_tmean,2.0,0.0,0.6535752459785804,0.03697253768522022
map_pp_median,2.0,0.0,0.6535821226291413,0.03695795803237217
map_vs_tmean+ridge,2.0,0.0,0.654456108032448,0.036735433506678995
map_summary_tmean,2.0,0.0,0.6546238706607517,0.03588302507429261
w_summary_mean,6.0,0.4472135954999579,0.6549791798496616,0.035487085376286774
w_pp_mode,6.0,0.4472135954999579,0.6552790322861022,0.037008724562372496
map_pp_mode,2.0,0.0,0.6552972830364058,0.03454365421249902
map_summary_median,2.0,0.0,0.6553221078547649,0.03534562326904527
w_summary_median,6.0,0.4472135954999579,0.6553590397112498,0.03607099434429635
map_vs_median+ridge,2.0,0.0,0.6554782573901718,0.03518772152304027
map_vs_mean+ridge,2.0,0.0,0.658064452764213,0.035122254926863015
map_summary_mean,2.0,0.0,0.6590358870273677,0.03417313399313754
w_vs_mode+ridge,6.0,0.4472135954999579,0.6595234410925254,0.036783042125892194
map_vs_mode+ridge,2.0,0.0,0.660756374951889,0.03567819797931591
map_summary_mode,2.0,0.0,0.6632802113818214,0.03471299873346502
pca+ridge,6.7,3.132091952673165,0.6649078439978624,0.041313257787183075
manual+ridge,7.6,2.244994432064365,0.6650477028123427,0.03524878401793147
fpca+ridge,5.8,3.340658617698013,0.6651208424927039,0.04231584162275312
w_summary_mode,6.0,0.4472135954999579,0.6654159416460292,0.035622175963600095
flin,6.0,3.03315017762062,0.6661316737393024,0.03706850982743978
fpls+ridge,5.0,1.1832159566199232,0.6664549610185739,0.04014407096703999
lasso,10.5,7.723341245859851,0.6666650238686,0.037463510332588885
pls+ridge,6.0,2.4083189157584592,0.6667901444881794,0.03694653239988113
fpls1,4.7,1.7349351572897471,0.6712970507645706,0.040930881036215366
apls,1.9,1.3,0.6728544730585835,0.04474526597533008
pls1,2.8,0.9797958971132713,0.6778796650698964,0.03943443602356598
