*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GP(0, brownian_kernel)
Model type: L2

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 390.114±6.047 s
Total execution time: 65.019 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
   pca+ridge            6.7       3.1321     0.6649   0.0413
manual+ridge            7.6       2.2450     0.6650   0.0352
  fpca+ridge            5.8       3.3407     0.6651   0.0423
        flin            6.0       3.0332     0.6661   0.0371
  fpls+ridge            5.0       1.1832     0.6665   0.0401
       lasso           10.5       7.7233     0.6667   0.0375
   pls+ridge            6.0       2.4083     0.6668   0.0369
       fpls1            4.7       1.7349     0.6713   0.0409
        apls            1.9       1.3000     0.6729   0.0447
        pls1            2.8       0.9798     0.6779   0.0394

-- RESULTS ERYN METHODS--
Mean split execution time: 284.563±3.568 s
Total execution time: 47.427 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
   w_vs_tmean+ridge            6.0       0.4472     0.6514   0.0378
    w_summary_tmean            6.0       0.4472     0.6518   0.0383
  w_vs_median+ridge            6.0       0.4472     0.6523   0.0364
         w_pp_tmean            6.0       0.4472     0.6523   0.0370
          w_pp_mean            6.0       0.4472     0.6523   0.0368
        w_pp_median            6.0       0.4472     0.6524   0.0368
           pp_tmean            6.0       0.4472     0.6524   0.0368
          pp_median            6.0       0.4472     0.6524   0.0369
            pp_mean            6.0       0.4472     0.6525   0.0370
    w_vs_mean+ridge            6.0       0.4472     0.6532   0.0358
        map_pp_mean            2.0       0.0000     0.6533   0.0368
            pp_mode            6.0       0.4472     0.6534   0.0365
       map_pp_tmean            2.0       0.0000     0.6536   0.0370
      map_pp_median            2.0       0.0000     0.6536   0.0370
 map_vs_tmean+ridge            2.0       0.0000     0.6545   0.0367
  map_summary_tmean            2.0       0.0000     0.6546   0.0359
     w_summary_mean            6.0       0.4472     0.6550   0.0355
          w_pp_mode            6.0       0.4472     0.6553   0.0370
        map_pp_mode            2.0       0.0000     0.6553   0.0345
 map_summary_median            2.0       0.0000     0.6553   0.0353
   w_summary_median            6.0       0.4472     0.6554   0.0361
map_vs_median+ridge            2.0       0.0000     0.6555   0.0352
  map_vs_mean+ridge            2.0       0.0000     0.6581   0.0351
   map_summary_mean            2.0       0.0000     0.6590   0.0342
    w_vs_mode+ridge            6.0       0.4472     0.6595   0.0368
  map_vs_mode+ridge            2.0       0.0000     0.6608   0.0357
   map_summary_mode            2.0       0.0000     0.6633   0.0347
     w_summary_mode            6.0       0.4472     0.6654   0.0356
