Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_vs_mode+ridge,6.9,0.5385164807134504,0.6677693239517403,0.03975429204131692
map_vs_mode+ridge,3.0,0.0,0.6677857917255745,0.039688920251372245
map_vs_median+ridge,3.0,0.0,0.6677857917255745,0.039688920251372245
map_vs_mean+ridge,3.0,0.0,0.6677857917255745,0.039688920251372245
map_vs_tmean+ridge,3.0,0.0,0.6677857917255745,0.039688920251372245
w_vs_median+ridge,6.9,0.5385164807134504,0.6679139909759113,0.03909273877958435
w_pp_median,6.9,0.5385164807134504,0.668080675614504,0.0431700833935351
w_pp_tmean,6.9,0.5385164807134504,0.6681442964894132,0.043359950997658464
pp_tmean,6.9,0.5385164807134504,0.6682061433160932,0.04320320079906846
w_pp_mean,6.9,0.5385164807134504,0.6682499664975026,0.04322912358454851
pp_median,6.9,0.5385164807134504,0.6683136009384423,0.043144824851987965
pp_mean,6.9,0.5385164807134504,0.6683849262041975,0.043407027240713374
map_summary_mean,3.0,0.0,0.6693625633117841,0.04243876165640887
map_pp_mean,3.0,0.0,0.6693693203309105,0.04251722329356061
pp_mode,6.9,0.5385164807134504,0.6693785796711864,0.04403301700384105
map_summary_median,3.0,0.0,0.6693796428878172,0.042517226814160765
map_pp_tmean,3.0,0.0,0.6693978957465946,0.04249390884665799
map_summary_tmean,3.0,0.0,0.6695124457391433,0.042964844511881255
map_pp_median,3.0,0.0,0.6697849348598943,0.04273412102279123
w_pp_mode,6.9,0.5385164807134504,0.6699496014829698,0.04055599135870398
map_pp_mode,3.0,0.0,0.6715717746874311,0.041349901136794875
lasso,17.7,8.271033792700887,0.6800832501038043,0.04360270608329912
map_summary_mode,3.0,0.0,0.7196436365954901,0.05406964060058221
w_summary_median,6.9,0.5385164807134504,0.7344097363112865,0.07019275325090402
w_vs_tmean+ridge,6.9,0.5385164807134504,0.7954899874342033,0.0689162112627222
w_summary_tmean,6.9,0.5385164807134504,0.8308390063753389,0.07358927889551073
apls,10.0,0.0,0.8748320391240355,0.05346072484311135
w_vs_mean+ridge,6.9,0.5385164807134504,0.9661668242060657,0.09097238040148817
pls+ridge,10.0,0.0,0.995736025825536,0.056256788842315074
pls1,10.0,0.0,0.9972821211310011,0.051206474616498736
w_summary_mean,6.9,0.5385164807134504,1.014928257944131,0.0996687113772099
w_summary_mode,6.9,0.5385164807134504,1.1020357233750522,0.31790914375841156
manual+ridge,6.0,0.0,1.3416659104347106,0.13017927079062125
fpca+ridge,10.0,0.0,1.5119419627001156,0.0709084694038919
pca+ridge,10.0,0.0,1.5210121941893717,0.0702798283129824
fpls+ridge,10.0,0.0,1.607351403149827,0.07842322011691885
fpls1,10.0,0.0,1.6074327740166763,0.07813263284013158
flin,8.7,0.45825756949558394,1.8287112636247365,0.07339221571308953
