Estimator,Mean features,SD features,Mean RMSE,SD RMSE
pp_mode,5.8,0.39999999999999997,0.6576828571640692,0.03894090023047178
w_pp_median,5.8,0.39999999999999997,0.6586902540802989,0.03922582915834288
w_pp_tmean,5.8,0.39999999999999997,0.658737175404101,0.0394002957910739
w_pp_mean,5.8,0.39999999999999997,0.6587743717032081,0.03932335683544146
pp_tmean,5.8,0.39999999999999997,0.6588056432586921,0.03921708874810344
pp_mean,5.8,0.39999999999999997,0.658884785466092,0.039401890034569585
pp_median,5.8,0.39999999999999997,0.6589219160408221,0.03931632715907334
w_vs_median+ridge,5.8,0.39999999999999997,0.6596907645782127,0.03833060429806739
w_vs_tmean+ridge,5.8,0.39999999999999997,0.6600156962870317,0.038951405050161855
manual+ridge,5.9,2.773084924772409,0.6602566914164973,0.036702468869059084
map_pp_mean,1.9,0.3,0.6603666264440031,0.0380873719021792
w_pp_mode,5.8,0.39999999999999997,0.6605014914883054,0.038161397283938095
map_pp_tmean,1.9,0.3,0.6606029069929427,0.03797907043819656
map_pp_median,1.9,0.3,0.6607482992168275,0.03808680876784234
map_vs_tmean+ridge,1.9,0.3,0.6609618699643351,0.0374968407980446
w_vs_mean+ridge,5.8,0.39999999999999997,0.6610112487261446,0.039209864149247854
w_vs_mode+ridge,5.8,0.39999999999999997,0.6618387580967238,0.03912901131177705
map_vs_mean+ridge,1.9,0.3,0.6619391141466564,0.03740917664131201
map_vs_median+ridge,1.9,0.3,0.6625343068612286,0.03509879079920327
w_summary_median,5.8,0.39999999999999997,0.6636650514621086,0.03745865873636204
lasso,7.3,6.2136945531623935,0.6637197702715052,0.03544156617012818
fpls+ridge,5.4,2.416609194718914,0.6641624982678545,0.041735221662273864
pca+ridge,6.7,3.132091952673165,0.6641874855364395,0.04144591037879612
map_pp_mode,1.9,0.3,0.6642724266569227,0.03867752178184214
flin,2.9,2.662705391138869,0.664345024366552,0.037580294162323113
fpca+ridge,5.8,3.340658617698013,0.6651032640891956,0.04184255267775317
w_summary_tmean,5.8,0.39999999999999997,0.665144599044766,0.03902241462694126
map_vs_mode+ridge,1.9,0.3,0.6666154704329952,0.03951231857613858
pls+ridge,5.9,2.3853720883753127,0.669464641599941,0.03334184495955385
map_summary_median,1.9,0.3,0.6698224774999793,0.0371869086174238
fpls1,5.1,2.4677925358506134,0.6706785759353492,0.04393720433657371
pls1,3.4,1.562049935181331,0.6737712850124966,0.02972681493949958
map_summary_mode,1.9,0.3,0.6738321990672093,0.06460563251416251
w_summary_mode,5.8,0.39999999999999997,0.6743787712258502,0.06397801814631082
w_summary_mean,5.8,0.39999999999999997,0.6758038694707234,0.042881100615803594
map_summary_tmean,1.9,0.3,0.6788656082938263,0.03759187234740539
apls,2.4,2.4166091947189146,0.6839038147257809,0.04325436591003622
map_summary_mean,1.9,0.3,0.6971147538394952,0.04287750083313565
