Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_pp_tmean,6.5,0.6708203932499369,0.6755718663823782,0.03207429787344613
w_pp_median,6.5,0.6708203932499369,0.675588840926231,0.03186879575984174
w_pp_mode,6.5,0.6708203932499369,0.6756593274729297,0.030294633318896962
pp_tmean,6.5,0.6708203932499369,0.6757012206483487,0.032001818149835
w_pp_mean,6.5,0.6708203932499369,0.6757310514691033,0.03206627152456409
pp_median,6.5,0.6708203932499369,0.6757328867484818,0.03192187920069903
pp_mean,6.5,0.6708203932499369,0.6759002784993724,0.03211948860505663
pp_mode,6.5,0.6708203932499369,0.6771613753608748,0.0329354512489463
map_pp_tmean,3.7,0.45825756949558405,0.6773509834622026,0.031229383493628273
map_pp_mean,3.7,0.45825756949558405,0.6774300148171478,0.03134906012721949
map_pp_median,3.7,0.45825756949558405,0.6774546318929117,0.031196159040129033
w_vs_mode+ridge,6.5,0.6708203932499369,0.6782837284449945,0.0341116451672506
map_vs_mode+ridge,3.7,0.45825756949558405,0.6793522809641804,0.034479110881178464
map_pp_mode,3.7,0.45825756949558405,0.6803345012611692,0.028597867861388238
w_vs_median+ridge,6.5,0.6708203932499369,0.6814378705659424,0.030767108038348496
lasso,17.2,5.075431016179809,0.6877324578540616,0.03063163943303436
map_vs_median+ridge,3.7,0.45825756949558405,0.6945495146797537,0.02888298805763397
w_vs_tmean+ridge,6.5,0.6708203932499369,0.6968932415032348,0.029114231966767976
apls,9.4,0.9165151389911681,0.704008343941968,0.04352644034247204
w_vs_mean+ridge,6.5,0.6708203932499369,0.7161515607414589,0.027519009290264372
manual+ridge,6.0,0.0,0.7168571720944276,0.0404833764026886
pls+ridge,10.0,0.0,0.719710065972882,0.03572087180383165
pca+ridge,10.0,0.0,0.7198022486561901,0.03392453212404461
fpca+ridge,10.0,0.0,0.7208482990557364,0.03418587614268435
w_summary_mean,6.5,0.6708203932499369,0.7259098326460084,0.02924811554082085
pls1,9.6,0.4898979485566356,0.7304988077099388,0.04160579829062104
map_vs_tmean+ridge,3.7,0.45825756949558405,0.7467143584483997,0.048143579459143195
fpls1,10.0,0.0,0.7506115561166233,0.039740465202310234
fpls+ridge,10.0,0.0,0.7522119148021345,0.03853208019316932
w_summary_tmean,6.5,0.6708203932499369,0.7733868122690212,0.0538888938936523
map_vs_mean+ridge,3.7,0.45825756949558405,0.8032138813922775,0.07569141935718363
map_summary_mean,3.7,0.45825756949558405,0.8163204321578095,0.08630215635641508
flin,8.3,0.7810249675906655,0.8690428515634239,0.037028584426259954
map_summary_tmean,3.7,0.45825756949558405,0.9263298830447713,0.18315735612699513
w_summary_median,6.5,0.6708203932499369,0.9289724512730423,0.2801012673019522
map_summary_median,3.7,0.45825756949558405,1.366459966599765,0.7613379736064445
w_summary_mode,6.5,0.6708203932499369,2.3201472101957687,1.122894961341883
map_summary_mode,3.7,0.45825756949558405,3.621287648417981,2.600543452129984
