Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_summary_tmean,6.7,0.45825756949558405,0.6485195895651639,0.035702181568442765
w_vs_tmean+ridge,6.7,0.45825756949558405,0.6493330459537159,0.035709860762241655
w_pp_mean,6.7,0.45825756949558405,0.6507807270710382,0.03663788713383927
w_pp_tmean,6.7,0.45825756949558405,0.6508151895117659,0.036705314751993304
pp_tmean,6.7,0.45825756949558405,0.6508580836149097,0.036572910827103254
w_pp_median,6.7,0.45825756949558405,0.6508842324115959,0.03655381858132389
pp_median,6.7,0.45825756949558405,0.650914716461166,0.03664687330621829
pp_mean,6.7,0.45825756949558405,0.6509677037631941,0.03677007868612591
w_summary_mean,6.7,0.45825756949558405,0.6512688866222763,0.03534760598284497
pp_mode,6.7,0.45825756949558405,0.6520081245083885,0.033675184665510303
w_vs_mean+ridge,6.7,0.45825756949558405,0.6523619743704318,0.03597413666650203
w_pp_mode,6.7,0.45825756949558405,0.6524473502343057,0.03676070344184856
w_vs_median+ridge,6.7,0.45825756949558405,0.6532750915820679,0.03875785432378448
w_summary_median,6.7,0.45825756949558405,0.6541230373746354,0.03885713418614149
map_pp_mean,2.4,0.48989794855663565,0.6548751377570798,0.03843257168687906
map_pp_tmean,2.4,0.48989794855663565,0.6552160267607209,0.038308712496431994
map_pp_median,2.4,0.48989794855663565,0.6552805647648619,0.03838379712638497
map_pp_mode,2.4,0.48989794855663565,0.6555449414895745,0.036780313838930496
lasso,10.7,3.9,0.6585009912600356,0.03862717412996587
map_vs_tmean+ridge,2.4,0.48989794855663565,0.6588104664971447,0.03906845494397998
flin,8.6,1.3564659966250536,0.6619456618995212,0.0375293388230234
map_vs_median+ridge,2.4,0.48989794855663565,0.6624574999871691,0.042587795978681814
map_summary_tmean,2.4,0.48989794855663565,0.6626485905496716,0.03723474652629114
map_summary_median,2.4,0.48989794855663565,0.6630906273156062,0.04155545825661721
fpca+ridge,7.4,2.244994432064365,0.6632227548017872,0.04044284554368976
w_vs_mode+ridge,6.7,0.45825756949558405,0.6633507554425073,0.032262495175243745
map_vs_mean+ridge,2.4,0.48989794855663565,0.6634754266853083,0.035190174065587415
manual+ridge,7.9,0.3,0.6635717720931522,0.040440530031133085
pca+ridge,7.4,2.244994432064365,0.6646971028794599,0.04135159576718387
map_summary_mean,2.4,0.48989794855663565,0.6683858071576763,0.03391743803606983
pls+ridge,5.8,2.6758176320519302,0.6689008624506176,0.036934566952836576
map_vs_mode+ridge,2.4,0.48989794855663565,0.6696379174472534,0.03563305956234113
fpls+ridge,6.4,2.244994432064365,0.6724340421548836,0.03606717417902462
map_summary_mode,2.4,0.48989794855663565,0.6729622551210429,0.03519957736631051
fpls1,5.5,2.29128784747792,0.6766034872870892,0.037154312173451116
apls,2.9,1.2206555615733703,0.6808088630803744,0.04277827201091444
pls1,3.0,1.1832159566199232,0.6820224536546202,0.042605507804869096
w_summary_mode,6.7,0.45825756949558405,0.6867489692868542,0.026329054593450363
