Estimator,Mean features,SD features,Mean RMSE,SD RMSE
map_vs_median+ridge,3.5,0.5,0.663931846124018,0.040624447587170764
w_vs_median+ridge,8.7,0.6403124237432849,0.6664357165318112,0.04076351394447152
w_vs_mode+ridge,8.7,0.6403124237432849,0.6667849416559539,0.041291540525831325
map_vs_mode+ridge,3.5,0.5,0.667971669002112,0.042236453258894066
map_pp_median,3.5,0.5,0.6704262662343323,0.044875959825687
map_pp_tmean,3.5,0.5,0.6705697239168279,0.04500238896643509
map_pp_mean,3.5,0.5,0.6706569491634975,0.045362559290171085
map_pp_mode,3.5,0.5,0.6724974874422887,0.0451440218999002
pp_mode,8.7,0.6403124237432849,0.6740748632656374,0.0426673978124957
w_pp_mode,8.7,0.6403124237432849,0.6750754933696466,0.04091648310652744
pp_median,8.7,0.6403124237432849,0.675234254211224,0.04130934193554111
pp_tmean,8.7,0.6403124237432849,0.6758083537135972,0.04156201943028476
w_pp_median,8.7,0.6403124237432849,0.6759626090341271,0.0415885958556449
w_pp_tmean,8.7,0.6403124237432849,0.6761339020489452,0.04171382108552651
w_pp_mean,8.7,0.6403124237432849,0.6764456509801899,0.04169975385910919
pp_mean,8.7,0.6403124237432849,0.6766122599433235,0.04180753056583861
lasso,19.9,8.16639455328972,0.683728827924378,0.03141093969191189
map_summary_median,3.5,0.5,0.7242143143355587,0.10038327891065195
w_summary_median,8.7,0.6403124237432849,0.8696861398699884,0.113181310607119
map_vs_tmean+ridge,3.5,0.5,0.9705786310709483,0.39842800784729415
w_vs_tmean+ridge,8.7,0.6403124237432849,0.9871424631827338,0.13084724049062865
apls,9.6,0.4898979485566356,1.0047551835158195,0.05010138100743214
pls+ridge,10.0,0.0,1.064688507742265,0.05472719652543647
pls1,10.0,0.0,1.064859053776644,0.0547958060024333
map_summary_tmean,3.5,0.5,1.1070133137971443,0.5451235266391052
map_vs_mean+ridge,3.5,0.5,1.124737560066311,0.5984516994092186
w_summary_tmean,8.7,0.6403124237432849,1.1556874152771126,0.16353982150230453
w_vs_mean+ridge,8.7,0.6403124237432849,1.2463827378587384,0.23644674010607997
map_summary_mean,3.5,0.5,1.28557830202922,0.7571086719797621
w_summary_mean,8.7,0.6403124237432849,1.4347648975006047,0.2720462071337462
w_summary_mode,8.7,0.6403124237432849,1.6351786671092612,0.657386050767629
manual+ridge,6.0,0.0,1.718712495530216,0.1013398549146536
map_summary_mode,3.5,0.5,2.0385977720513315,1.9591381810965482
fpls1,8.8,0.8717797887081348,2.088392632942094,0.0993988523597284
fpls+ridge,8.9,0.8306623862918076,2.088969672181599,0.0975275532503733
fpca+ridge,9.3,0.9000000000000001,2.236730306151417,0.09615003271764928
pca+ridge,9.4,0.8,2.2486504351416845,0.09503748658752663
flin,9.0,0.0,2.388075328841365,0.07761379227590297
