*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GP(0, ornstein_uhlenbeck_kernel)
Model type: RKHS

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 390.217±2.757 s
Total execution time: 65.036 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
       lasso           19.9       8.1664     0.6837   0.0314
        apls            9.6       0.4899     1.0048   0.0501
   pls+ridge           10.0       0.0000     1.0647   0.0547
        pls1           10.0       0.0000     1.0649   0.0548
manual+ridge            6.0       0.0000     1.7187   0.1013
       fpls1            8.8       0.8718     2.0884   0.0994
  fpls+ridge            8.9       0.8307     2.0890   0.0975
  fpca+ridge            9.3       0.9000     2.2367   0.0962
   pca+ridge            9.4       0.8000     2.2487   0.0950
        flin            9.0       0.0000     2.3881   0.0776

-- RESULTS ERYN METHODS--
Mean split execution time: 439.132±11.086 s
Total execution time: 73.189 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
map_vs_median+ridge            3.5       0.5000     0.6639   0.0406
  w_vs_median+ridge            8.7       0.6403     0.6664   0.0408
    w_vs_mode+ridge            8.7       0.6403     0.6668   0.0413
  map_vs_mode+ridge            3.5       0.5000     0.6680   0.0422
      map_pp_median            3.5       0.5000     0.6704   0.0449
       map_pp_tmean            3.5       0.5000     0.6706   0.0450
        map_pp_mean            3.5       0.5000     0.6707   0.0454
        map_pp_mode            3.5       0.5000     0.6725   0.0451
            pp_mode            8.7       0.6403     0.6741   0.0427
          w_pp_mode            8.7       0.6403     0.6751   0.0409
          pp_median            8.7       0.6403     0.6752   0.0413
           pp_tmean            8.7       0.6403     0.6758   0.0416
        w_pp_median            8.7       0.6403     0.6760   0.0416
         w_pp_tmean            8.7       0.6403     0.6761   0.0417
          w_pp_mean            8.7       0.6403     0.6764   0.0417
            pp_mean            8.7       0.6403     0.6766   0.0418
 map_summary_median            3.5       0.5000     0.7242   0.1004
   w_summary_median            8.7       0.6403     0.8697   0.1132
 map_vs_tmean+ridge            3.5       0.5000     0.9706   0.3984
   w_vs_tmean+ridge            8.7       0.6403     0.9871   0.1308
  map_summary_tmean            3.5       0.5000     1.1070   0.5451
  map_vs_mean+ridge            3.5       0.5000     1.1247   0.5985
    w_summary_tmean            8.7       0.6403     1.1557   0.1635
    w_vs_mean+ridge            8.7       0.6403     1.2464   0.2364
   map_summary_mean            3.5       0.5000     1.2856   0.7571
     w_summary_mean            8.7       0.6403     1.4348   0.2720
     w_summary_mode            8.7       0.6403     1.6352   0.6574
   map_summary_mode            3.5       0.5000     2.0386   1.9591
