Estimator,Mean features,SD features,Mean RMSE,SD RMSE
map_pp_mean,4.7,0.6403124237432849,0.6604710826664494,0.03928380051680248
map_pp_tmean,4.7,0.6403124237432849,0.660549777093977,0.03887902468916986
map_pp_median,4.7,0.6403124237432849,0.6606253495873338,0.03929114819192817
flin,5.9,1.7578395831246947,0.6606364900815249,0.03971102890426956
w_pp_mode,9.4,0.4898979485566356,0.6610681861038474,0.038612193194131644
w_pp_tmean,9.4,0.4898979485566356,0.6611502823942141,0.039163695308506656
w_pp_median,9.4,0.4898979485566356,0.6611975382122344,0.039051275756041316
w_pp_mean,9.4,0.4898979485566356,0.6612009695230949,0.03905130110266922
pp_tmean,9.4,0.4898979485566356,0.6612130894579581,0.03899441804774281
pp_mean,9.4,0.4898979485566356,0.6613197414320711,0.039230900371931686
pp_median,9.4,0.4898979485566356,0.6613573554503881,0.03909796010256576
map_pp_mode,4.7,0.6403124237432849,0.6623074012625128,0.03660240359849245
pp_mode,9.4,0.4898979485566356,0.6634329181762785,0.03668897487427082
lasso,26.3,7.7207512587830465,0.6644981249328918,0.04131564120424393
pls+ridge,6.3,2.0518284528683193,0.6651908169939612,0.04355176975121667
manual+ridge,5.6,2.0591260281974,0.6655264377995761,0.04566138536928454
fpca+ridge,7.5,1.5,0.665639311638563,0.044504879743664336
pca+ridge,7.1,2.022374841615669,0.6664130785135896,0.04365715594723342
fpls+ridge,4.3,3.3778691508109078,0.6679928023560715,0.0469135669957732
pls1,6.0,2.1447610589527217,0.668889456942394,0.04672225482431697
fpls1,4.3,3.3778691508109078,0.6706672780000826,0.047714794468082945
w_vs_median+ridge,9.4,0.4898979485566356,0.672004970884825,0.03943285996661705
w_vs_mode+ridge,9.4,0.4898979485566356,0.6728992199043582,0.046043776778082336
map_vs_tmean+ridge,4.7,0.6403124237432849,0.6737619857516673,0.041384780639130044
apls,6.8,2.3579652245103193,0.6744231965167483,0.0410360951594565
w_vs_tmean+ridge,9.4,0.4898979485566356,0.6745472238499934,0.03914990502844044
map_vs_mean+ridge,4.7,0.6403124237432849,0.6756787313138428,0.04136499172305443
w_vs_mean+ridge,9.4,0.4898979485566356,0.676119552207516,0.03998871340657458
map_vs_median+ridge,4.7,0.6403124237432849,0.6775970532336021,0.041834728763310736
map_vs_mode+ridge,4.7,0.6403124237432849,0.7041557836976322,0.058067564985312924
w_summary_median,9.4,0.4898979485566356,0.7645665971541413,0.11577267900038855
w_summary_tmean,9.4,0.4898979485566356,0.7886467415531485,0.13096394213178886
w_summary_mean,9.4,0.4898979485566356,0.8267165508251916,0.13183357084832997
w_summary_mode,9.4,0.4898979485566356,0.8513797993999207,0.13726316437614647
map_summary_tmean,4.7,0.6403124237432849,0.8979743834522657,0.19879909256270348
map_summary_median,4.7,0.6403124237432849,0.9688582945252282,0.3683131033113897
map_summary_mean,4.7,0.6403124237432849,0.9747989262171284,0.20064375758616596
map_summary_mode,4.7,0.6403124237432849,1.0057462856355217,0.41140140085727583
