*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GP(0, squared_exponential_kernel)
Model type: L2

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 172.755±2.565 s
Total execution time: 28.793 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
        flin            5.9       1.7578     0.6606   0.0397
       lasso           26.3       7.7208     0.6645   0.0413
   pls+ridge            6.3       2.0518     0.6652   0.0436
manual+ridge            5.6       2.0591     0.6655   0.0457
  fpca+ridge            7.5       1.5000     0.6656   0.0445
   pca+ridge            7.1       2.0224     0.6664   0.0437
  fpls+ridge            4.3       3.3779     0.6680   0.0469
        pls1            6.0       2.1448     0.6689   0.0467
       fpls1            4.3       3.3779     0.6707   0.0477
        apls            6.8       2.3580     0.6744   0.0410

-- RESULTS ERYN METHODS--
Mean split execution time: 221.970±4.446 s
Total execution time: 36.995 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
        map_pp_mean            4.7       0.6403     0.6605   0.0393
       map_pp_tmean            4.7       0.6403     0.6605   0.0389
      map_pp_median            4.7       0.6403     0.6606   0.0393
          w_pp_mode            9.4       0.4899     0.6611   0.0386
         w_pp_tmean            9.4       0.4899     0.6612   0.0392
        w_pp_median            9.4       0.4899     0.6612   0.0391
          w_pp_mean            9.4       0.4899     0.6612   0.0391
           pp_tmean            9.4       0.4899     0.6612   0.0390
            pp_mean            9.4       0.4899     0.6613   0.0392
          pp_median            9.4       0.4899     0.6614   0.0391
        map_pp_mode            4.7       0.6403     0.6623   0.0366
            pp_mode            9.4       0.4899     0.6634   0.0367
  w_vs_median+ridge            9.4       0.4899     0.6720   0.0394
    w_vs_mode+ridge            9.4       0.4899     0.6729   0.0460
 map_vs_tmean+ridge            4.7       0.6403     0.6738   0.0414
   w_vs_tmean+ridge            9.4       0.4899     0.6745   0.0391
  map_vs_mean+ridge            4.7       0.6403     0.6757   0.0414
    w_vs_mean+ridge            9.4       0.4899     0.6761   0.0400
map_vs_median+ridge            4.7       0.6403     0.6776   0.0418
  map_vs_mode+ridge            4.7       0.6403     0.7042   0.0581
   w_summary_median            9.4       0.4899     0.7646   0.1158
    w_summary_tmean            9.4       0.4899     0.7886   0.1310
     w_summary_mean            9.4       0.4899     0.8267   0.1318
     w_summary_mode            9.4       0.4899     0.8514   0.1373
  map_summary_tmean            4.7       0.6403     0.8980   0.1988
 map_summary_median            4.7       0.6403     0.9689   0.3683
   map_summary_mean            4.7       0.6403     0.9748   0.2006
   map_summary_mode            4.7       0.6403     1.0057   0.4114
