Estimator,Mean features,SD features,Mean RMSE,SD RMSE
pp_mode,10.0,0.0,0.6614794007543499,0.03699008509891015
w_pp_tmean,10.0,0.0,0.661668965469936,0.03955797636000922
w_pp_median,10.0,0.0,0.6616830972709726,0.03954552195062085
pp_tmean,10.0,0.0,0.6617376341992433,0.039418120824852146
pp_median,10.0,0.0,0.6617636606484905,0.039427593524516254
w_pp_mean,10.0,0.0,0.6617937489656704,0.039428608274527904
pp_mean,10.0,0.0,0.6619623113080294,0.03962010199552584
w_pp_mode,10.0,0.0,0.6638269467220803,0.03971424921577962
w_vs_median+ridge,10.0,0.0,0.6660495268162372,0.04110828629795528
map_pp_mean,5.0,0.7745966692414834,0.6663460314997957,0.03976444404118146
map_pp_tmean,5.0,0.7745966692414834,0.666414467506448,0.03934239131344407
map_pp_median,5.0,0.7745966692414834,0.6665085512422276,0.03961863897587215
fpls+ridge,9.0,0.0,0.6691588120498191,0.04564848688192921
fpls1,9.0,0.0,0.6698148658858194,0.0459335451534201
map_pp_mode,5.0,0.7745966692414834,0.6701057006470525,0.0423107100502932
lasso,53.8,8.255906976220118,0.6713999565770221,0.04208562207859112
w_vs_tmean+ridge,10.0,0.0,0.6716119729152652,0.03692530028049335
apls,9.0,0.0,0.6722959299440043,0.04539882354003322
fpca+ridge,9.0,0.0,0.6726650937805629,0.045023041714769854
pca+ridge,9.0,0.0,0.6728063542170966,0.045415808567760965
pls1,9.1,0.3,0.6729617465339496,0.044666538426252636
manual+ridge,9.2,0.39999999999999997,0.6735600336469283,0.04163721571116196
pls+ridge,9.1,0.3,0.673632677466602,0.044420426349353746
w_vs_mean+ridge,10.0,0.0,0.6792944669369673,0.03811413653403199
w_vs_mode+ridge,10.0,0.0,0.6801169626649961,0.05001651871756953
map_vs_median+ridge,5.0,0.7745966692414834,0.6995100558305347,0.06332002820281048
map_vs_mode+ridge,5.0,0.7745966692414834,0.7066109243646026,0.036608735503273364
map_vs_tmean+ridge,5.0,0.7745966692414834,0.7366726055408896,0.09327632646044634
map_vs_mean+ridge,5.0,0.7745966692414834,0.7566943631850004,0.115991673908799
flin,10.0,0.0,0.9572686132013795,0.04440684582638221
w_summary_median,10.0,0.0,1.1290165948856308,0.37925695563630984
w_summary_tmean,10.0,0.0,1.1356244392841175,0.18722254819101034
map_summary_median,5.0,0.7745966692414834,1.2607513510687671,0.3657028615421214
map_summary_tmean,5.0,0.7745966692414834,1.3430686811888815,0.39287456179121255
w_summary_mean,10.0,0.0,1.6508037715224149,0.2747528543473105
map_summary_mean,5.0,0.7745966692414834,2.1703760558835206,0.4169097213154558
w_summary_mode,10.0,0.0,2.7009403053980767,1.7897931484851552
map_summary_mode,5.0,0.7745966692414834,5.318337237751204,6.09426786061425
