Estimator,Mean features,SD features,Mean RMSE,SD RMSE
pls+ridge,7.5,2.0615528128088303,0.2254172432869752,0.020897063011102782
pp_tmean,10.0,0.0,0.22682351310857266,0.01730083667490592
pp_mean,10.0,0.0,0.22685123578134397,0.017167691742920935
w_pp_tmean,10.0,0.0,0.2268646229269419,0.017632161605168697
w_pp_median,10.0,0.0,0.2269303461924456,0.01774133594677841
pp_median,10.0,0.0,0.2269429592620457,0.01762878742854861
w_pp_mean,10.0,0.0,0.2270053638969968,0.017165990305481667
w_pp_mode,10.0,0.0,0.22904793580711055,0.01845543490402002
map_pp_tmean,4.9,0.9433981132056604,0.23074675754640844,0.01721671861251102
map_pp_median,4.9,0.9433981132056604,0.23097724358458552,0.017263918166672006
map_pp_mean,4.9,0.9433981132056604,0.2311408337840825,0.017299046413477435
pp_mode,10.0,0.0,0.23190344777652094,0.020412375535869474
pls1,4.9,1.374772708486752,0.23209078274720213,0.023715022019641978
apls,5.0,0.8944271909999159,0.233326765714256,0.026438561141335526
pca+ridge,6.4,2.0591260281974,0.2334960146345367,0.023665596440742075
map_pp_mode,4.9,0.9433981132056604,0.23761668810825784,0.01854468971877862
fpls+ridge,6.3,1.7349351572897471,0.24093480364138636,0.01831724707075598
lasso,28.4,4.431703961232068,0.24197375837346285,0.025586666223367704
w_vs_mode+ridge,10.0,0.0,0.2436773060735828,0.020126250518805826
fpls1,5.6,1.0198039027185568,0.24784401113032448,0.022152031201755577
w_vs_median+ridge,10.0,0.0,0.24947146779380175,0.03001233909762109
manual+ridge,9.2,0.4,0.26838159991591964,0.020763169569931416
map_vs_mode+ridge,4.9,0.9433981132056604,0.2726421356661713,0.029166637783199695
w_vs_mean+ridge,10.0,0.0,0.2822192270948075,0.05520373351113813
w_vs_tmean+ridge,10.0,0.0,0.2891496043303399,0.06098711038306129
map_vs_mean+ridge,4.9,0.9433981132056604,0.2893115470863912,0.043636106728792756
map_vs_tmean+ridge,4.9,0.9433981132056604,0.29088312236837566,0.020701047443815925
map_vs_median+ridge,4.9,0.9433981132056604,0.29974475441046944,0.06719165637350835
fpca+ridge,7.9,2.2561028345356955,0.3065484158655182,0.055458434896634864
w_summary_median,10.0,0.0,0.47371922393383803,0.18242538128482064
w_summary_tmean,10.0,0.0,0.6501759777413141,0.19207527619248327
map_summary_tmean,4.9,0.9433981132056604,0.8079265145005762,0.27377454255394584
w_summary_mean,10.0,0.0,0.8548483415296365,0.37436356282912964
map_summary_median,4.9,0.9433981132056604,0.9088941484825227,0.3675311409898437
w_summary_mode,10.0,0.0,1.0486721249504156,0.4935569287954889
map_summary_mean,4.9,0.9433981132056604,1.1457631172966976,0.8500799285795838
flin,6.1,0.3,1.2352520888319913,0.13813831729983292
map_summary_mode,4.9,0.9433981132056604,2.1607993119006275,1.3678762415282255
