Estimator,Mean features,SD features,Mean RMSE,SD RMSE
fpls+ridge,5.5,0.5,1.9618292100318502,0.20185424316960424
flin,8.6,0.66332495807108,1.9655788946290678,0.1984811921736962
fpls1,5.4,0.4898979485566356,1.9715884070954044,0.20059583675557105
lasso,16.3,6.738694235532579,1.9845182323682171,0.22638185819612405
pp_mean,9.4,0.4898979485566356,1.9862497500093554,0.2190623075452593
w_pp_mean,9.4,0.4898979485566356,1.9862790810080302,0.21926445709437187
w_pp_tmean,9.4,0.4898979485566356,1.9863223528622065,0.21950405837001835
pp_tmean,9.4,0.4898979485566356,1.9866256473588357,0.21909404353723047
w_pp_median,9.4,0.4898979485566356,1.9878057030252383,0.22032989869147554
pp_median,9.4,0.4898979485566356,1.9887745155656185,0.21931176653255804
map_pp_mean,4.8,0.39999999999999997,1.9891078531585975,0.21394457660809643
map_pp_tmean,4.8,0.39999999999999997,1.9901109057282818,0.2137701614384773
map_pp_median,4.8,0.39999999999999997,1.9917021422122718,0.21391261574666393
pls+ridge,6.5,1.02469507659596,1.997539486267462,0.2083117044237526
w_pp_mode,9.4,0.4898979485566356,2.0014911383594383,0.2119142970308836
map_pp_mode,4.8,0.39999999999999997,2.0035183836140145,0.2217689393062727
pp_mode,9.4,0.4898979485566356,2.0111211637228523,0.22066887270578395
w_vs_median+ridge,9.4,0.4898979485566356,2.015417148483882,0.21775487017212497
w_vs_tmean+ridge,9.4,0.4898979485566356,2.0161060790614456,0.21524221240430053
w_vs_mode+ridge,9.4,0.4898979485566356,2.0189960181172752,0.22019205356420457
w_vs_mean+ridge,9.4,0.4898979485566356,2.0260164500638873,0.21724248116785458
apls,8.6,1.42828568570857,2.0308118626519462,0.18919508524078302
pca+ridge,9.7,0.9,2.033714021448856,0.21860418626790243
pls1,5.6,0.4898979485566356,2.0366861997063905,0.21891854835431573
manual+ridge,8.1,1.2206555615733703,2.0410129921542346,0.21431035740565507
fpca+ridge,9.8,0.4,2.0537432616862397,0.22600894146397282
map_vs_tmean+ridge,4.8,0.39999999999999997,2.0608875695948305,0.21387141533104462
map_vs_median+ridge,4.8,0.39999999999999997,2.061178355748573,0.21162939340430523
map_vs_mode+ridge,4.8,0.39999999999999997,2.0613846764485855,0.16813884028490464
map_vs_mean+ridge,4.8,0.39999999999999997,2.071550679977909,0.21672729779795388
w_summary_mode,9.4,0.4898979485566356,4.151149052633742,1.3147036170123354
w_summary_median,9.4,0.4898979485566356,5.170836924373044,4.258023486589536
map_summary_mode,4.8,0.39999999999999997,6.450274651041015,4.291068924149958
map_summary_median,4.8,0.39999999999999997,7.531217208357501,9.47129650584768
map_summary_mean,4.8,0.39999999999999997,28.71964296308122,38.1140020536061
w_summary_tmean,9.4,0.4898979485566356,49.4125981401916,84.61185209773296
w_summary_mean,9.4,0.4898979485566356,51.6252091036968,83.07957865796558
map_summary_tmean,4.8,0.39999999999999997,63.709836183091646,135.366147985159
