Estimator,Mean features,SD features,Mean RMSE,SD RMSE
pls+ridge,9.3,1.4177446878757824,2.535651614139409,0.2360018312437621
manual+ridge,9.1,0.3,2.5858289096469718,0.2697169785472731
fpls+ridge,4.2,2.4,2.5947729930899666,0.24887650585973786
fpls1,4.1,2.2113344387495983,2.6048085348778875,0.26164218017269614
pls1,7.9,1.8138357147217055,2.6056565693037057,0.28323610424906626
apls,6.8,0.9797958971132713,2.641480147922979,0.16461285928832975
fpca+ridge,7.7,0.9,2.6571449636464,0.18894136695167835
pca+ridge,7.6,1.0198039027185568,2.711650828719915,0.18304257567003662
pp_mode,10.0,0.0,2.7349902637941996,0.2656965044997415
w_pp_mean,10.0,0.0,2.735474075065004,0.2614365837992593
pp_tmean,10.0,0.0,2.7356290855835015,0.26308467422631515
pp_median,10.0,0.0,2.735994263193515,0.26392425901243455
pp_mean,10.0,0.0,2.7361073340622704,0.26253658083951664
w_pp_tmean,10.0,0.0,2.7363123853811775,0.2623933422160567
w_pp_median,10.0,0.0,2.736350043050497,0.2641724818144084
w_pp_mode,10.0,0.0,2.7390513575669537,0.2677895476140098
map_pp_median,5.8,0.7483314773547882,2.760556202643351,0.2667631857270489
map_pp_tmean,5.8,0.7483314773547882,2.7612194633907503,0.26567834785296573
map_pp_mean,5.8,0.7483314773547882,2.7612362748326733,0.2644504099495256
w_vs_mode+ridge,10.0,0.0,2.7666902486699936,0.3142661060812652
map_pp_mode,5.8,0.7483314773547882,2.783169969748185,0.26447293039916026
w_vs_median+ridge,10.0,0.0,2.8237257638619266,0.3126254413493491
w_vs_tmean+ridge,10.0,0.0,2.833574447450804,0.27080384925701745
lasso,61.0,5.118593556827891,2.841890700058396,0.3518129568664626
w_vs_mean+ridge,10.0,0.0,2.843772083003336,0.2815734104234215
map_vs_mode+ridge,5.8,0.7483314773547882,2.84988260067405,0.37754816533979224
map_vs_tmean+ridge,5.8,0.7483314773547882,2.8541904185907496,0.3025466913876159
map_vs_mean+ridge,5.8,0.7483314773547882,2.8639225004035,0.3007152714894798
map_vs_median+ridge,5.8,0.7483314773547882,2.8706465140799153,0.3737162079168718
w_summary_median,10.0,0.0,6.401381518479394,4.573533537436963
flin,6.0,0.0,7.486398102148991,0.6475931130274549
w_summary_tmean,10.0,0.0,7.8423012474689155,2.547480870579224
map_summary_tmean,5.8,0.7483314773547882,8.08155472999244,3.118137175478355
map_summary_mean,5.8,0.7483314773547882,9.132776566130351,3.5094879034591138
w_summary_mean,10.0,0.0,9.162118364225233,2.7526228408719438
map_summary_median,5.8,0.7483314773547882,9.564661202595351,5.231048369092558
w_summary_mode,10.0,0.0,12.407826099294843,15.101239967846231
map_summary_mode,5.8,0.7483314773547882,24.533154166109,18.461652237123985
