Estimator,Mean features,SD features,Mean RMSE,SD RMSE
map_pp_mode,3.0,0.0,0.6508564621034347,0.04096023700746833
w_summary_mean,7.2,0.6,0.6514355931073396,0.03763290271951561
map_summary_mean,3.0,0.0,0.6514561898054868,0.039803590187226255
w_summary_tmean,7.2,0.6,0.6518590808569876,0.04063269679654883
map_summary_median,3.0,0.0,0.6520684346056864,0.0424713824727678
map_vs_mean+ridge,3.0,0.0,0.65224971825479,0.039760080664440846
w_vs_mean+ridge,7.2,0.6,0.6525518138117702,0.038609591976209355
map_pp_mean,3.0,0.0,0.652618850093978,0.04150848876386645
w_vs_tmean+ridge,7.2,0.6,0.6527527498828978,0.040918090033681964
map_pp_tmean,3.0,0.0,0.6527683776040551,0.04154914152663432
map_pp_median,3.0,0.0,0.6529983097785986,0.04173338585488263
w_vs_median+ridge,7.2,0.6,0.6540668675791957,0.043009361443464594
pp_mode,7.2,0.6,0.6541078738011529,0.041446446833066544
w_pp_mean,7.2,0.6,0.6541318667609282,0.04210969977958601
w_pp_tmean,7.2,0.6,0.6541365798404563,0.042281500231726256
map_vs_median+ridge,3.0,0.0,0.654159487350946,0.04178063349422004
w_pp_median,7.2,0.6,0.6541785345060891,0.042247644633070985
pp_tmean,7.2,0.6,0.6541917236252154,0.04215035945174916
pp_median,7.2,0.6,0.6541924363818812,0.04226750955573196
pp_mean,7.2,0.6,0.6543053806004561,0.04220737592338088
map_vs_tmean+ridge,3.0,0.0,0.6549340489710267,0.04156651943471641
w_summary_median,7.2,0.6,0.655287802034729,0.041877413403514384
map_summary_tmean,3.0,0.0,0.6552986802752916,0.0422659246593311
w_pp_mode,7.2,0.6,0.656865304911571,0.04023857442693703
lasso,11.1,3.269556544854363,0.6573371490919555,0.04054537315744056
pca+ridge,3.9,2.0712315177207983,0.6583134566136339,0.039865593658003004
fpca+ridge,3.6,1.9595917942265426,0.6589218834917366,0.03954352673477938
map_vs_mode+ridge,3.0,0.0,0.6590738925833486,0.043598822310075114
flin,7.0,1.4142135623730951,0.6599005687210191,0.03731268422518946
pls+ridge,5.2,1.7776388834631178,0.6608194895275364,0.04039863720554403
w_vs_mode+ridge,7.2,0.6,0.6610378567245614,0.04493258052891517
apls,1.5,0.806225774829855,0.6623833933698442,0.03956849605290848
fpls+ridge,4.0,1.2649110640673518,0.6646562124852087,0.03660070753330269
map_summary_mode,3.0,0.0,0.664993306881132,0.0424667464916027
manual+ridge,9.3,1.4177446878757824,0.6652748372520916,0.0386978542613709
fpls1,3.6,1.1135528725660044,0.6664573083781983,0.03477800955192055
pls1,2.9,0.7,0.6676281959624047,0.033784014263380444
w_summary_mode,7.2,0.6,0.6738065348952552,0.045253831120581144
