*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GBM(0, 1)
Model type: L2

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: U[1, 10]
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 2

-- RESULTS REFERENCE METHODS --
Mean split execution time: 328.498±13.340 s
Total execution time: 54.750 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
       lasso           11.1       3.2696     0.6573   0.0405
   pca+ridge            3.9       2.0712     0.6583   0.0399
  fpca+ridge            3.6       1.9596     0.6589   0.0395
        flin            7.0       1.4142     0.6599   0.0373
   pls+ridge            5.2       1.7776     0.6608   0.0404
        apls            1.5       0.8062     0.6624   0.0396
  fpls+ridge            4.0       1.2649     0.6647   0.0366
manual+ridge            9.3       1.4177     0.6653   0.0387
       fpls1            3.6       1.1136     0.6665   0.0348
        pls1            2.9       0.7000     0.6676   0.0338

-- RESULTS ERYN METHODS--
Mean split execution time: 1195.578±10.706 s
Total execution time: 199.263 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
        map_pp_mode            3.0          0.0     0.6509   0.0410
     w_summary_mean            7.2          0.6     0.6514   0.0376
   map_summary_mean            3.0          0.0     0.6515   0.0398
    w_summary_tmean            7.2          0.6     0.6519   0.0406
 map_summary_median            3.0          0.0     0.6521   0.0425
  map_vs_mean+ridge            3.0          0.0     0.6522   0.0398
    w_vs_mean+ridge            7.2          0.6     0.6526   0.0386
        map_pp_mean            3.0          0.0     0.6526   0.0415
   w_vs_tmean+ridge            7.2          0.6     0.6528   0.0409
       map_pp_tmean            3.0          0.0     0.6528   0.0415
      map_pp_median            3.0          0.0     0.6530   0.0417
  w_vs_median+ridge            7.2          0.6     0.6541   0.0430
            pp_mode            7.2          0.6     0.6541   0.0414
          w_pp_mean            7.2          0.6     0.6541   0.0421
         w_pp_tmean            7.2          0.6     0.6541   0.0423
map_vs_median+ridge            3.0          0.0     0.6542   0.0418
        w_pp_median            7.2          0.6     0.6542   0.0422
           pp_tmean            7.2          0.6     0.6542   0.0422
          pp_median            7.2          0.6     0.6542   0.0423
            pp_mean            7.2          0.6     0.6543   0.0422
 map_vs_tmean+ridge            3.0          0.0     0.6549   0.0416
   w_summary_median            7.2          0.6     0.6553   0.0419
  map_summary_tmean            3.0          0.0     0.6553   0.0423
          w_pp_mode            7.2          0.6     0.6569   0.0402
  map_vs_mode+ridge            3.0          0.0     0.6591   0.0436
    w_vs_mode+ridge            7.2          0.6     0.6610   0.0449
   map_summary_mode            3.0          0.0     0.6650   0.0425
     w_summary_mode            7.2          0.6     0.6738   0.0453
