Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_vs_median+ridge,7.4,0.9165151389911681,0.6620603552117469,0.03761165103255607
w_pp_tmean,7.4,0.9165151389911681,0.6629498638462076,0.03983599091746026
w_pp_median,7.4,0.9165151389911681,0.6629946536169584,0.039606210406270666
w_pp_mean,7.4,0.9165151389911681,0.663013179611333,0.039710297395076595
pp_tmean,7.4,0.9165151389911681,0.6630758130454699,0.039584620751755346
pp_mean,7.4,0.9165151389911681,0.6631531491777473,0.03987800889672515
pp_median,7.4,0.9165151389911681,0.6631648242169492,0.0395454127011133
pp_mode,7.4,0.9165151389911681,0.6633569324935031,0.036329249094973336
w_vs_mode+ridge,7.4,0.9165151389911681,0.6648657201350264,0.0374121746612354
map_vs_mode+ridge,3.0,0.0,0.6651651061132233,0.037536887668329605
map_vs_tmean+ridge,3.0,0.0,0.6651651061132233,0.037536887668329605
map_vs_mean+ridge,3.0,0.0,0.6651651061132233,0.037536887668329605
map_vs_median+ridge,3.0,0.0,0.6651651061132233,0.037536887668329605
w_pp_mode,7.4,0.9165151389911681,0.6655428888095758,0.0374262728124023
map_pp_mean,3.0,0.0,0.6665387603722663,0.038841264812656366
map_pp_median,3.0,0.0,0.6665457996411541,0.03893089508525807
map_summary_mean,3.0,0.0,0.6665521223165265,0.038721356982553946
map_pp_tmean,3.0,0.0,0.6666493329885134,0.03867818925130978
map_summary_tmean,3.0,0.0,0.6668102088230705,0.038489578700725266
map_summary_median,3.0,0.0,0.666940807022416,0.03885349967475243
map_pp_mode,3.0,0.0,0.668277630920529,0.03758939121072651
lasso,15.8,3.8157568056677826,0.6758903420932374,0.045898651013412395
map_summary_mode,3.0,0.0,0.706505853158916,0.06989099673662566
w_summary_median,7.4,0.9165151389911681,0.9437705876224655,0.37564201465924213
w_vs_tmean+ridge,7.4,0.9165151389911681,1.0520558196995444,0.2557718647391344
apls,9.9,0.3,1.1237205642413923,0.10230892626023537
w_summary_tmean,7.4,0.9165151389911681,1.2045828818478337,0.3210422299431008
w_vs_mean+ridge,7.4,0.9165151389911681,1.3847609778400176,0.3142152559311561
manual+ridge,6.0,0.0,1.4775212053661035,0.15407571501872314
w_summary_mode,7.4,0.9165151389911681,1.4889673705523803,0.6350392426618013
pls+ridge,10.0,0.0,1.5736958040909659,0.1414962174298697
pls1,10.0,0.0,1.57877041135888,0.14473315671638753
w_summary_mean,7.4,0.9165151389911681,1.5892786298671906,0.3943146469681067
fpca+ridge,9.4,0.66332495807108,2.311077718025053,0.19421438130967014
pca+ridge,9.1,0.5385164807134504,2.3153616522592473,0.1952699236076869
fpls1,8.6,1.2806248474865698,2.654453224213186,0.18191785967034782
fpls+ridge,8.6,1.2806248474865698,2.6687802988158564,0.18906093380191252
flin,9.0,0.0,3.4336955991302105,0.3838920518887929
