*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GBM(0, 1)
Model type: RKHS

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: U[1, 10]
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 2

-- RESULTS REFERENCE METHODS --
Mean split execution time: 259.605±5.682 s
Total execution time: 43.268 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
       lasso           15.8       3.8158     0.6759   0.0459
        apls            9.9       0.3000     1.1237   0.1023
manual+ridge            6.0       0.0000     1.4775   0.1541
   pls+ridge           10.0       0.0000     1.5737   0.1415
        pls1           10.0       0.0000     1.5788   0.1447
  fpca+ridge            9.4       0.6633     2.3111   0.1942
   pca+ridge            9.1       0.5385     2.3154   0.1953
       fpls1            8.6       1.2806     2.6545   0.1819
  fpls+ridge            8.6       1.2806     2.6688   0.1891
        flin            9.0       0.0000     3.4337   0.3839

-- RESULTS ERYN METHODS--
Mean split execution time: 1261.113±14.038 s
Total execution time: 210.186 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
  w_vs_median+ridge            7.4       0.9165     0.6621   0.0376
         w_pp_tmean            7.4       0.9165     0.6629   0.0398
        w_pp_median            7.4       0.9165     0.6630   0.0396
          w_pp_mean            7.4       0.9165     0.6630   0.0397
           pp_tmean            7.4       0.9165     0.6631   0.0396
            pp_mean            7.4       0.9165     0.6632   0.0399
          pp_median            7.4       0.9165     0.6632   0.0395
            pp_mode            7.4       0.9165     0.6634   0.0363
    w_vs_mode+ridge            7.4       0.9165     0.6649   0.0374
  map_vs_mode+ridge            3.0       0.0000     0.6652   0.0375
 map_vs_tmean+ridge            3.0       0.0000     0.6652   0.0375
  map_vs_mean+ridge            3.0       0.0000     0.6652   0.0375
map_vs_median+ridge            3.0       0.0000     0.6652   0.0375
          w_pp_mode            7.4       0.9165     0.6655   0.0374
        map_pp_mean            3.0       0.0000     0.6665   0.0388
      map_pp_median            3.0       0.0000     0.6665   0.0389
   map_summary_mean            3.0       0.0000     0.6666   0.0387
       map_pp_tmean            3.0       0.0000     0.6666   0.0387
  map_summary_tmean            3.0       0.0000     0.6668   0.0385
 map_summary_median            3.0       0.0000     0.6669   0.0389
        map_pp_mode            3.0       0.0000     0.6683   0.0376
   map_summary_mode            3.0       0.0000     0.7065   0.0699
   w_summary_median            7.4       0.9165     0.9438   0.3756
   w_vs_tmean+ridge            7.4       0.9165     1.0521   0.2558
    w_summary_tmean            7.4       0.9165     1.2046   0.3210
    w_vs_mean+ridge            7.4       0.9165     1.3848   0.3142
     w_summary_mode            7.4       0.9165     1.4890   0.6350
     w_summary_mean            7.4       0.9165     1.5893   0.3943
