Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_vs_tmean+ridge,6.7,0.7810249675906654,0.6503834297495386,0.03836746546471792
w_vs_median+ridge,6.7,0.7810249675906654,0.652345560046549,0.03678502904000093
w_summary_tmean,6.7,0.7810249675906654,0.6523859220246945,0.03986418244220049
map_vs_tmean+ridge,2.0,0.0,0.6523926256259199,0.0378736399051016
w_pp_tmean,6.7,0.7810249675906654,0.6524284894741899,0.036717030483812814
w_pp_mean,6.7,0.7810249675906654,0.6524287113474002,0.036593084059572636
w_pp_median,6.7,0.7810249675906654,0.6524412817341851,0.03660208150512785
pp_tmean,6.7,0.7810249675906654,0.6525088656577428,0.03656229825541059
pp_mean,6.7,0.7810249675906654,0.6526238229375594,0.03671892674800235
pp_median,6.7,0.7810249675906654,0.6526711600475633,0.03669246847084704
map_summary_tmean,2.0,0.0,0.6527587235085945,0.03768137718963785
w_vs_mean+ridge,6.7,0.7810249675906654,0.6529615168679066,0.03726228909141724
pp_mode,6.7,0.7810249675906654,0.653261693240556,0.03496385244702704
map_pp_mean,2.0,0.0,0.6533828361795169,0.03690682661459593
map_pp_median,2.0,0.0,0.6535546313060114,0.036940834511408636
map_pp_tmean,2.0,0.0,0.6537498646076569,0.037037547527812166
w_pp_mode,6.7,0.7810249675906654,0.6543232309060968,0.0362769258134215
map_summary_median,2.0,0.0,0.6554340913321269,0.03557165151503214
map_vs_median+ridge,2.0,0.0,0.6554782573901718,0.03518772152304027
map_pp_mode,2.0,0.0,0.656234359478996,0.03639349379905687
w_summary_mean,6.7,0.7810249675906654,0.6564427915483723,0.03767167566811032
map_vs_mean+ridge,2.0,0.0,0.6570622974699207,0.035708297110766
w_summary_median,6.7,0.7810249675906654,0.6570925774938066,0.03708923463383645
map_summary_mean,2.0,0.0,0.6578627085493809,0.03513805467947562
w_vs_mode+ridge,6.7,0.7810249675906654,0.6597666495212546,0.03642780385860658
map_vs_mode+ridge,2.0,0.0,0.660756374951889,0.03567819797931591
map_summary_mode,2.0,0.0,0.6609511524710078,0.03451712241954571
pca+ridge,6.7,3.132091952673165,0.6649078439978624,0.041313257787183075
manual+ridge,7.6,2.244994432064365,0.6650477028123427,0.03524878401793147
fpca+ridge,5.8,3.340658617698013,0.6651208424927039,0.04231584162275312
flin,6.0,3.03315017762062,0.6661316737393024,0.03706850982743978
fpls+ridge,5.0,1.1832159566199232,0.6664549610185739,0.04014407096703999
lasso,10.5,7.723341245859851,0.6666650238686,0.037463510332588885
pls+ridge,6.0,2.4083189157584592,0.6667901444881794,0.03694653239988113
w_summary_mode,6.7,0.7810249675906654,0.6679728998731255,0.04408201312349014
fpls1,4.7,1.7349351572897471,0.6712970507645706,0.040930881036215366
apls,1.9,1.3,0.6728544730585835,0.04474526597533008
pls1,2.8,0.9797958971132713,0.6778796650698964,0.03943443602356598
