*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GP(0, brownian_kernel)
Model type: L2

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: U[1, 10]
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 2

-- RESULTS REFERENCE METHODS --
Mean split execution time: 187.548±2.017 s
Total execution time: 31.258 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
   pca+ridge            6.7       3.1321     0.6649   0.0413
manual+ridge            7.6       2.2450     0.6650   0.0352
  fpca+ridge            5.8       3.3407     0.6651   0.0423
        flin            6.0       3.0332     0.6661   0.0371
  fpls+ridge            5.0       1.1832     0.6665   0.0401
       lasso           10.5       7.7233     0.6667   0.0375
   pls+ridge            6.0       2.4083     0.6668   0.0369
       fpls1            4.7       1.7349     0.6713   0.0409
        apls            1.9       1.3000     0.6729   0.0447
        pls1            2.8       0.9798     0.6779   0.0394

-- RESULTS ERYN METHODS--
Mean split execution time: 293.918±2.592 s
Total execution time: 48.986 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
   w_vs_tmean+ridge            6.7        0.781     0.6504   0.0384
  w_vs_median+ridge            6.7        0.781     0.6523   0.0368
    w_summary_tmean            6.7        0.781     0.6524   0.0399
 map_vs_tmean+ridge            2.0        0.000     0.6524   0.0379
         w_pp_tmean            6.7        0.781     0.6524   0.0367
          w_pp_mean            6.7        0.781     0.6524   0.0366
        w_pp_median            6.7        0.781     0.6524   0.0366
           pp_tmean            6.7        0.781     0.6525   0.0366
            pp_mean            6.7        0.781     0.6526   0.0367
          pp_median            6.7        0.781     0.6527   0.0367
  map_summary_tmean            2.0        0.000     0.6528   0.0377
    w_vs_mean+ridge            6.7        0.781     0.6530   0.0373
            pp_mode            6.7        0.781     0.6533   0.0350
        map_pp_mean            2.0        0.000     0.6534   0.0369
      map_pp_median            2.0        0.000     0.6536   0.0369
       map_pp_tmean            2.0        0.000     0.6537   0.0370
          w_pp_mode            6.7        0.781     0.6543   0.0363
 map_summary_median            2.0        0.000     0.6554   0.0356
map_vs_median+ridge            2.0        0.000     0.6555   0.0352
        map_pp_mode            2.0        0.000     0.6562   0.0364
     w_summary_mean            6.7        0.781     0.6564   0.0377
  map_vs_mean+ridge            2.0        0.000     0.6571   0.0357
   w_summary_median            6.7        0.781     0.6571   0.0371
   map_summary_mean            2.0        0.000     0.6579   0.0351
    w_vs_mode+ridge            6.7        0.781     0.6598   0.0364
  map_vs_mode+ridge            2.0        0.000     0.6608   0.0357
   map_summary_mode            2.0        0.000     0.6610   0.0345
     w_summary_mode            6.7        0.781     0.6680   0.0441
