Estimator,Mean features,SD features,Mean RMSE,SD RMSE
map_vs_mode+ridge,3.5,0.5,0.6677857917255772,0.03968892025136911
map_vs_median+ridge,3.5,0.5,0.6679749196405973,0.03945669539216125
w_vs_mode+ridge,8.0,0.7745966692414834,0.6680077380634863,0.04015201288077027
w_vs_median+ridge,8.0,0.7745966692414834,0.668120100830916,0.04012039920573315
w_pp_tmean,8.0,0.7745966692414834,0.6703416382165777,0.04498712267971547
w_pp_median,8.0,0.7745966692414834,0.6703920362113559,0.04474683912720468
w_pp_mean,8.0,0.7745966692414834,0.6704053386794339,0.04489011161923579
pp_tmean,8.0,0.7745966692414834,0.6704088639908345,0.04480827261563024
pp_median,8.0,0.7745966692414834,0.6704604692280366,0.04489644873143539
pp_mean,8.0,0.7745966692414834,0.6705561773291235,0.04508289901767098
map_pp_mode,3.5,0.5,0.6713204002118619,0.045847403509223665
map_pp_median,3.5,0.5,0.671777299871524,0.044788890747923624
map_pp_mean,3.5,0.5,0.6718484882822506,0.0448869579918658
map_pp_tmean,3.5,0.5,0.6719604043106935,0.04484051938527523
pp_mode,8.0,0.7745966692414834,0.6719785811246938,0.04322286199804066
w_pp_mode,8.0,0.7745966692414834,0.6720945974817052,0.04417815720064194
lasso,17.7,8.271033792700887,0.6800832501037758,0.043602706083331146
map_summary_median,3.5,0.5,0.7881807504137212,0.20595553182834705
apls,9.7,0.6403124237432849,0.8724953537454418,0.055400146095464085
w_summary_median,8.0,0.7745966692414834,0.8750857246718489,0.19441319374476357
pls+ridge,10.0,0.0,0.9957360258255218,0.056256788842398826
pls1,10.0,0.0,0.9972821211309751,0.05120647461657095
w_vs_tmean+ridge,8.0,0.7745966692414834,1.002521672666909,0.20553635853739882
w_summary_tmean,8.0,0.7745966692414834,1.0790516614136163,0.21458323825347927
map_vs_tmean+ridge,3.5,0.5,1.1012756748478094,0.5170349050427681
map_summary_tmean,3.5,0.5,1.1388883878264024,0.5466040305108847
w_vs_mean+ridge,8.0,0.7745966692414834,1.1997851874593766,0.21533801003429082
map_vs_mean+ridge,3.5,0.5,1.291833412941948,0.6735946652357526
w_summary_mean,8.0,0.7745966692414834,1.304662796167028,0.23267542936121396
manual+ridge,6.0,0.0,1.3416659104348034,0.1301792707906033
map_summary_mean,3.5,0.5,1.364385177796786,0.7460450097077764
fpca+ridge,10.0,0.0,1.511941962700059,0.07090846940392691
pca+ridge,10.0,0.0,1.5210121941894905,0.07027982831301759
fpls+ridge,10.0,0.0,1.6073514031500924,0.07842322011699075
fpls1,10.0,0.0,1.6074327740169436,0.07813263284020637
flin,8.7,0.45825756949558394,1.8287112636250502,0.07339221571315196
map_summary_mode,3.5,0.5,1.8410860908284032,1.4962287491297557
w_summary_mode,8.0,0.7745966692414834,2.1430396491942414,0.8382531544763002
