*** Bayesian RKHS-based Functional Linear Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GP(0, brownian_kernel)
Model type: RKHS

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: U[1, 10]
Prior beta: N(mu=0, sd=5)
Transform sigma: True
Min. distance tau: 1

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 2

-- RESULTS REFERENCE METHODS --
Mean split execution time: 251.382±5.623 s
Total execution time: 41.897 min

   Estimator  Mean features  SD features  Mean RMSE  SD RMSE
       lasso           17.7       8.2710     0.6801   0.0436
        apls            9.7       0.6403     0.8725   0.0554
   pls+ridge           10.0       0.0000     0.9957   0.0563
        pls1           10.0       0.0000     0.9973   0.0512
manual+ridge            6.0       0.0000     1.3417   0.1302
  fpca+ridge           10.0       0.0000     1.5119   0.0709
   pca+ridge           10.0       0.0000     1.5210   0.0703
  fpls+ridge           10.0       0.0000     1.6074   0.0784
       fpls1           10.0       0.0000     1.6074   0.0781
        flin            8.7       0.4583     1.8287   0.0734

-- RESULTS ERYN METHODS--
Mean split execution time: 416.021±8.657 s
Total execution time: 69.337 min

          Estimator  Mean features  SD features  Mean RMSE  SD RMSE
  map_vs_mode+ridge            3.5       0.5000     0.6678   0.0397
map_vs_median+ridge            3.5       0.5000     0.6680   0.0395
    w_vs_mode+ridge            8.0       0.7746     0.6680   0.0402
  w_vs_median+ridge            8.0       0.7746     0.6681   0.0401
         w_pp_tmean            8.0       0.7746     0.6703   0.0450
        w_pp_median            8.0       0.7746     0.6704   0.0447
          w_pp_mean            8.0       0.7746     0.6704   0.0449
           pp_tmean            8.0       0.7746     0.6704   0.0448
          pp_median            8.0       0.7746     0.6705   0.0449
            pp_mean            8.0       0.7746     0.6706   0.0451
        map_pp_mode            3.5       0.5000     0.6713   0.0458
      map_pp_median            3.5       0.5000     0.6718   0.0448
        map_pp_mean            3.5       0.5000     0.6718   0.0449
       map_pp_tmean            3.5       0.5000     0.6720   0.0448
            pp_mode            8.0       0.7746     0.6720   0.0432
          w_pp_mode            8.0       0.7746     0.6721   0.0442
 map_summary_median            3.5       0.5000     0.7882   0.2060
   w_summary_median            8.0       0.7746     0.8751   0.1944
   w_vs_tmean+ridge            8.0       0.7746     1.0025   0.2055
    w_summary_tmean            8.0       0.7746     1.0791   0.2146
 map_vs_tmean+ridge            3.5       0.5000     1.1013   0.5170
  map_summary_tmean            3.5       0.5000     1.1389   0.5466
    w_vs_mean+ridge            8.0       0.7746     1.1998   0.2153
  map_vs_mean+ridge            3.5       0.5000     1.2918   0.6736
     w_summary_mean            8.0       0.7746     1.3047   0.2327
   map_summary_mean            3.5       0.5000     1.3644   0.7460
   map_summary_mode            3.5       0.5000     1.8411   1.4962
     w_summary_mode            8.0       0.7746     2.1430   0.8383
