Estimator,Mean features,SD features,Mean RMSE,SD RMSE
pp_mode,7.5,1.2041594578792296,0.6575466953675018,0.03881386401723753
w_pp_median,7.5,1.2041594578792296,0.658111929004948,0.03943253917674737
w_pp_tmean,7.5,1.2041594578792296,0.6582215667248974,0.03961382330404054
w_pp_mean,7.5,1.2041594578792296,0.6582269267842572,0.03952611945340933
pp_tmean,7.5,1.2041594578792296,0.6582462582779585,0.03941504502266956
pp_mean,7.5,1.2041594578792296,0.6583261183540923,0.039609651232780554
pp_median,7.5,1.2041594578792296,0.6583977790754849,0.03945444603679884
w_vs_median+ridge,7.5,1.2041594578792296,0.65919879239309,0.03787786218874174
w_vs_tmean+ridge,7.5,1.2041594578792296,0.6592801757447567,0.03928613820829542
w_pp_mode,7.5,1.2041594578792296,0.660088657292867,0.038169769101237885
manual+ridge,5.9,2.773084924772409,0.6602566914164973,0.036702468869059084
w_vs_mean+ridge,7.5,1.2041594578792296,0.6606461829670918,0.03947364513728191
w_vs_mode+ridge,7.5,1.2041594578792296,0.6622490671791439,0.03955765842737722
map_vs_tmean+ridge,1.7,0.45825756949558405,0.6627679469947559,0.03927954373329625
map_pp_mean,1.7,0.45825756949558405,0.6629015681531325,0.03881859977249166
map_pp_tmean,1.7,0.45825756949558405,0.6631562226521801,0.03877968895368148
map_pp_median,1.7,0.45825756949558405,0.6633481134198086,0.03889980105557648
w_summary_median,7.5,1.2041594578792296,0.6633725077952266,0.03790918480195719
lasso,7.3,6.2136945531623935,0.6637197702715052,0.03544156617012818
map_vs_mean+ridge,1.7,0.45825756949558405,0.6641617067109603,0.0400554916354457
fpls+ridge,5.4,2.416609194718914,0.6641624982678545,0.041735221662273864
map_vs_median+ridge,1.7,0.45825756949558405,0.6641801252320614,0.03687376048943744
pca+ridge,6.7,3.132091952673165,0.6641874855364395,0.04144591037879612
flin,2.9,2.662705391138869,0.664345024366552,0.037580294162323113
fpca+ridge,5.8,3.340658617698013,0.6651032640891956,0.04184255267775317
w_summary_tmean,7.5,1.2041594578792296,0.6654202277409773,0.039640370946092365
map_pp_mode,1.7,0.45825756949558405,0.6659614243338383,0.038003913825576684
map_vs_mode+ridge,1.7,0.45825756949558405,0.6686432323301568,0.03992833561183936
map_summary_median,1.7,0.45825756949558405,0.6690297932767335,0.03643567373666314
pls+ridge,5.9,2.3853720883753127,0.669464641599941,0.03334184495955385
fpls1,5.1,2.4677925358506134,0.6706785759353492,0.04393720433657371
w_summary_mode,7.5,1.2041594578792296,0.6720823748810375,0.04327645216660217
w_summary_mean,7.5,1.2041594578792296,0.673224920632475,0.04185824864780108
map_summary_mode,1.7,0.45825756949558405,0.6735950774891183,0.054680140304345565
pls1,3.4,1.562049935181331,0.6737712850124966,0.02972681493949958
map_summary_tmean,1.7,0.45825756949558405,0.6755393051837936,0.03543567915527085
apls,2.4,2.4166091947189146,0.6839038147257809,0.04325436591003622
map_summary_mean,1.7,0.45825756949558405,0.6886348598982691,0.03702503993133335
