Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_summary_tmean,7.5,0.6708203932499369,0.6496971641262644,0.035653256278434534
w_vs_tmean+ridge,7.5,0.6708203932499369,0.6498617579181788,0.03468369690930449
pp_mode,7.5,0.6708203932499369,0.6505705617304065,0.03679015029007703
w_pp_mean,7.5,0.6708203932499369,0.6506157323847737,0.037536087730839086
w_pp_tmean,7.5,0.6708203932499369,0.6506558192274534,0.03761084807160327
pp_tmean,7.5,0.6708203932499369,0.6506821768199627,0.0374796018536068
w_pp_median,7.5,0.6708203932499369,0.6506862965990043,0.03747119665035158
pp_mean,7.5,0.6708203932499369,0.6507844101425326,0.037668797746788045
pp_median,7.5,0.6708203932499369,0.6508417555306507,0.037588303348985885
w_summary_mean,7.5,0.6708203932499369,0.6513364502124411,0.03489443798169453
w_vs_mean+ridge,7.5,0.6708203932499369,0.6517787556426659,0.035606698797404655
w_pp_mode,7.5,0.6708203932499369,0.6525356697956838,0.03619158538706014
w_vs_median+ridge,7.5,0.6708203932499369,0.6527026020333819,0.03688766646402089
w_summary_median,7.5,0.6708203932499369,0.6553196984918455,0.036639419194482985
map_pp_mean,2.5,0.5,0.6553272932000683,0.03865924119702557
map_pp_tmean,2.5,0.5,0.6557143594602607,0.03852430330451332
map_pp_median,2.5,0.5,0.6557771192880457,0.038575858344443575
lasso,10.7,3.9,0.6585009912600356,0.03862717412996587
map_pp_mode,2.5,0.5,0.6592461616951983,0.03811621399151315
map_vs_tmean+ridge,2.5,0.5,0.6602125559169179,0.038699171435084424
flin,8.6,1.3564659966250536,0.6619456618995212,0.0375293388230234
map_vs_median+ridge,2.5,0.5,0.6628863400845708,0.04143964039271249
fpca+ridge,7.4,2.244994432064365,0.6632227548017872,0.04044284554368976
map_summary_tmean,2.5,0.5,0.6632308632453794,0.03730380234775094
map_vs_mean+ridge,2.5,0.5,0.6632599706286976,0.038219804376631916
manual+ridge,7.9,0.3,0.6635717720931522,0.040440530031133085
w_vs_mode+ridge,7.5,0.6708203932499369,0.6636168710996305,0.03435401493205693
map_summary_median,2.5,0.5,0.6637782897863176,0.04060841852709516
pca+ridge,7.4,2.244994432064365,0.6646971028794599,0.04135159576718387
map_summary_mean,2.5,0.5,0.666444158053434,0.0369463937699961
pls+ridge,5.8,2.6758176320519302,0.6689008624506176,0.036934566952836576
map_vs_mode+ridge,2.5,0.5,0.6705442651016169,0.03550232650056735
fpls+ridge,6.4,2.244994432064365,0.6724340421548836,0.03606717417902462
fpls1,5.5,2.29128784747792,0.6766034872870892,0.037154312173451116
map_summary_mode,2.5,0.5,0.6794605377721133,0.04095804072833416
apls,2.9,1.2206555615733703,0.6808088630803744,0.04277827201091444
w_summary_mode,7.5,0.6708203932499369,0.6812827395536376,0.0405364825738265
pls1,3.0,1.1832159566199232,0.6820224536546202,0.042605507804869096
