Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_vs_median+ridge,10.0,0.0,0.6665247901079632,0.04005232207788237
map_vs_median+ridge,5.0,0.8944271909999159,0.6679484335976273,0.04223425925239446
w_vs_mode+ridge,10.0,0.0,0.6686422618181497,0.04101005327513419
map_vs_mode+ridge,5.0,0.8944271909999159,0.6706228961521737,0.04338158739241459
lasso,19.9,8.16639455328972,0.683728827924378,0.03141093969191189
pp_mode,10.0,0.0,0.6843410599883835,0.043131717014043225
pp_median,10.0,0.0,0.6874984899127112,0.04468749213290495
w_pp_mode,10.0,0.0,0.6876462130033426,0.045274450853445315
pp_tmean,10.0,0.0,0.6884507727843454,0.04496797242306149
w_pp_median,10.0,0.0,0.6888955240338671,0.0452122940829133
w_pp_tmean,10.0,0.0,0.689131566154856,0.04512963768468544
w_pp_mean,10.0,0.0,0.6894448664131599,0.04487537511342158
pp_mean,10.0,0.0,0.6896577018725123,0.04502397677303886
map_pp_median,5.0,0.8944271909999159,0.6966388746064234,0.05718168291152157
map_pp_tmean,5.0,0.8944271909999159,0.6966398111968045,0.05704640211917348
map_pp_mean,5.0,0.8944271909999159,0.6967760518738636,0.056982055397587834
map_pp_mode,5.0,0.8944271909999159,0.7001791789912878,0.05849991456828417
apls,9.6,0.4898979485566356,1.0047551835158195,0.05010138100743214
w_summary_median,10.0,0.0,1.0202335137360534,0.36376627176529713
w_vs_tmean+ridge,10.0,0.0,1.0594615700640724,0.3209875475249763
pls+ridge,10.0,0.0,1.064688507742265,0.05472719652543647
pls1,10.0,0.0,1.064859053776644,0.0547958060024333
map_vs_tmean+ridge,5.0,0.8944271909999159,1.2091234494903478,0.5464104974416931
map_summary_median,5.0,0.8944271909999159,1.2246134361414946,0.5517326911557312
w_vs_mean+ridge,10.0,0.0,1.2664383997060962,0.5014534508881439
w_summary_tmean,10.0,0.0,1.269985636126089,0.4401895984502695
w_summary_mean,10.0,0.0,1.4922623872612077,0.5885343630482021
map_summary_tmean,5.0,0.8944271909999159,1.4959797109612614,0.5899038699141095
w_summary_mode,10.0,0.0,1.5634245401817939,1.0388072719174826
map_vs_mean+ridge,5.0,0.8944271909999159,1.580420436788056,0.8007970431134107
manual+ridge,6.0,0.0,1.718712495530216,0.1013398549146536
map_summary_mean,5.0,0.8944271909999159,1.8081990403589354,0.7801539030776332
map_summary_mode,5.0,0.8944271909999159,2.0871842698646024,1.499404482040156
fpls1,8.8,0.8717797887081348,2.088392632942094,0.0993988523597284
fpls+ridge,8.9,0.8306623862918076,2.088969672181599,0.0975275532503733
fpca+ridge,9.3,0.9000000000000001,2.236730306151417,0.09615003271764928
pca+ridge,9.4,0.8,2.2486504351416845,0.09503748658752663
flin,9.0,0.0,2.388075328841365,0.07761379227590297
