Estimator,Mean features,SD features,Mean RMSE,SD RMSE
map_pp_tmean,5.0,0.4472135954999579,0.6605441345419187,0.03853138594139985
map_pp_mean,5.0,0.4472135954999579,0.6606165975805617,0.038966251255123055
flin,5.9,1.7578395831246947,0.6606364900815249,0.03971102890426956
map_pp_median,5.0,0.4472135954999579,0.6608168937856853,0.03864364636257482
w_pp_median,10.0,0.0,0.6612131495505758,0.038812586965619
w_pp_tmean,10.0,0.0,0.661310860736385,0.03888898461687663
w_pp_mean,10.0,0.0,0.6613376398245168,0.038787194793006095
pp_tmean,10.0,0.0,0.6613479656318486,0.03872205881109863
pp_median,10.0,0.0,0.6614517187191782,0.03882789855305132
pp_mean,10.0,0.0,0.6614698414589351,0.038966799241570683
w_pp_mode,10.0,0.0,0.6620012484186034,0.03772867447721619
pp_mode,10.0,0.0,0.6635275115323936,0.03841472307809198
map_pp_mode,5.0,0.4472135954999579,0.6635979581143343,0.03999121157687724
lasso,26.3,7.7207512587830465,0.6644981249328918,0.04131564120424393
pls+ridge,6.3,2.0518284528683193,0.6651908169939612,0.04355176975121667
manual+ridge,5.6,2.0591260281974,0.6655264377995761,0.04566138536928454
fpca+ridge,7.5,1.5,0.665639311638563,0.044504879743664336
pca+ridge,7.1,2.022374841615669,0.6664130785135896,0.04365715594723342
fpls+ridge,4.3,3.3778691508109078,0.6679928023560715,0.0469135669957732
pls1,6.0,2.1447610589527217,0.668889456942394,0.04672225482431697
fpls1,4.3,3.3778691508109078,0.6706672780000826,0.047714794468082945
apls,6.8,2.3579652245103193,0.6744231965167483,0.0410360951594565
w_vs_median+ridge,10.0,0.0,0.6750632982424889,0.040294993103168954
map_vs_tmean+ridge,5.0,0.4472135954999579,0.6790905786554459,0.04653549751495284
map_vs_median+ridge,5.0,0.4472135954999579,0.6807664458041028,0.045060640178404984
w_vs_tmean+ridge,10.0,0.0,0.6814405395029883,0.043681781621989615
map_vs_mean+ridge,5.0,0.4472135954999579,0.6820130680309058,0.0481186838389994
w_vs_mean+ridge,10.0,0.0,0.6848140027118609,0.046044063216239425
w_vs_mode+ridge,10.0,0.0,0.6864654553534186,0.043117809440991
map_vs_mode+ridge,5.0,0.4472135954999579,0.7105911616574229,0.04977641781714203
w_summary_tmean,10.0,0.0,0.8303828268904718,0.17494091398038783
w_summary_mean,10.0,0.0,0.8550599664722427,0.14908420646122517
w_summary_median,10.0,0.0,0.9002079465570636,0.26274365295303226
map_summary_tmean,5.0,0.4472135954999579,1.0207268620879628,0.28010673269212266
map_summary_mean,5.0,0.4472135954999579,1.0512980175748594,0.18873275923463528
w_summary_mode,10.0,0.0,1.075370467739957,0.30573392884071654
map_summary_median,5.0,0.4472135954999579,1.238698782339588,0.6225866280744334
map_summary_mode,5.0,0.4472135954999579,1.263534683610912,0.9415712816121806
