Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_pp_tmean,10.0,0.0,0.6596664011036778,0.04166215209277262
w_pp_median,10.0,0.0,0.6597101037260468,0.04153281349316433
pp_tmean,10.0,0.0,0.6597183242326299,0.041515957931046385
pp_median,10.0,0.0,0.6597248848139239,0.04158069522458529
w_pp_mean,10.0,0.0,0.6597870438617996,0.04155092280168235
map_pp_tmean,6.3,0.9,0.6598876116263221,0.0439757564431608
pp_mean,10.0,0.0,0.659927878151046,0.041728827890964285
map_pp_median,6.3,0.9,0.659946515280695,0.0442833452472976
map_pp_mean,6.3,0.9,0.6601141296893116,0.04436795993171236
map_pp_mode,6.3,0.9,0.6617399083221777,0.047583293447968134
w_pp_mode,10.0,0.0,0.6623314596428266,0.04205457775990457
pp_mode,10.0,0.0,0.6635847644280257,0.042398187477910056
w_vs_median+ridge,10.0,0.0,0.6652600742051038,0.04091526381469667
map_vs_median+ridge,6.3,0.9,0.6682494660970345,0.04107485542422323
w_vs_tmean+ridge,10.0,0.0,0.6683932374694759,0.03755090453754747
w_vs_mode+ridge,10.0,0.0,0.6684635339438312,0.03327118413648275
fpls+ridge,9.0,0.0,0.6691588120498191,0.04564848688192921
fpls1,9.0,0.0,0.6698148658858194,0.0459335451534201
map_vs_tmean+ridge,6.3,0.9,0.6702032139035008,0.03645965744321669
lasso,53.8,8.255906976220118,0.6713999565770221,0.04208562207859112
apls,9.0,0.0,0.6722959299440043,0.04539882354003322
fpca+ridge,9.0,0.0,0.6726650937805629,0.045023041714769854
pca+ridge,9.0,0.0,0.6728063542170966,0.045415808567760965
pls1,9.1,0.3,0.6729617465339496,0.044666538426252636
manual+ridge,9.2,0.39999999999999997,0.6735600336469283,0.04163721571116196
pls+ridge,9.1,0.3,0.673632677466602,0.044420426349353746
w_vs_mean+ridge,10.0,0.0,0.6736991388711994,0.03773716598090518
map_vs_mean+ridge,6.3,0.9,0.6767431227464236,0.03770082275768935
map_vs_mode+ridge,6.3,0.9,0.6772457118978812,0.05060120811511017
flin,10.0,0.0,0.9572686132013795,0.04440684582638221
w_summary_tmean,10.0,0.0,1.262227145758421,0.11356478196440639
map_summary_tmean,6.3,0.9,1.2911813951596738,0.3056905033106703
w_summary_mean,10.0,0.0,1.5408813354247726,0.30219901598091714
w_summary_median,10.0,0.0,1.7195773562216992,0.6079137604329314
map_summary_mean,6.3,0.9,1.8731990815257646,0.6024229814985376
map_summary_median,6.3,0.9,2.0689980513849715,1.0848679457602102
w_summary_mode,10.0,0.0,5.760826549546418,5.35722150413779
map_summary_mode,6.3,0.9,6.751890333687224,2.1000891470019556
