Estimator,Mean features,SD features,Mean RMSE,SD RMSE
w_pp_mode,10.0,0.0,0.22218242633569388,0.019827074607868568
w_pp_median,10.0,0.0,0.2229175459798201,0.018228235598670737
pp_mean,10.0,0.0,0.22298120373916214,0.01792047477154811
pp_median,10.0,0.0,0.22311924640872735,0.018281907791182946
w_pp_mean,10.0,0.0,0.22313757959445607,0.017871407952460307
pp_tmean,10.0,0.0,0.22314593061479687,0.017900877859149514
w_pp_tmean,10.0,0.0,0.22318333404825016,0.018098859065168768
pls+ridge,7.5,2.0615528128088303,0.22541724328697507,0.020897063011102984
pp_mode,10.0,0.0,0.2260846546234132,0.017776048068050828
map_pp_mean,6.5,0.9219544457292888,0.22708562509562769,0.02057067550381975
map_pp_tmean,6.5,0.9219544457292888,0.2275410529704962,0.020894042479548288
map_pp_median,6.5,0.9219544457292888,0.22778912939179302,0.020761435732553478
pls1,4.9,1.374772708486752,0.232090782747202,0.023715022019641832
pca+ridge,6.4,2.0591260281974,0.23349601463453676,0.023665596440742048
map_pp_mode,6.5,0.9219544457292888,0.23551316963051527,0.02318429461495155
w_vs_median+ridge,10.0,0.0,0.23559301432632013,0.024615480618117736
w_vs_mode+ridge,10.0,0.0,0.23572655908986162,0.018147672317256707
apls,5.2,1.1661903789690602,0.23680573474222646,0.02776416123077487
fpls+ridge,6.3,1.7349351572897471,0.24093480364138636,0.018317247070755726
lasso,28.4,4.431703961232068,0.24197375837346313,0.02558666622336707
fpls1,5.6,1.0198039027185568,0.24784401113032342,0.022152031201753523
map_vs_mode+ridge,6.5,0.9219544457292888,0.2605484628238694,0.028943673796823242
map_vs_median+ridge,6.5,0.9219544457292888,0.26626873870107093,0.030222675965561323
manual+ridge,9.2,0.4,0.26838159991591626,0.020763169569932877
fpca+ridge,7.9,2.2561028345356955,0.3065484158655182,0.05545843489663487
w_vs_tmean+ridge,10.0,0.0,0.30772966869964125,0.07517247774828319
w_vs_mean+ridge,10.0,0.0,0.3201573920083346,0.0701221224719797
map_vs_mean+ridge,6.5,0.9219544457292888,0.4024535506027771,0.15661096849643402
map_vs_tmean+ridge,6.5,0.9219544457292888,0.45541099549339137,0.28434348661032627
w_summary_median,10.0,0.0,0.512421997554919,0.2012032785955149
w_summary_mode,10.0,0.0,0.9287811359451155,0.3200537074751755
map_summary_median,6.5,0.9219544457292888,1.0914728125380229,0.521419829146338
flin,6.1,0.3,1.235252088831991,0.13813831729983259
w_summary_tmean,10.0,0.0,1.272417450092215,0.4439438302236772
w_summary_mean,10.0,0.0,1.6841123585510211,0.7211802205508363
map_summary_tmean,6.5,0.9219544457292888,1.7765052069650635,1.2626870452672478
map_summary_mode,6.5,0.9219544457292888,1.7913629558842827,1.1514342774672748
map_summary_mean,6.5,0.9219544457292888,2.2044047542359158,1.9412495613830896
