Estimator,Mean features,SD features,Mean RMSE,SD RMSE
fpls+ridge,5.5,0.5,1.96182921003185,0.20185424316960404
flin,8.6,0.66332495807108,1.9655788946290471,0.19848119217367033
fpls1,5.4,0.4898979485566356,1.9715884070954033,0.2005958367555711
lasso,16.3,6.738694235532579,1.9845182323682171,0.22638185819612336
w_pp_tmean,10.0,0.0,1.9884441006315043,0.21641885742742373
pp_mean,10.0,0.0,1.988578621253558,0.21600527210187345
w_pp_mean,10.0,0.0,1.9885964636851494,0.21620764118608818
w_pp_median,10.0,0.0,1.9891935696642977,0.21737336824243533
pp_tmean,10.0,0.0,1.9893896959193207,0.2164053424532239
pp_median,10.0,0.0,1.9905033207619514,0.21675227573752798
w_pp_mode,10.0,0.0,1.9958803552559317,0.2188686742458718
map_pp_median,5.0,0.0,1.9962929411310177,0.21172525892908808
map_pp_mean,5.0,0.0,1.9963454968738232,0.2120201114976819
map_pp_tmean,5.0,0.0,1.997190392106664,0.21177950344031488
pls+ridge,6.5,1.02469507659596,1.997539486267462,0.20831170442375269
w_vs_mean+ridge,10.0,0.0,1.998440669964689,0.22176950777333476
w_vs_median+ridge,10.0,0.0,2.0002497499368035,0.21651135345636113
w_vs_tmean+ridge,10.0,0.0,2.002875405172608,0.22081681485758856
pp_mode,10.0,0.0,2.0067352734845807,0.2183103402522244
map_pp_mode,5.0,0.0,2.00985736314711,0.21027126516513403
apls,8.9,1.3,2.019712636938734,0.22600141520187547
pca+ridge,9.7,0.9,2.0337140214488563,0.21860418626790284
map_vs_mean+ridge,5.0,0.0,2.034857891028377,0.21911200009496173
pls1,5.6,0.4898979485566356,2.0366861997063923,0.21891854835431532
manual+ridge,8.1,1.2206555615733703,2.0410129921542373,0.21431035740565407
w_vs_mode+ridge,10.0,0.0,2.049646866700175,0.22148266781594583
fpca+ridge,9.8,0.4,2.053743261686239,0.2260089414639727
map_vs_tmean+ridge,5.0,0.0,2.0589281170347173,0.23332216021682925
map_vs_median+ridge,5.0,0.0,2.082136571106988,0.21871590583381784
map_vs_mode+ridge,5.0,0.0,2.188192895636963,0.32141313263898336
w_summary_median,10.0,0.0,2.4181752323790464,0.49100036798001834
map_summary_median,5.0,0.0,2.6614638216424025,0.7670682055615096
w_summary_mode,10.0,0.0,3.792043637870097,1.4874942654090466
map_summary_tmean,5.0,0.0,3.9384925514516573,1.593370943728918
map_summary_mode,5.0,0.0,5.14891417237554,3.208040276106813
w_summary_tmean,10.0,0.0,8.70475514715922,5.355191217207614
map_summary_mean,5.0,0.0,14.138684016066936,4.414038754818283
w_summary_mean,10.0,0.0,22.360370039204323,21.415638861901027
