Estimator,Mean features,SD features,Mean RMSE,SD RMSE
pls+ridge,9.3,1.4177446878757824,2.535651614139409,0.2360018312437621
manual+ridge,9.1,0.3,2.5858289096469718,0.2697169785472731
fpls+ridge,4.2,2.4,2.5947729930899666,0.24887650585973786
fpls1,4.1,2.2113344387495983,2.6048085348778875,0.26164218017269614
pls1,7.9,1.8138357147217055,2.6056565693037057,0.28323610424906626
apls,6.8,0.9797958971132713,2.641480147922979,0.16461285928832975
fpca+ridge,7.7,0.9,2.6571449636464,0.18894136695167835
pca+ridge,7.6,1.0198039027185568,2.711650828719915,0.18304257567003662
w_vs_mode+ridge,10.0,0.0,2.7129552973622304,0.2545173583307599
w_pp_mode,10.0,0.0,2.7177988205473396,0.2664193750604854
map_pp_median,7.3,0.6403124237432849,2.7197436061003764,0.266850552933701
pp_median,10.0,0.0,2.7200582052407642,0.26220655961062495
pp_tmean,10.0,0.0,2.7202987833372547,0.2607573381581055
w_pp_mean,10.0,0.0,2.720582799839907,0.25902299778908877
w_pp_median,10.0,0.0,2.7206576179789574,0.2621413167043506
w_pp_tmean,10.0,0.0,2.7208750025373667,0.2604226812604466
pp_mean,10.0,0.0,2.721220316750696,0.26008252590717756
map_pp_mean,7.3,0.6403124237432849,2.7230682876885153,0.2662004345040509
map_pp_tmean,7.3,0.6403124237432849,2.7237536358029493,0.26655051830138454
pp_mode,10.0,0.0,2.735393881412668,0.254759399930412
map_pp_mode,7.3,0.6403124237432849,2.7406410231358733,0.2714698072484597
w_vs_median+ridge,10.0,0.0,2.8014522271646247,0.2606065436435173
w_vs_tmean+ridge,10.0,0.0,2.821956046171371,0.32289850933467323
map_vs_median+ridge,7.3,0.6403124237432849,2.8257642959593743,0.2692013953846456
map_vs_mode+ridge,7.3,0.6403124237432849,2.832995576202742,0.29087310463937127
w_vs_mean+ridge,10.0,0.0,2.8348807445093103,0.28569430474121793
lasso,61.0,5.118593556827891,2.841890700058396,0.3518129568664626
map_vs_mean+ridge,7.3,0.6403124237432849,2.8979735045183745,0.37540361222211366
map_vs_tmean+ridge,7.3,0.6403124237432849,2.900317288903531,0.4026547243492404
w_summary_median,10.0,0.0,5.638680245977605,1.8091051437855183
flin,6.0,0.0,7.486398102148991,0.6475931130274549
map_summary_median,7.3,0.6403124237432849,8.743821770359169,3.5406567723271483
w_summary_tmean,10.0,0.0,9.770819935783381,3.1969621253380693
map_summary_tmean,7.3,0.6403124237432849,10.234714223912064,3.5038083624116756
w_summary_mean,10.0,0.0,11.390132915467976,2.992295117640371
map_summary_mean,7.3,0.6403124237432849,11.536812572073359,3.0860276585976516
w_summary_mode,10.0,0.0,13.109394000711609,7.200519911676295
map_summary_mode,7.3,0.6403124237432849,22.423146517103763,13.107513533116855
