Estimator,Mean features,SD features,Mean Acc,SD Acc
pls+nc,2.5,2.1095023109728985,0.6100000000000001,0.03346640106136303
qda,100.0,0.0,0.6100000000000001,1.1102230246251565e-16
fnc,100.0,0.0,0.607,0.03769615364994152
map_pp_mode,1.0,0.0,0.6049999999999999,0.02692582403567252
pp_mode,7.5,0.6708203932499369,0.602,0.025219040425836982
mdc,100.0,0.0,0.602,0.03340658617698015
flda,1.0,0.0,0.6010000000000001,0.0266270539113887
w_pp_mode,7.5,0.6708203932499369,0.599,0.028442925306655778
fpca+log,3.2,2.9933259094191533,0.599,0.02071231517720798
pp_tmean,7.5,0.6708203932499369,0.5980000000000001,0.0256124969497314
w_vs_mode+log,7.5,0.6708203932499369,0.5970000000000001,0.024103941586387876
map_vs_mode+log,1.0,0.0,0.5970000000000001,0.024103941586387876
w_pp_tmean,7.5,0.6708203932499369,0.597,0.027221315177632405
w_pp_median,7.5,0.6708203932499369,0.597,0.022825424421026655
pp_median,7.5,0.6708203932499369,0.597,0.024515301344262528
map_pp_tmean,1.0,0.0,0.595,0.02247220505424422
log,100.0,0.0,0.5939999999999999,0.017435595774162687
map_pp_mean,1.0,0.0,0.5930000000000001,0.022383029285599376
pp_mean,7.5,0.6708203932499369,0.5930000000000001,0.03001666203960726
w_pp_mean,7.5,0.6708203932499369,0.5930000000000001,0.03001666203960726
apls+nc,1.5,0.5,0.593,0.023685438564654028
map_pp_median,1.0,0.0,0.593,0.02647640458974744
w_summary_median,7.5,0.6708203932499369,0.5920000000000001,0.029933259094191523
w_vs_median+log,7.5,0.6708203932499369,0.591,0.02981610303175113
map_summary_mode,1.0,0.0,0.591,0.02947880594596734
w_summary_mode,7.5,0.6708203932499369,0.591,0.02699999999999999
map_vs_tmean+log,1.0,0.0,0.5900000000000001,0.03065941943351177
map_vs_mean+log,1.0,0.0,0.5900000000000001,0.0319374388453426
w_vs_mean+log,7.5,0.6708203932499369,0.5900000000000001,0.0319374388453426
pls+log,3.2,2.0880613017821097,0.59,0.02898275349237887
pca+log,4.0,3.521363372331802,0.59,0.02683281572999747
w_vs_tmean+log,7.5,0.6708203932499369,0.5880000000000001,0.03370459909270543
fknn,100.0,0.0,0.587,0.05550675634551167
map_vs_median+log,1.0,0.0,0.587,0.03579106033634655
w_summary_tmean,7.5,0.6708203932499369,0.587,0.028653097563788792
map_summary_median,1.0,0.0,0.5820000000000001,0.029597297173897467
flog,3.5,2.3769728648009427,0.5800000000000001,0.020493901531919177
map_summary_mean,1.0,0.0,0.58,0.0371483512420134
manual+log,4.3,3.4655446902326914,0.58,0.02569046515733023
w_summary_mean,7.5,0.6708203932499369,0.579,0.035902646142032466
map_summary_tmean,1.0,0.0,0.578,0.029933259094191516
pca+qda,2.4,1.42828568570857,0.5770000000000001,0.03634556369077248
apls+log,3.7,2.685144316419511,0.571,0.029816103031751126
rkvs+log,4.4,2.870540018881465,0.5690000000000001,0.039357337308308836
lda,100.0,0.0,0.507,0.030347981810987055
