Estimator,Mean features,SD features,Mean Acc,SD Acc
w_pp_tmean,10.0,0.0,0.8560000000000001,0.030066592756745815
pp_median,10.0,0.0,0.8560000000000001,0.030066592756745815
w_pp_median,10.0,0.0,0.8560000000000001,0.029393876913398138
pp_tmean,10.0,0.0,0.8550000000000001,0.029068883707497266
map_pp_median,3.2,0.39999999999999997,0.8549999999999999,0.03008321791298265
map_pp_tmean,3.2,0.39999999999999997,0.8539999999999999,0.033526109228480414
map_pp_mean,3.2,0.39999999999999997,0.8530000000000001,0.0334813380855664
w_pp_mode,10.0,0.0,0.8530000000000001,0.030675723300355937
w_pp_mean,10.0,0.0,0.853,0.030675723300355937
pp_mean,10.0,0.0,0.853,0.030675723300355937
map_pp_mode,3.2,0.39999999999999997,0.852,0.03218695387886217
w_summary_mode,10.0,0.0,0.851,0.024677925358506134
fknn,100.0,0.0,0.851,0.03269556544854364
w_summary_median,10.0,0.0,0.85,0.031622776601683784
pp_mode,10.0,0.0,0.849,0.028442925306655785
map_summary_mode,3.2,0.39999999999999997,0.849,0.027730849247724097
log,100.0,0.0,0.849,0.03080584360149873
rkvs+log,4.4,3.006659275674582,0.8480000000000001,0.023999999999999983
pls+log,3.1,1.9209372712298547,0.8470000000000001,0.03407345007480162
fpca+log,7.7,2.8301943396169813,0.8470000000000001,0.030016662039607272
flda,2.0,0.0,0.8460000000000001,0.030724582991474424
manual+log,6.2,0.39999999999999997,0.8459999999999999,0.03199999999999997
w_vs_mode+log,10.0,0.0,0.8459999999999999,0.021071307505705496
flog,2.3,0.6403124237432849,0.845,0.03584689665786983
pca+log,8.2,2.315167380558045,0.842,0.032496153618543834
w_summary_tmean,10.0,0.0,0.8419999999999999,0.03280243893371344
pca+qda,2.8,0.6,0.8390000000000001,0.03419064199455752
map_vs_mode+log,3.2,0.39999999999999997,0.8389999999999999,0.022113344387495987
w_vs_median+log,10.0,0.0,0.8380000000000001,0.029257477676655572
map_summary_median,3.2,0.39999999999999997,0.8370000000000001,0.02609597670139976
w_vs_tmean+log,10.0,0.0,0.8310000000000001,0.03780211634287158
w_summary_mean,10.0,0.0,0.8309999999999998,0.026248809496813363
apls+log,2.3,0.45825756949558405,0.8290000000000001,0.04109744517606903
map_vs_median+log,3.2,0.39999999999999997,0.8290000000000001,0.023853720883753107
w_vs_mean+log,10.0,0.0,0.8229999999999998,0.04172529209005012
apls+nc,2.1,0.5385164807134504,0.819,0.03562302626111374
map_vs_tmean+log,3.2,0.39999999999999997,0.8160000000000001,0.028354893757515626
pls+nc,3.6,2.615339366124404,0.8160000000000001,0.038262252939417964
fnc,100.0,0.0,0.8140000000000001,0.034409301068170486
map_vs_mean+log,3.2,0.39999999999999997,0.8089999999999999,0.032695565448543615
map_summary_tmean,3.2,0.39999999999999997,0.805,0.026925824035672504
mdc,100.0,0.0,0.804,0.0335261092284804
map_summary_mean,3.2,0.39999999999999997,0.7979999999999998,0.03249615361854383
lda,100.0,0.0,0.694,0.03199999999999999
qda,100.0,0.0,0.51,0.0
