Estimator,Mean features,SD features,Mean Acc,SD Acc
pls+nc,1.9,1.2206555615733703,0.623,0.04172529209005013
mdc,100.0,0.0,0.619,0.04805205510693586
pca+qda,2.0,0.7745966692414834,0.615,0.03201562118716425
fnc,100.0,0.0,0.6140000000000001,0.044766058571198766
qda,100.0,0.0,0.6100000000000001,1.1102230246251565e-16
flda,1.2,0.6000000000000001,0.6090000000000001,0.04928488612140644
w_pp_mode,8.6,0.8,0.6060000000000001,0.026532998322843202
pp_mode,8.6,0.8,0.605,0.02655183609470351
map_pp_mode,1.0,0.0,0.604,0.030397368307141338
flog,3.8,2.5612496949731396,0.602,0.0373630833845388
map_summary_mean,1.0,0.0,0.602,0.02785677655436823
pp_median,8.6,0.8,0.602,0.028913664589601925
map_summary_mode,1.0,0.0,0.6010000000000001,0.030479501308256333
w_pp_mean,8.6,0.8,0.6009999999999999,0.027367864366808027
pp_mean,8.6,0.8,0.6009999999999999,0.027367864366808027
pp_tmean,8.6,0.8,0.6009999999999999,0.027367864366808027
w_summary_median,8.6,0.8,0.6,0.025690465157330245
w_pp_tmean,8.6,0.8,0.5999999999999999,0.02645751311064591
map_pp_median,1.0,0.0,0.599,0.0277308492477241
map_pp_tmean,1.0,0.0,0.599,0.0266270539113887
w_pp_median,8.6,0.8,0.599,0.030149626863362665
map_summary_median,1.0,0.0,0.599,0.023
w_vs_mode+log,8.6,0.8,0.5970000000000001,0.027946377224964236
map_summary_tmean,1.0,0.0,0.597,0.03001666203960726
map_pp_mean,1.0,0.0,0.597,0.026851443164195094
w_summary_mode,8.6,0.8,0.597,0.030016662039607265
map_vs_mean+log,1.0,0.0,0.5960000000000001,0.025377155080899032
w_summary_tmean,8.6,0.8,0.596,0.030397368307141324
map_vs_tmean+log,1.0,0.0,0.5940000000000001,0.02576819745345024
w_vs_tmean+log,8.6,0.8,0.5940000000000001,0.022449944320643636
map_vs_mode+log,1.0,0.0,0.5930000000000001,0.02238302928559938
pca+log,3.4,2.835489375751565,0.5930000000000001,0.027221315177632384
w_vs_mean+log,8.6,0.8,0.5920000000000001,0.018867962264113188
map_vs_median+log,1.0,0.0,0.5920000000000001,0.020880613017821098
fpca+log,3.6,2.870540018881465,0.5920000000000001,0.03399999999999998
w_summary_mean,8.6,0.8,0.5919999999999999,0.026758176320519293
w_vs_median+log,8.6,0.8,0.5890000000000001,0.022999999999999986
pls+log,3.6,3.0724582991474434,0.5890000000000001,0.03645545226711636
rkvs+log,5.3,2.4919871588754225,0.5860000000000001,0.026153393661244015
apls+log,3.3,2.9342801502242417,0.5850000000000001,0.033241540277189306
manual+log,5.4,3.0397368307141326,0.585,0.030083217912982643
log,100.0,0.0,0.5770000000000001,0.038999999999999986
fknn,100.0,0.0,0.5760000000000001,0.03261901286060016
apls+nc,2.2,1.9390719429665315,0.569,0.047212286536451493
lda,100.0,0.0,0.518,0.028565713714171402
