Estimator,Mean features,SD features,Mean Acc,SD Acc
manual+log,8.4,1.5620499351813308,0.85,0.011832159566199242
fnc,100.0,0.0,0.8479999999999999,0.014000000000000014
log,100.0,0.0,0.8479999999999999,0.015362291495737231
w_summary_tmean,9.6,0.4898979485566356,0.8469999999999999,0.01734935157289749
pca+log,1.8,1.1661903789690602,0.8469999999999999,0.016155494421403526
fpca+log,2.1,1.5132745950421556,0.8469999999999999,0.014177446878757837
w_pp_mean,9.6,0.4898979485566356,0.8469999999999999,0.01100000000000001
apls+nc,1.4,0.48989794855663565,0.8469999999999999,0.014177446878757837
w_pp_median,9.6,0.4898979485566356,0.8469999999999999,0.01100000000000001
w_pp_mode,9.6,0.4898979485566356,0.8469999999999999,0.011874342087037927
map_pp_mean,2.0,0.0,0.8469999999999999,0.014177446878757837
pp_mean,9.6,0.4898979485566356,0.8469999999999999,0.01100000000000001
pp_median,9.6,0.4898979485566356,0.8459999999999999,0.010198039027185577
map_pp_mode,2.0,0.0,0.8459999999999999,0.014282856857085711
w_pp_tmean,9.6,0.4898979485566356,0.8459999999999999,0.011135528725660053
pp_tmean,9.6,0.4898979485566356,0.8459999999999999,0.011135528725660053
map_summary_tmean,2.0,0.0,0.8459999999999999,0.01743559577416271
pp_mode,9.6,0.4898979485566356,0.8459999999999999,0.012806248474865708
map_summary_median,2.0,0.0,0.8450000000000001,0.022022715545545243
map_pp_tmean,2.0,0.0,0.845,0.01284523257866514
w_summary_median,9.6,0.4898979485566356,0.845,0.019104973174542815
w_summary_mean,9.6,0.4898979485566356,0.845,0.018574175621006727
map_summary_mean,2.0,0.0,0.8440000000000001,0.01685229954635273
pls+log,3.2,1.8867962264113207,0.844,0.020591260281973993
apls+log,1.3,0.45825756949558405,0.844,0.01200000000000001
w_vs_median+log,9.6,0.4898979485566356,0.844,0.01685229954635273
map_pp_median,2.0,0.0,0.844,0.012806248474865708
pca+qda,1.6,0.66332495807108,0.8400000000000001,0.01843908891458577
w_vs_tmean+log,9.6,0.4898979485566356,0.8400000000000001,0.016733200530681527
map_vs_median+log,2.0,0.0,0.8390000000000001,0.019209372712298545
rkvs+log,5.9,2.773084924772409,0.8379999999999999,0.02561249694973138
map_vs_tmean+log,2.0,0.0,0.8379999999999999,0.023151673805580437
flog,1.1,0.3,0.837,0.023685438564654007
map_vs_mean+log,2.0,0.0,0.836,0.021071307505705468
map_summary_mode,2.0,0.0,0.835,0.025787593916455243
fknn,100.0,0.0,0.834,0.027276363393971697
w_vs_mean+log,9.6,0.4898979485566356,0.833,0.020518284528683164
w_summary_mode,9.6,0.4898979485566356,0.8320000000000001,0.02271563338320107
map_vs_mode+log,2.0,0.0,0.8310000000000001,0.022113344387495966
flda,2.3,0.6403124237432849,0.8300000000000001,0.028635642126552695
pls+nc,1.8,0.4,0.8280000000000001,0.02227105745132007
w_vs_mode+log,9.6,0.4898979485566356,0.828,0.019390719429665297
mdc,100.0,0.0,0.8219999999999998,0.021817424229271406
lda,100.0,0.0,0.6209999999999999,0.06594694837519018
qda,100.0,0.0,0.51,0.0
