Estimator,Mean features,SD features,Mean Acc,SD Acc
qda,100.0,0.0,0.62,0.0
mdc,100.0,0.0,0.615,0.029410882339705496
fnc,100.0,0.0,0.6090000000000001,0.029478805945967357
pls+nc,3.7,2.6095976701399777,0.6070000000000001,0.03494281041931231
w_summary_median,8.1,0.5385164807134504,0.604,0.03954743986657037
pp_mode,8.1,0.5385164807134504,0.603,0.026095976701399782
map_pp_mode,1.3,0.45825756949558405,0.6020000000000001,0.029933259094191533
w_vs_mode+log,8.1,0.5385164807134504,0.601,0.025865034312755112
map_pp_median,1.3,0.45825756949558405,0.6000000000000001,0.023237900077244505
w_summary_mean,8.1,0.5385164807134504,0.6000000000000001,0.030659419433511796
map_summary_median,1.3,0.45825756949558405,0.6000000000000001,0.035496478698597705
fpca+log,3.4,2.7640549922170505,0.6,0.03872983346207418
flog,1.8,1.5362291495737217,0.6,0.03130495168499706
w_summary_mode,8.1,0.5385164807134504,0.6,0.030331501776206197
w_vs_median+log,8.1,0.5385164807134504,0.599,0.03534119409414458
map_vs_mode+log,1.3,0.45825756949558405,0.599,0.027367864366808017
map_summary_mean,1.3,0.45825756949558405,0.599,0.030479501308256333
pca+qda,2.4,2.1071307505705477,0.599,0.04323193264243458
w_summary_tmean,8.1,0.5385164807134504,0.5980000000000001,0.03762977544445356
map_vs_median+log,1.3,0.45825756949558405,0.5980000000000001,0.0357211421989835
pca+log,2.5,2.6551836094703507,0.598,0.036551333764994136
w_vs_tmean+log,8.1,0.5385164807134504,0.596,0.01743559577416271
w_vs_mean+log,8.1,0.5385164807134504,0.595,0.024999999999999984
pp_median,8.1,0.5385164807134504,0.595,0.0206155281280883
w_pp_mode,8.1,0.5385164807134504,0.595,0.02974894956128703
map_pp_mean,1.3,0.45825756949558405,0.595,0.020124611797498103
apls+log,1.5,0.6708203932499369,0.5940000000000001,0.024979991993593596
map_pp_tmean,1.3,0.45825756949558405,0.5940000000000001,0.019595917942265423
manual+log,3.9,1.972308292331602,0.5930000000000001,0.019000000000000017
flda,1.3,0.45825756949558405,0.593,0.03226453160980335
rkvs+log,5.9,3.0479501308256345,0.593,0.03522782990761707
map_summary_tmean,1.3,0.45825756949558405,0.593,0.03522782990761706
pls+log,1.5,0.6708203932499369,0.593,0.019519221295943134
pp_mean,8.1,0.5385164807134504,0.5920000000000001,0.02271563338320108
pp_tmean,8.1,0.5385164807134504,0.5920000000000001,0.02271563338320108
w_pp_mean,8.1,0.5385164807134504,0.5920000000000001,0.02271563338320108
w_pp_tmean,8.1,0.5385164807134504,0.5920000000000001,0.02271563338320108
map_summary_mode,1.3,0.45825756949558405,0.592,0.027495454169735038
apls+nc,2.8,3.6,0.5910000000000001,0.03884584919911006
w_pp_median,8.1,0.5385164807134504,0.591,0.01972308292331602
map_vs_mean+log,1.3,0.45825756949558405,0.591,0.02981610303175114
log,100.0,0.0,0.591,0.023853720883753114
map_vs_tmean+log,1.3,0.45825756949558405,0.5890000000000001,0.029816103031751126
fknn,100.0,0.0,0.564,0.041521078984053376
lda,100.0,0.0,0.541,0.0391024295920343
