*** Bayesian RKHS-based Functional Logistic Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GP(0, ornstein_uhlenbeck_kernel)
Model type: L2
Noise: 10%

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: t(df=5, scale=2.5)
Transform sigma: True
Min. distance tau: 1
Prediction noise: False

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 195.050±3.881 s
Total execution time: 32.508 min

 Estimator  Mean features  SD features  Mean Acc  SD Acc
       qda          100.0       0.0000     0.620  0.0000
       mdc          100.0       0.0000     0.615  0.0294
       fnc          100.0       0.0000     0.609  0.0295
    pls+nc            3.7       2.6096     0.607  0.0349
      flog            1.8       1.5362     0.600  0.0313
  fpca+log            3.4       2.7641     0.600  0.0387
   pca+qda            2.4       2.1071     0.599  0.0432
   pca+log            2.5       2.6552     0.598  0.0366
  apls+log            1.5       0.6708     0.594  0.0250
manual+log            3.9       1.9723     0.593  0.0190
   pls+log            1.5       0.6708     0.593  0.0195
      flda            1.3       0.4583     0.593  0.0323
  rkvs+log            5.9       3.0480     0.593  0.0352
   apls+nc            2.8       3.6000     0.591  0.0388
       log          100.0       0.0000     0.591  0.0239
      fknn          100.0       0.0000     0.564  0.0415
       lda          100.0       0.0000     0.541  0.0391

-- RESULTS ERYN METHODS--
Mean split execution time: 367.413±3.953 s
Total execution time: 61.235 min

         Estimator  Mean features  SD features  Mean Acc  SD Acc
  w_summary_median            8.1       0.5385     0.604  0.0395
           pp_mode            8.1       0.5385     0.603  0.0261
       map_pp_mode            1.3       0.4583     0.602  0.0299
     w_vs_mode+log            8.1       0.5385     0.601  0.0259
     map_pp_median            1.3       0.4583     0.600  0.0232
    w_summary_mean            8.1       0.5385     0.600  0.0307
map_summary_median            1.3       0.4583     0.600  0.0355
    w_summary_mode            8.1       0.5385     0.600  0.0303
   w_vs_median+log            8.1       0.5385     0.599  0.0353
   map_vs_mode+log            1.3       0.4583     0.599  0.0274
  map_summary_mean            1.3       0.4583     0.599  0.0305
 map_vs_median+log            1.3       0.4583     0.598  0.0357
   w_summary_tmean            8.1       0.5385     0.598  0.0376
    w_vs_tmean+log            8.1       0.5385     0.596  0.0174
     w_vs_mean+log            8.1       0.5385     0.595  0.0250
       map_pp_mean            1.3       0.4583     0.595  0.0201
         pp_median            8.1       0.5385     0.595  0.0206
         w_pp_mode            8.1       0.5385     0.595  0.0297
      map_pp_tmean            1.3       0.4583     0.594  0.0196
 map_summary_tmean            1.3       0.4583     0.593  0.0352
        w_pp_tmean            8.1       0.5385     0.592  0.0227
         w_pp_mean            8.1       0.5385     0.592  0.0227
           pp_mean            8.1       0.5385     0.592  0.0227
          pp_tmean            8.1       0.5385     0.592  0.0227
  map_summary_mode            1.3       0.4583     0.592  0.0275
   map_vs_mean+log            1.3       0.4583     0.591  0.0298
       w_pp_median            8.1       0.5385     0.591  0.0197
  map_vs_tmean+log            1.3       0.4583     0.589  0.0298
