Estimator,Mean features,SD features,Mean Acc,SD Acc
w_vs_median+log,10.0,0.0,0.834,0.0300665927567458
map_pp_tmean,4.3,0.45825756949558405,0.8300000000000001,0.02529822128134701
map_pp_median,4.3,0.45825756949558405,0.8300000000000001,0.02529822128134701
fpca+log,4.7,2.1,0.8300000000000001,0.024494897427831754
pp_mean,10.0,0.0,0.8290000000000001,0.02071231517720795
pp_tmean,10.0,0.0,0.8290000000000001,0.02071231517720795
w_pp_mean,10.0,0.0,0.8290000000000001,0.02071231517720795
map_pp_mode,4.3,0.45825756949558405,0.829,0.025079872407968887
pp_mode,10.0,0.0,0.829,0.022999999999999986
w_pp_tmean,10.0,0.0,0.8280000000000001,0.021817424229271402
pp_median,10.0,0.0,0.8280000000000001,0.021817424229271402
map_pp_mean,4.3,0.45825756949558405,0.828,0.02712931993250105
w_pp_median,10.0,0.0,0.827,0.02193171219946128
w_pp_mode,10.0,0.0,0.825,0.024999999999999974
log,100.0,0.0,0.8240000000000001,0.02154065922853799
pca+log,4.3,1.676305461424021,0.8240000000000001,0.01907878402833889
w_summary_median,10.0,0.0,0.8240000000000001,0.017435595774162663
w_vs_tmean+log,10.0,0.0,0.8230000000000001,0.0331813200460741
manual+log,6.3,0.6403124237432849,0.8210000000000001,0.01813835714721703
pca+qda,3.3,1.2688577540449522,0.8180000000000002,0.02561249694973138
w_summary_tmean,10.0,0.0,0.818,0.01469693845669903
pls+log,4.3,2.794637722496424,0.817,0.02193171219946129
map_vs_median+log,4.3,0.45825756949558405,0.8160000000000001,0.033823069050575506
w_vs_mean+log,10.0,0.0,0.8160000000000001,0.026907248094147396
apls+nc,2.4,0.48989794855663565,0.8160000000000001,0.0269072480941474
apls+log,2.6,0.48989794855663565,0.8160000000000001,0.027276363393971697
flda,2.8,1.1661903789690602,0.8130000000000001,0.028999999999999984
map_summary_mean,4.3,0.45825756949558405,0.8099999999999999,0.026832815729997458
flog,3.6,2.2,0.8089999999999999,0.02773084924772408
map_summary_median,4.3,0.45825756949558405,0.8070000000000002,0.010999999999999973
map_vs_mode+log,4.3,0.45825756949558405,0.807,0.0141774468787578
w_vs_mode+log,10.0,0.0,0.806,0.01959591794226539
map_vs_mean+log,4.3,0.45825756949558405,0.806,0.02374868417407582
w_summary_mean,10.0,0.0,0.806,0.027276363393971687
map_summary_tmean,4.3,0.45825756949558405,0.8029999999999999,0.02685144316419509
map_vs_tmean+log,4.3,0.45825756949558405,0.8010000000000002,0.027367864366808003
w_summary_mode,10.0,0.0,0.7990000000000002,0.015132745950421531
fknn,100.0,0.0,0.799,0.024269322199023172
pls+nc,2.6,1.2,0.7930000000000001,0.029
map_summary_mode,4.3,0.45825756949558405,0.792,0.02135415650406261
rkvs+log,7.4,2.65329983228432,0.7899999999999999,0.0316227766016838
fnc,100.0,0.0,0.736,0.03498571136907181
mdc,100.0,0.0,0.735,0.03667424164178451
lda,100.0,0.0,0.6240000000000001,0.04152107898405339
qda,100.0,0.0,0.51,0.0
