Estimator,Mean features,SD features,Mean Acc,SD Acc
pls+nc,2.6,1.2,0.629,0.03645545226711638
w_summary_mode,8.5,0.6708203932499369,0.6289999999999999,0.030805843601498732
fnc,100.0,0.0,0.625,0.04031128874149276
map_summary_mode,1.6,0.48989794855663565,0.622,0.02638181191654586
pls+log,5.0,3.3763886032268267,0.6210000000000001,0.04346262762420147
manual+log,6.3,2.9681644159311658,0.6210000000000001,0.04392038251199551
pca+qda,2.8,1.3266499161421599,0.6180000000000001,0.04467661580737734
w_vs_mode+log,8.5,0.6708203932499369,0.617,0.025709920264364906
map_vs_mode+log,1.6,0.48989794855663565,0.6169999999999999,0.021000000000000015
pca+log,5.3,3.195309061734091,0.616,0.036386810797320514
apls+nc,1.5,1.2041594578792296,0.615,0.023345235059857524
apls+log,6.0,3.255764119219941,0.6140000000000001,0.03826225293941798
fpca+log,5.8,2.925747767665559,0.6140000000000001,0.04152107898405339
map_summary_mean,1.6,0.48989794855663565,0.611,0.03448187929913334
pp_tmean,8.5,0.6708203932499369,0.611,0.03505709628591622
rkvs+log,6.4,2.8,0.611,0.03360059523282289
qda,100.0,0.0,0.6100000000000001,1.1102230246251565e-16
log,100.0,0.0,0.609,0.03672873534441392
map_vs_tmean+log,1.6,0.48989794855663565,0.609,0.03112876483254676
flog,5.7,3.132091952673165,0.6089999999999999,0.02808914381037628
pp_mean,8.5,0.6708203932499369,0.608,0.03682390527904394
map_summary_tmean,1.6,0.48989794855663565,0.608,0.036551333764994136
w_pp_mean,8.5,0.6708203932499369,0.608,0.03682390527904394
w_pp_tmean,8.5,0.6708203932499369,0.608,0.03458323293158117
map_vs_mean+log,1.6,0.48989794855663565,0.607,0.034655446902326914
w_pp_median,8.5,0.6708203932499369,0.607,0.03661966684720112
map_pp_mode,1.6,0.48989794855663565,0.6060000000000001,0.04054626986542659
w_vs_tmean+log,8.5,0.6708203932499369,0.6050000000000001,0.028722813232690145
pp_median,8.5,0.6708203932499369,0.6050000000000001,0.035566838487557484
w_summary_median,8.5,0.6708203932499369,0.605,0.030083217912982643
map_vs_median+log,1.6,0.48989794855663565,0.6049999999999999,0.03413209633175202
w_pp_mode,8.5,0.6708203932499369,0.6049999999999999,0.03383784863137727
map_summary_median,1.6,0.48989794855663565,0.604,0.03720215047547656
mdc,100.0,0.0,0.603,0.04243819034784587
map_pp_mean,1.6,0.48989794855663565,0.603,0.0349428104193123
map_pp_tmean,1.6,0.48989794855663565,0.602,0.037363083384538816
pp_mode,8.5,0.6708203932499369,0.602,0.034871191548325395
w_vs_mean+log,8.5,0.6708203932499369,0.602,0.023579652245103184
map_pp_median,1.6,0.48989794855663565,0.602,0.0342928563989645
w_summary_tmean,8.5,0.6708203932499369,0.601,0.032388269481403296
w_vs_median+log,8.5,0.6708203932499369,0.6,0.030983866769659335
w_summary_mean,8.5,0.6708203932499369,0.6,0.030000000000000002
flda,1.8,1.2489995996796797,0.595,0.048425200051213015
lda,100.0,0.0,0.591,0.033301651610693414
fknn,100.0,0.0,0.5780000000000001,0.04093897898091743
