Estimator,Mean features,SD features,Mean Acc,SD Acc
w_summary_mean,10.0,0.0,0.8799999999999999,0.04266145801540308
map_summary_mean,4.1,0.3,0.8789999999999999,0.04011234224026315
w_pp_mode,10.0,0.0,0.8779999999999999,0.03600000000000001
w_summary_tmean,10.0,0.0,0.8779999999999999,0.03893584466786358
map_vs_mean+log,4.1,0.3,0.8779999999999999,0.044452221541785734
map_vs_mode+log,4.1,0.3,0.877,0.043139309220245996
pp_mode,10.0,0.0,0.877,0.0349428104193123
map_pp_mode,4.1,0.3,0.877,0.03579106033634657
map_pp_median,4.1,0.3,0.876,0.036386810797320514
map_summary_mode,4.1,0.3,0.876,0.035832945734337866
map_vs_tmean+log,4.1,0.3,0.8759999999999998,0.039547439866570375
w_vs_mode+log,10.0,0.0,0.875,0.039560080889704974
w_vs_median+log,10.0,0.0,0.875,0.03879432948254166
pp_median,10.0,0.0,0.874,0.03469870314579495
map_pp_tmean,4.1,0.3,0.874,0.035270384177096804
map_pp_mean,4.1,0.3,0.874,0.035270384177096804
pp_mean,10.0,0.0,0.874,0.03555277766926236
w_pp_mean,10.0,0.0,0.874,0.03555277766926236
map_summary_tmean,4.1,0.3,0.874,0.03826225293941799
w_pp_tmean,10.0,0.0,0.873,0.03522782990761709
w_pp_median,10.0,0.0,0.873,0.03522782990761709
pp_tmean,10.0,0.0,0.873,0.03522782990761709
w_vs_tmean+log,10.0,0.0,0.873,0.03769615364994154
map_summary_median,4.1,0.3,0.8720000000000001,0.038418745424597105
rkvs+log,5.6,3.0066592756745814,0.8719999999999999,0.04069397989875163
w_summary_median,10.0,0.0,0.8710000000000001,0.04229657196511322
flog,4.0,2.0976176963403033,0.8710000000000001,0.03269556544854364
map_vs_median+log,4.1,0.3,0.8709999999999999,0.04784349485562276
w_vs_mean+log,10.0,0.0,0.8700000000000001,0.037416573867739424
manual+log,6.7,1.3453624047073711,0.869,0.03207802986469089
pca+log,5.3,0.6403124237432849,0.868,0.03310589071449371
log,100.0,0.0,0.868,0.03600000000000002
pls+nc,3.0,1.8973665961010275,0.867,0.039
fpca+log,4.9,1.044030650891055,0.866,0.03583294573433783
pls+log,3.8,1.2489995996796797,0.8640000000000001,0.037469987990390405
fnc,100.0,0.0,0.8639999999999999,0.046086874487211646
w_summary_mode,10.0,0.0,0.859,0.03207802986469088
apls+log,3.0,1.5491933384829668,0.857,0.039
pca+qda,2.5,0.9219544457292888,0.8539999999999999,0.03322649545167229
apls+nc,3.0,1.4142135623730951,0.8539999999999999,0.03555277766926237
flda,3.2,2.821347195933177,0.8539999999999999,0.03852272056851645
fknn,100.0,0.0,0.8469999999999999,0.041243181254602544
mdc,100.0,0.0,0.8390000000000001,0.04459820624195551
lda,100.0,0.0,0.8230000000000001,0.027586228448267424
qda,100.0,0.0,0.5,0.0
