Estimator,Mean features,SD features,Mean Acc,SD Acc
apls+nc,2.2,0.6,0.9612903225806452,0.028121928668004368
log,31.0,0.0,0.9612903225806452,0.028121928668004368
pca+log,2.4,0.9165151389911681,0.9580645161290322,0.03548387096774195
w_vs_mean+log,9.9,0.3,0.9548387096774192,0.0328969000876954
pca+qda,2.0,0.0,0.9548387096774192,0.029565004483586087
w_vs_tmean+log,9.9,0.3,0.9548387096774192,0.032896900087695406
fpca+log,2.8,0.8717797887081347,0.9548387096774192,0.0328969000876954
map_vs_tmean+log,4.0,0.0,0.9516129032258064,0.03606561254031921
map_vs_median+log,4.0,0.0,0.9483870967741936,0.021397579292615515
map_vs_mean+log,4.0,0.0,0.9483870967741936,0.032896900087695406
fknn,31.0,0.0,0.9483870967741936,0.035921060405355
apls+log,3.7,2.3685438564654024,0.9483870967741936,0.0328969000876954
w_vs_median+log,9.9,0.3,0.9451612903225808,0.038304329313025555
pls+log,3.1,1.1357816691600546,0.9451612903225808,0.03241895361651901
w_vs_mode+log,9.9,0.3,0.9419354838709679,0.04516129032258065
map_summary_mean,4.0,0.0,0.9419354838709676,0.03761904448287292
w_summary_mean,9.9,0.3,0.9419354838709676,0.034742998755706495
flda,4.0,2.449489742783178,0.9387096774193548,0.050902367219546774
w_pp_median,9.9,0.3,0.935483870967742,0.05201456611805516
pp_median,9.9,0.3,0.9322580645161291,0.050902367219546774
manual+log,4.8,1.9390719429665317,0.9322580645161291,0.05483870967741935
map_vs_mode+log,4.0,0.0,0.9290322580645162,0.04955577901850715
map_pp_tmean,4.0,0.0,0.9290322580645161,0.04955577901850715
rkvs+log,5.6,2.727636339397171,0.9290322580645161,0.04955577901850715
pp_mean,9.9,0.3,0.9290322580645161,0.04955577901850715
pp_tmean,9.9,0.3,0.9290322580645161,0.04955577901850715
map_pp_median,4.0,0.0,0.9290322580645161,0.04955577901850715
w_pp_tmean,9.9,0.3,0.9290322580645161,0.04955577901850715
w_pp_mean,9.9,0.3,0.9290322580645161,0.04955577901850715
map_pp_mean,4.0,0.0,0.9290322580645161,0.04955577901850715
flog,3.5,1.6278820596099706,0.9258064516129032,0.04339878724862487
map_pp_mode,4.0,0.0,0.9193548387096773,0.058154052830064355
pp_mode,9.9,0.3,0.9161290322580644,0.06154446460754488
w_pp_mode,9.9,0.3,0.9161290322580644,0.06154446460754488
map_summary_median,4.0,0.0,0.9161290322580644,0.07241917522788274
w_summary_tmean,9.9,0.3,0.9096774193548388,0.06255070783763007
map_summary_tmean,4.0,0.0,0.9096774193548388,0.07184212081070997
w_summary_median,9.9,0.3,0.9096774193548388,0.0673568161865197
lda,31.0,0.0,0.893548387096774,0.054074369723355484
pls+nc,2.0,0.4472135954999579,0.8580645161290323,0.09032258064516129
map_summary_mode,4.0,0.0,0.8258064516129032,0.16077336508873694
w_summary_mode,9.9,0.3,0.8225806451612904,0.1720598110076721
fnc,31.0,0.0,0.7354838709677419,0.11702165901430359
mdc,31.0,0.0,0.6935483870967742,0.10327619737794917
qda,31.0,0.0,0.5806451612903227,1.1102230246251565e-16
