Estimator,Mean features,SD features,Mean Acc,SD Acc
manual+log,3.5,3.0083217912982647,0.6151685393258427,0.011851136578499412
w_summary_mode,6.7,0.6403124237432849,0.6140449438202247,0.03718490054690542
w_pp_median,6.7,0.6403124237432849,0.6123595505617978,0.028974824625230624
pp_mean,6.7,0.6403124237432849,0.6117977528089887,0.030404627253336657
w_pp_mean,6.7,0.6403124237432849,0.6117977528089887,0.030404627253336657
w_pp_tmean,6.7,0.6403124237432849,0.6112359550561799,0.03054444318891727
map_pp_mean,1.9,0.3,0.6106741573033707,0.030363076667127314
pp_tmean,6.7,0.6403124237432849,0.610112359550562,0.030688764682579014
map_pp_mode,1.9,0.3,0.6101123595505619,0.03677093971225521
pp_median,6.7,0.6403124237432849,0.6101123595505618,0.029105244599974434
map_pp_tmean,1.9,0.3,0.6078651685393259,0.033312285573873245
w_pp_mode,6.7,0.6403124237432849,0.6078651685393258,0.03012828691638634
map_pp_median,1.9,0.3,0.6067415730337078,0.03544227032716294
pp_mode,6.7,0.6403124237432849,0.6061797752808988,0.03476343484135951
w_summary_median,6.7,0.6403124237432849,0.604494382022472,0.03160081148410164
w_vs_median+log,6.7,0.6403124237432849,0.601685393258427,0.028585515130805754
map_summary_median,1.9,0.3,0.6005617977528088,0.0385517718298826
map_vs_median+log,1.9,0.3,0.5994382022471911,0.04035960686665574
w_summary_tmean,6.7,0.6403124237432849,0.599438202247191,0.041210842550771475
w_vs_mode+log,6.7,0.6403124237432849,0.5977528089887642,0.02074852282316784
flog,2.3,2.0518284528683193,0.5960674157303372,0.026043431430335422
map_vs_tmean+log,1.9,0.3,0.595505617977528,0.037686538946625665
map_summary_mode,1.9,0.3,0.5938202247191012,0.03108219369353494
w_vs_tmean+log,6.7,0.6403124237432849,0.592696629213483,0.032782234743584625
w_vs_mean+log,6.7,0.6403124237432849,0.5904494382022472,0.04736791347917155
map_vs_mode+log,1.9,0.3,0.5893258426966292,0.035393258426966286
rkvs+log,3.5,2.9068883707497264,0.5893258426966292,0.03182473941183942
map_vs_mean+log,1.9,0.3,0.5870786516853932,0.043679549477359914
w_summary_mean,6.7,0.6403124237432849,0.5848314606741574,0.052367868365697554
map_summary_tmean,1.9,0.3,0.5848314606741573,0.04039087520903075
map_summary_mean,1.9,0.3,0.5792134831460676,0.04229930445860911
qda,30.0,0.0,0.5786516853932583,0.028089887640449427
pca+qda,7.5,1.6881943016134133,0.5764044943820226,0.025149471107415042
lda,30.0,0.0,0.5764044943820223,0.016126629319558793
log,30.0,0.0,0.5752808988764045,0.02221766284638784
pls+log,3.9,3.1128764832546763,0.5741573033707865,0.019265649662339606
pca+log,5.3,3.1320919526731648,0.5623595505617976,0.02768813827045305
apls+log,3.6,3.4985711369071804,0.5617977528089887,0.015282551133410607
fpca+log,4.6,4.223742416388575,0.5612359550561796,0.024157303370786514
pls+nc,1.6,1.2,0.5584269662921348,0.03238996697842603
apls+nc,4.8,3.682390527904394,0.5511235955056181,0.029775280898876395
flda,4.2,3.4583232931581165,0.55,0.022951346309905054
fnc,30.0,0.0,0.55,0.03968137839642764
fknn,30.0,0.0,0.5393258426966292,0.02752235666048514
mdc,30.0,0.0,0.5264044943820224,0.02370893016405528
