*** Bayesian RKHS-based Functional Logistic Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 534
Train size: 356
Grid size: 30
Real data name: medflies
Noise: 10%

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: t(df=5, scale=2.5)
Transform sigma: True
Min. distance tau: 1
Prediction noise: False

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 106.859±1.448 s
Total execution time: 17.810 min

 Estimator  Mean features  SD features  Mean Acc  SD Acc
manual+log            3.5       3.0083    0.6152  0.0119
      flog            2.3       2.0518    0.5961  0.0260
  rkvs+log            3.5       2.9069    0.5893  0.0318
       qda           30.0       0.0000    0.5787  0.0281
   pca+qda            7.5       1.6882    0.5764  0.0251
       lda           30.0       0.0000    0.5764  0.0161
       log           30.0       0.0000    0.5753  0.0222
   pls+log            3.9       3.1129    0.5742  0.0193
   pca+log            5.3       3.1321    0.5624  0.0277
  apls+log            3.6       3.4986    0.5618  0.0153
  fpca+log            4.6       4.2237    0.5612  0.0242
    pls+nc            1.6       1.2000    0.5584  0.0324
   apls+nc            4.8       3.6824    0.5511  0.0298
      flda            4.2       3.4583    0.5500  0.0230
       fnc           30.0       0.0000    0.5500  0.0397
      fknn           30.0       0.0000    0.5393  0.0275
       mdc           30.0       0.0000    0.5264  0.0237

-- RESULTS ERYN METHODS--
Mean split execution time: 343.180±4.898 s
Total execution time: 57.197 min

         Estimator  Mean features  SD features  Mean Acc  SD Acc
    w_summary_mode            6.7       0.6403    0.6140  0.0372
       w_pp_median            6.7       0.6403    0.6124  0.0290
           pp_mean            6.7       0.6403    0.6118  0.0304
         w_pp_mean            6.7       0.6403    0.6118  0.0304
        w_pp_tmean            6.7       0.6403    0.6112  0.0305
       map_pp_mean            1.9       0.3000    0.6107  0.0304
          pp_tmean            6.7       0.6403    0.6101  0.0307
       map_pp_mode            1.9       0.3000    0.6101  0.0368
         pp_median            6.7       0.6403    0.6101  0.0291
      map_pp_tmean            1.9       0.3000    0.6079  0.0333
         w_pp_mode            6.7       0.6403    0.6079  0.0301
     map_pp_median            1.9       0.3000    0.6067  0.0354
           pp_mode            6.7       0.6403    0.6062  0.0348
  w_summary_median            6.7       0.6403    0.6045  0.0316
   w_vs_median+log            6.7       0.6403    0.6017  0.0286
map_summary_median            1.9       0.3000    0.6006  0.0386
 map_vs_median+log            1.9       0.3000    0.5994  0.0404
   w_summary_tmean            6.7       0.6403    0.5994  0.0412
     w_vs_mode+log            6.7       0.6403    0.5978  0.0207
  map_vs_tmean+log            1.9       0.3000    0.5955  0.0377
  map_summary_mode            1.9       0.3000    0.5938  0.0311
    w_vs_tmean+log            6.7       0.6403    0.5927  0.0328
     w_vs_mean+log            6.7       0.6403    0.5904  0.0474
   map_vs_mode+log            1.9       0.3000    0.5893  0.0354
   map_vs_mean+log            1.9       0.3000    0.5871  0.0437
    w_summary_mean            6.7       0.6403    0.5848  0.0524
 map_summary_tmean            1.9       0.3000    0.5848  0.0404
  map_summary_mean            1.9       0.3000    0.5792  0.0423
