Estimator,Mean features,SD features,Mean Acc,SD Acc
pca+qda,5.6,2.0099751242241783,0.642,0.019899748742132416
fknn,100.0,0.0,0.5379999999999999,0.037094473981982796
mdc,100.0,0.0,0.532,0.0040000000000000036
map_pp_mode,1.0,0.0,0.532,0.00979795897113272
pp_mode,7.7,0.7810249675906654,0.531,0.015779733838059515
map_vs_mode+log,1.0,0.0,0.53,0.0
w_vs_mode+log,7.7,0.7810249675906654,0.53,0.0
qda,100.0,0.0,0.53,0.0
map_vs_median+log,1.0,0.0,0.53,0.0
w_vs_median+log,7.7,0.7810249675906654,0.53,0.0
map_pp_median,1.0,0.0,0.5290000000000001,0.013000000000000012
w_pp_mode,7.7,0.7810249675906654,0.527,0.011874342087037928
map_pp_tmean,1.0,0.0,0.523,0.016763054614240228
pp_median,7.7,0.7810249675906654,0.523,0.023685438564654025
map_pp_mean,1.0,0.0,0.522,0.019390719429665335
w_pp_median,7.7,0.7810249675906654,0.5200000000000001,0.027928480087537885
log,100.0,0.0,0.5200000000000001,0.026832815729997482
fpca+log,1.4,1.2000000000000002,0.519,0.03300000000000001
map_vs_tmean+log,1.0,0.0,0.519,0.03300000000000001
map_vs_mean+log,1.0,0.0,0.519,0.03300000000000001
w_vs_mean+log,7.7,0.7810249675906654,0.519,0.03300000000000001
w_vs_tmean+log,7.7,0.7810249675906654,0.519,0.03300000000000001
pp_tmean,7.7,0.7810249675906654,0.517,0.030347981810987055
w_pp_tmean,7.7,0.7810249675906654,0.517,0.030347981810987055
pp_mean,7.7,0.7810249675906654,0.516,0.03292415526630867
w_pp_mean,7.7,0.7810249675906654,0.516,0.03292415526630867
apls+log,2.5,3.0083217912982647,0.5130000000000001,0.03579106033634658
pca+log,2.0,2.04939015319192,0.5130000000000001,0.03195309061734092
manual+log,1.3,0.6403124237432849,0.5120000000000001,0.03600000000000001
rkvs+log,2.7,2.4103941586387903,0.5090000000000001,0.04369210454990696
map_summary_mode,1.0,0.0,0.5080000000000001,0.0348711915483254
pls+log,2.2,2.181742422927143,0.5070000000000001,0.03606937759374289
w_summary_mode,7.7,0.7810249675906654,0.506,0.0374699879903904
lda,100.0,0.0,0.506,0.0405462698654266
w_summary_median,7.7,0.7810249675906654,0.501,0.03269556544854364
flog,3.7,2.5317977802344322,0.499,0.03419064199455751
map_summary_median,1.0,0.0,0.49799999999999994,0.030265491900843124
w_summary_tmean,7.7,0.7810249675906654,0.493,0.031953090617340925
map_summary_mean,1.0,0.0,0.489,0.031764760348537195
flda,4.3,3.1,0.48599999999999993,0.05919459434779497
map_summary_tmean,1.0,0.0,0.485,0.03801315561749644
apls+nc,5.0,2.9664793948382653,0.4840000000000001,0.06468384651518491
w_summary_mean,7.7,0.7810249675906654,0.4800000000000001,0.033166247903554005
pls+nc,3.1,3.014962686336267,0.4630000000000001,0.04196427051671458
fnc,100.0,0.0,0.457,0.04940647730814251
