*** Bayesian RKHS-based Functional Logistic Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
Model type: BM(0, 1) + BM(0, 2)
Noise: 10%

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: t(df=5, scale=2.5)
Transform sigma: True
Min. distance tau: 1
Prediction noise: False

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 191.832±3.455 s
Total execution time: 31.972 min

 Estimator  Mean features  SD features  Mean Acc  SD Acc
   pca+qda            5.6       2.0100     0.642  0.0199
      fknn          100.0       0.0000     0.538  0.0371
       mdc          100.0       0.0000     0.532  0.0040
       qda          100.0       0.0000     0.530  0.0000
       log          100.0       0.0000     0.520  0.0268
  fpca+log            1.4       1.2000     0.519  0.0330
  apls+log            2.5       3.0083     0.513  0.0358
   pca+log            2.0       2.0494     0.513  0.0320
manual+log            1.3       0.6403     0.512  0.0360
  rkvs+log            2.7       2.4104     0.509  0.0437
   pls+log            2.2       2.1817     0.507  0.0361
       lda          100.0       0.0000     0.506  0.0405
      flog            3.7       2.5318     0.499  0.0342
      flda            4.3       3.1000     0.486  0.0592
   apls+nc            5.0       2.9665     0.484  0.0647
    pls+nc            3.1       3.0150     0.463  0.0420
       fnc          100.0       0.0000     0.457  0.0494

-- RESULTS ERYN METHODS--
Mean split execution time: 360.294±3.603 s
Total execution time: 60.049 min

         Estimator  Mean features  SD features  Mean Acc  SD Acc
       map_pp_mode            1.0        0.000     0.532  0.0098
           pp_mode            7.7        0.781     0.531  0.0158
   w_vs_median+log            7.7        0.781     0.530  0.0000
 map_vs_median+log            1.0        0.000     0.530  0.0000
   map_vs_mode+log            1.0        0.000     0.530  0.0000
     w_vs_mode+log            7.7        0.781     0.530  0.0000
     map_pp_median            1.0        0.000     0.529  0.0130
         w_pp_mode            7.7        0.781     0.527  0.0119
         pp_median            7.7        0.781     0.523  0.0237
      map_pp_tmean            1.0        0.000     0.523  0.0168
       map_pp_mean            1.0        0.000     0.522  0.0194
       w_pp_median            7.7        0.781     0.520  0.0279
    w_vs_tmean+log            7.7        0.781     0.519  0.0330
     w_vs_mean+log            7.7        0.781     0.519  0.0330
   map_vs_mean+log            1.0        0.000     0.519  0.0330
  map_vs_tmean+log            1.0        0.000     0.519  0.0330
          pp_tmean            7.7        0.781     0.517  0.0303
        w_pp_tmean            7.7        0.781     0.517  0.0303
           pp_mean            7.7        0.781     0.516  0.0329
         w_pp_mean            7.7        0.781     0.516  0.0329
  map_summary_mode            1.0        0.000     0.508  0.0349
    w_summary_mode            7.7        0.781     0.506  0.0375
  w_summary_median            7.7        0.781     0.501  0.0327
map_summary_median            1.0        0.000     0.498  0.0303
   w_summary_tmean            7.7        0.781     0.493  0.0320
  map_summary_mean            1.0        0.000     0.489  0.0318
 map_summary_tmean            1.0        0.000     0.485  0.0380
    w_summary_mean            7.7        0.781     0.480  0.0332
