Estimator,Mean features,SD features,Mean Acc,SD Acc
w_vs_median+log,9.0,0.6324555320336759,0.633,0.037429934544425815
map_vs_median+log,2.3,0.45825756949558405,0.632,0.037094473981982824
pp_mode,9.0,0.6324555320336759,0.6300000000000001,0.04381780460041329
map_vs_mode+log,2.3,0.45825756949558405,0.63,0.024494897427831803
map_pp_median,2.3,0.45825756949558405,0.6290000000000001,0.04036087214122113
map_summary_mode,2.3,0.45825756949558405,0.627,0.030347981810987065
map_summary_tmean,2.3,0.45825756949558405,0.6260000000000001,0.04841487374764081
map_pp_tmean,2.3,0.45825756949558405,0.626,0.04409081537009719
map_pp_mean,2.3,0.45825756949558405,0.626,0.046086874487211646
map_vs_tmean+log,2.3,0.45825756949558405,0.626,0.04521061822182926
w_vs_tmean+log,9.0,0.6324555320336759,0.624,0.03929376540877702
map_summary_median,2.3,0.45825756949558405,0.624,0.044766058571198766
w_summary_mode,9.0,0.6324555320336759,0.623,0.031000000000000028
w_vs_mode+log,9.0,0.6324555320336759,0.623,0.03465544690232694
pp_median,9.0,0.6324555320336759,0.623,0.039509492530276816
w_pp_mode,9.0,0.6324555320336759,0.623,0.04267317658670372
w_summary_median,9.0,0.6324555320336759,0.623,0.04980963762164909
map_pp_mode,2.3,0.45825756949558405,0.622,0.045999999999999985
w_pp_median,9.0,0.6324555320336759,0.6219999999999999,0.039698866482558395
pp_tmean,9.0,0.6324555320336759,0.621,0.04414748010928821
w_pp_tmean,9.0,0.6324555320336759,0.621,0.043
pp_mean,9.0,0.6324555320336759,0.621,0.043
w_pp_mean,9.0,0.6324555320336759,0.621,0.043
w_vs_mean+log,9.0,0.6324555320336759,0.617,0.0422018956920184
flog,2.6,1.3564659966250536,0.617,0.0352278299076171
w_summary_mean,9.0,0.6324555320336759,0.615,0.052201532544552745
map_vs_mean+log,2.3,0.45825756949558405,0.615,0.05371219600798314
rkvs+log,4.7,2.8653097563788807,0.613,0.03132091952673168
w_summary_tmean,9.0,0.6324555320336759,0.6120000000000001,0.04686149805543992
manual+log,6.8,2.181742422927143,0.6120000000000001,0.04812483766206385
log,100.0,0.0,0.612,0.047707441767506256
map_summary_mean,2.3,0.45825756949558405,0.607,0.05848931526355903
apls+nc,5.3,2.3685438564654024,0.606,0.036932370625238777
apls+log,5.7,2.5317977802344322,0.605,0.04031128874149273
fnc,100.0,0.0,0.6039999999999999,0.041761226035642196
flda,3.9,1.3,0.6020000000000001,0.04044749683231337
mdc,100.0,0.0,0.6000000000000001,0.04242640687119285
pls+log,4.2,1.8330302779823362,0.6,0.04816637831516919
fpca+log,6.4,2.764054992217051,0.599,0.04721228653645151
pca+log,6.0,2.4899799195977463,0.5970000000000001,0.04290687590584987
pls+nc,3.1,2.2561028345356955,0.5930000000000001,0.03822302970723277
pca+qda,3.6,1.2,0.583,0.0469148164229596
lda,100.0,0.0,0.5589999999999999,0.03961060464067672
fknn,100.0,0.0,0.538,0.04894895300208166
qda,100.0,0.0,0.53,0.0
