*** Bayesian RKHS-based Functional Logistic Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
Model type: BM(0, 1) + BM(m(t), 1)
Noise: 10%

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: Poisson(3)
Prior beta: t(df=5, scale=2.5)
Transform sigma: True
Min. distance tau: 1
Prediction noise: False

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 1

-- RESULTS REFERENCE METHODS --
Mean split execution time: 197.277±2.822 s
Total execution time: 32.880 min

 Estimator  Mean features  SD features  Mean Acc  SD Acc
      flog            2.6       1.3565     0.617  0.0352
  rkvs+log            4.7       2.8653     0.613  0.0313
manual+log            6.8       2.1817     0.612  0.0481
       log          100.0       0.0000     0.612  0.0477
   apls+nc            5.3       2.3685     0.606  0.0369
  apls+log            5.7       2.5318     0.605  0.0403
       fnc          100.0       0.0000     0.604  0.0418
      flda            3.9       1.3000     0.602  0.0404
       mdc          100.0       0.0000     0.600  0.0424
   pls+log            4.2       1.8330     0.600  0.0482
  fpca+log            6.4       2.7641     0.599  0.0472
   pca+log            6.0       2.4900     0.597  0.0429
    pls+nc            3.1       2.2561     0.593  0.0382
   pca+qda            3.6       1.2000     0.583  0.0469
       lda          100.0       0.0000     0.559  0.0396
      fknn          100.0       0.0000     0.538  0.0489
       qda          100.0       0.0000     0.530  0.0000

-- RESULTS ERYN METHODS--
Mean split execution time: 404.531±10.897 s
Total execution time: 67.422 min

         Estimator  Mean features  SD features  Mean Acc  SD Acc
   w_vs_median+log            9.0       0.6325     0.633  0.0374
 map_vs_median+log            2.3       0.4583     0.632  0.0371
           pp_mode            9.0       0.6325     0.630  0.0438
   map_vs_mode+log            2.3       0.4583     0.630  0.0245
     map_pp_median            2.3       0.4583     0.629  0.0404
  map_summary_mode            2.3       0.4583     0.627  0.0303
 map_summary_tmean            2.3       0.4583     0.626  0.0484
      map_pp_tmean            2.3       0.4583     0.626  0.0441
       map_pp_mean            2.3       0.4583     0.626  0.0461
  map_vs_tmean+log            2.3       0.4583     0.626  0.0452
map_summary_median            2.3       0.4583     0.624  0.0448
    w_vs_tmean+log            9.0       0.6325     0.624  0.0393
    w_summary_mode            9.0       0.6325     0.623  0.0310
     w_vs_mode+log            9.0       0.6325     0.623  0.0347
         pp_median            9.0       0.6325     0.623  0.0395
         w_pp_mode            9.0       0.6325     0.623  0.0427
  w_summary_median            9.0       0.6325     0.623  0.0498
       map_pp_mode            2.3       0.4583     0.622  0.0460
       w_pp_median            9.0       0.6325     0.622  0.0397
         w_pp_mean            9.0       0.6325     0.621  0.0430
           pp_mean            9.0       0.6325     0.621  0.0430
          pp_tmean            9.0       0.6325     0.621  0.0441
        w_pp_tmean            9.0       0.6325     0.621  0.0430
     w_vs_mean+log            9.0       0.6325     0.617  0.0422
    w_summary_mean            9.0       0.6325     0.615  0.0522
   map_vs_mean+log            2.3       0.4583     0.615  0.0537
   w_summary_tmean            9.0       0.6325     0.612  0.0469
  map_summary_mean            2.3       0.4583     0.607  0.0585
