Estimator,Mean features,SD features,Mean Acc,SD Acc
pls+log,3.4,1.2806248474865698,0.8104477611940298,0.042765817259386274
log,128.0,0.0,0.808955223880597,0.052046554549739395
rkvs+log,4.9,1.972308292331602,0.8044776119402984,0.04597887104701304
fknn,128.0,0.0,0.7955223880597015,0.034715532386904495
w_pp_mean,10.0,0.0,0.7925373134328358,0.03432835820895524
pca+log,8.8,1.0770329614269007,0.7925373134328358,0.04879935141573677
pp_mean,10.0,0.0,0.7925373134328358,0.03432835820895524
map_pp_mean,3.6,0.66332495807108,0.7925373134328358,0.03018469912859206
pp_tmean,10.0,0.0,0.791044776119403,0.03403508731639218
map_pp_tmean,3.6,0.66332495807108,0.791044776119403,0.028318904419418322
w_pp_tmean,10.0,0.0,0.7895522388059701,0.03232299675777271
pp_median,10.0,0.0,0.7895522388059701,0.03232299675777271
map_pp_median,3.6,0.66332495807108,0.7895522388059701,0.028670705540744097
w_vs_median+log,10.0,0.0,0.7880597014925372,0.0339039304226882
w_pp_median,10.0,0.0,0.7880597014925372,0.0339039304226882
w_vs_tmean+log,10.0,0.0,0.7850746268656716,0.0626865671641791
flog,4.2,1.5362291495737217,0.7850746268656716,0.05264236444342805
pp_mode,10.0,0.0,0.7835820895522388,0.025196929874827054
w_pp_mode,10.0,0.0,0.7835820895522387,0.034843634417697784
flda,2.7,0.45825756949558405,0.7820895522388059,0.04585758655443945
apls+nc,3.6,0.8,0.7805970149253733,0.047221767222556346
pls+nc,4.7,2.72213151776324,0.7761194029850746,0.057805721585185335
map_vs_median+log,3.6,0.66332495807108,0.7761194029850746,0.02909490849196705
w_summary_median,10.0,0.0,0.7761194029850746,0.038343977846761586
apls+log,2.4,0.8,0.7761194029850745,0.04813288207939431
map_pp_mode,3.6,0.66332495807108,0.7761194029850745,0.03201135908884661
fpca+log,8.0,1.8439088914585775,0.7686567164179104,0.04961423921968555
map_vs_tmean+log,3.6,0.66332495807108,0.764179104477612,0.07182811591352814
w_summary_mode,10.0,0.0,0.7626865671641792,0.036832724415680786
w_vs_mode+log,10.0,0.0,0.7626865671641792,0.03622286895376594
map_summary_median,3.6,0.66332495807108,0.7582089552238807,0.04157727843935557
fnc,128.0,0.0,0.755223880597015,0.06478368481853942
pca+qda,6.7,1.9000000000000001,0.7537313432835822,0.04286987049655244
w_summary_tmean,10.0,0.0,0.753731343283582,0.08580467075704364
map_vs_mode+log,3.6,0.66332495807108,0.7507462686567166,0.03778802657066316
w_vs_mean+log,10.0,0.0,0.7507462686567163,0.07611940298507464
map_summary_mode,3.6,0.66332495807108,0.7313432835820894,0.05422657350622373
manual+log,7.9,1.374772708486752,0.7298507462686568,0.046460843033651875
map_vs_mean+log,3.6,0.66332495807108,0.7283582089552239,0.07244573790753193
map_summary_tmean,3.6,0.66332495807108,0.7059701492537314,0.09440814687085652
mdc,128.0,0.0,0.7044776119402985,0.041577278439355596
w_summary_mean,10.0,0.0,0.7029850746268657,0.09497276579064497
map_summary_mean,3.6,0.66332495807108,0.6835820895522389,0.06994253441110437
lda,128.0,0.0,0.5985074626865672,0.048799351415736776
qda,128.0,0.0,0.5776119402985074,0.03406779764332338
