Estimator,Mean features,SD features,Mean Acc,SD Acc
qda,100.0,0.0,0.6100000000000001,1.1102230246251565e-16
pls+nc,2.5,2.1095023109728985,0.6100000000000001,0.03346640106136303
map_pp_mode,1.0,0.0,0.607,0.027946377224964243
fnc,100.0,0.0,0.607,0.03769615364994152
pp_mode,9.7,0.45825756949558405,0.6020000000000001,0.025612496949731396
mdc,100.0,0.0,0.602,0.03340658617698015
flda,1.0,0.0,0.6010000000000001,0.0266270539113887
w_pp_mode,9.7,0.45825756949558405,0.6010000000000001,0.027730849247724083
fpca+log,3.2,2.9933259094191533,0.599,0.02071231517720798
w_vs_mode+log,9.7,0.45825756949558405,0.5970000000000001,0.024103941586387876
w_pp_tmean,9.7,0.45825756949558405,0.5970000000000001,0.02758622844826745
pp_tmean,9.7,0.45825756949558405,0.5970000000000001,0.02758622844826745
map_vs_mode+log,1.0,0.0,0.5970000000000001,0.024103941586387876
w_pp_median,9.7,0.45825756949558405,0.597,0.023259406699226017
pp_median,9.7,0.45825756949558405,0.596,0.025768197453450242
map_pp_median,1.0,0.0,0.5959999999999999,0.02653299832284319
pp_mean,9.7,0.45825756949558405,0.595,0.029410882339705492
w_pp_mean,9.7,0.45825756949558405,0.595,0.029410882339705492
map_pp_tmean,1.0,0.0,0.5940000000000001,0.020591260281973982
w_vs_median+log,9.7,0.45825756949558405,0.594,0.03440930106817049
map_vs_median+log,1.0,0.0,0.594,0.03440930106817049
log,100.0,0.0,0.5939999999999999,0.017435595774162687
map_pp_mean,1.0,0.0,0.5930000000000001,0.024919871588754212
apls+nc,1.5,0.5,0.593,0.023685438564654028
map_summary_mode,1.0,0.0,0.592,0.030594117081556703
w_summary_mode,9.7,0.45825756949558405,0.591,0.02879236009777592
pca+log,4.0,3.521363372331802,0.59,0.02683281572999747
pls+log,3.2,2.0880613017821097,0.59,0.02898275349237887
map_vs_mean+log,1.0,0.0,0.5889999999999999,0.03832753579347359
w_vs_mean+log,9.7,0.45825756949558405,0.5889999999999999,0.03832753579347359
fknn,100.0,0.0,0.587,0.05550675634551167
w_summary_tmean,9.7,0.45825756949558405,0.587,0.027586228448267427
map_vs_tmean+log,1.0,0.0,0.587,0.022825424421026638
w_vs_tmean+log,9.7,0.45825756949558405,0.587,0.022825424421026638
w_summary_mean,9.7,0.45825756949558405,0.5850000000000001,0.0420119030752
w_summary_median,9.7,0.45825756949558405,0.5840000000000001,0.02416609194718912
map_summary_mean,1.0,0.0,0.5830000000000001,0.03822302970723277
flog,3.5,2.3769728648009427,0.5800000000000001,0.020493901531919177
map_summary_median,1.0,0.0,0.58,0.02607680962081058
manual+log,4.3,3.4655446902326914,0.58,0.02569046515733023
map_summary_tmean,1.0,0.0,0.579,0.0238537208837531
pca+qda,2.4,1.42828568570857,0.5770000000000001,0.03634556369077248
apls+log,3.7,2.685144316419511,0.571,0.029816103031751126
rkvs+log,4.4,2.870540018881465,0.5690000000000001,0.039357337308308836
lda,100.0,0.0,0.507,0.030347981810987055
