Estimator,Mean features,SD features,Mean Acc,SD Acc
w_pp_mode,10.0,0.0,0.8560000000000001,0.032619012860600184
w_vs_median+log,10.0,0.0,0.8560000000000001,0.030724582991474417
map_pp_mode,4.2,1.077032961426901,0.8550000000000001,0.03008321791298265
map_pp_median,4.2,1.077032961426901,0.8540000000000001,0.031048349392520058
map_vs_mode+log,4.2,1.077032961426901,0.8540000000000001,0.02200000000000002
w_summary_median,10.0,0.0,0.8540000000000001,0.029051678092667888
pp_median,10.0,0.0,0.8540000000000001,0.029051678092667906
w_pp_mean,10.0,0.0,0.852,0.028913664589601925
pp_mean,10.0,0.0,0.852,0.028913664589601925
pp_tmean,10.0,0.0,0.852,0.02821347195933177
map_pp_tmean,4.2,1.077032961426901,0.8510000000000002,0.03300000000000001
map_pp_mean,4.2,1.077032961426901,0.851,0.03448187929913333
pp_mode,10.0,0.0,0.851,0.028089143810376277
w_pp_median,10.0,0.0,0.851,0.027730849247724097
w_pp_tmean,10.0,0.0,0.851,0.027730849247724097
fknn,100.0,0.0,0.851,0.03269556544854364
w_vs_mode+log,10.0,0.0,0.85,0.028635642126552695
log,100.0,0.0,0.849,0.03080584360149873
w_summary_tmean,10.0,0.0,0.849,0.03207802986469087
rkvs+log,4.4,3.006659275674582,0.8480000000000001,0.023999999999999983
fpca+log,7.7,2.8301943396169813,0.8470000000000001,0.030016662039607272
pls+log,3.1,1.9209372712298547,0.8470000000000001,0.03407345007480162
w_summary_mode,10.0,0.0,0.8469999999999999,0.029
flda,2.0,0.0,0.8460000000000001,0.030724582991474424
map_vs_median+log,4.2,1.077032961426901,0.8459999999999999,0.0272763633939717
manual+log,6.2,0.39999999999999997,0.8459999999999999,0.03199999999999997
flog,2.3,0.6403124237432849,0.845,0.03584689665786983
map_summary_median,4.2,1.077032961426901,0.844,0.017999999999999988
map_summary_mode,4.2,1.077032961426901,0.842,0.02181742422927143
pca+log,8.2,2.315167380558045,0.842,0.032496153618543834
w_summary_mean,10.0,0.0,0.8409999999999999,0.026248809496813363
pca+qda,2.8,0.6,0.8390000000000001,0.03419064199455752
w_vs_tmean+log,10.0,0.0,0.833,0.03899999999999999
w_vs_mean+log,10.0,0.0,0.8299999999999998,0.034641016151377525
apls+log,2.3,0.45825756949558405,0.8290000000000001,0.04109744517606903
map_vs_tmean+log,4.2,1.077032961426901,0.828,0.03515679166249387
map_summary_tmean,4.2,1.077032961426901,0.828,0.03249615361854383
map_vs_mean+log,4.2,1.077032961426901,0.8230000000000001,0.033181320046074096
apls+nc,2.1,0.5385164807134504,0.819,0.03562302626111374
pls+nc,3.6,2.615339366124404,0.8160000000000001,0.038262252939417964
fnc,100.0,0.0,0.8140000000000001,0.034409301068170486
mdc,100.0,0.0,0.804,0.0335261092284804
map_summary_mean,4.2,1.077032961426901,0.8039999999999999,0.031048349392520033
lda,100.0,0.0,0.694,0.03199999999999999
qda,100.0,0.0,0.51,0.0
