Estimator,Mean features,SD features,Mean Acc,SD Acc
pls+nc,1.9,1.2206555615733703,0.623,0.04172529209005013
mdc,100.0,0.0,0.619,0.04805205510693586
pca+qda,2.0,0.7745966692414834,0.615,0.03201562118716425
fnc,100.0,0.0,0.6140000000000001,0.044766058571198766
qda,100.0,0.0,0.6100000000000001,1.1102230246251565e-16
flda,1.2,0.6000000000000001,0.6090000000000001,0.04928488612140644
w_summary_mode,10.0,0.0,0.607,0.02830194339616984
w_summary_median,10.0,0.0,0.605,0.027294688127912366
w_pp_mode,10.0,0.0,0.603,0.029681644159311658
pp_mode,10.0,0.0,0.6020000000000001,0.030594117081556706
flog,3.8,2.5612496949731396,0.602,0.0373630833845388
map_summary_mean,1.0,0.0,0.601,0.02879236009777593
pp_median,10.0,0.0,0.6,0.02683281572999748
pp_tmean,10.0,0.0,0.5999999999999999,0.0260768096208106
w_vs_median+log,10.0,0.0,0.599,0.028442925306655785
w_pp_mean,10.0,0.0,0.599,0.025079872407968908
map_summary_mode,1.0,0.0,0.599,0.027730849247724083
map_vs_median+log,1.0,0.0,0.599,0.028442925306655785
pp_mean,10.0,0.0,0.599,0.025079872407968908
map_pp_median,1.0,0.0,0.599,0.0277308492477241
w_pp_median,10.0,0.0,0.599,0.0277308492477241
w_pp_tmean,10.0,0.0,0.599,0.025079872407968908
map_pp_mode,1.0,0.0,0.5980000000000001,0.03218695387886215
map_pp_tmean,1.0,0.0,0.5980000000000001,0.026758176320519307
w_summary_tmean,10.0,0.0,0.5980000000000001,0.03026549190084312
map_summary_median,1.0,0.0,0.598,0.021817424229271423
map_pp_mean,1.0,0.0,0.597,0.02570992026436488
map_summary_tmean,1.0,0.0,0.597,0.028301943396169805
map_vs_tmean+log,1.0,0.0,0.596,0.023323807579381187
w_summary_mean,10.0,0.0,0.595,0.02941088233970547
w_vs_tmean+log,10.0,0.0,0.595,0.022022715545545225
map_vs_mode+log,1.0,0.0,0.5930000000000001,0.02238302928559938
w_vs_mode+log,10.0,0.0,0.5930000000000001,0.02238302928559938
pca+log,3.4,2.835489375751565,0.5930000000000001,0.027221315177632384
fpca+log,3.6,2.870540018881465,0.5920000000000001,0.03399999999999998
map_vs_mean+log,1.0,0.0,0.5900000000000001,0.020976176963403013
w_vs_mean+log,10.0,0.0,0.5900000000000001,0.020976176963403013
pls+log,3.6,3.0724582991474434,0.5890000000000001,0.03645545226711636
rkvs+log,5.3,2.4919871588754225,0.5860000000000001,0.026153393661244015
apls+log,3.3,2.9342801502242417,0.5850000000000001,0.033241540277189306
manual+log,5.4,3.0397368307141326,0.585,0.030083217912982643
log,100.0,0.0,0.5770000000000001,0.038999999999999986
fknn,100.0,0.0,0.5760000000000001,0.03261901286060016
apls+nc,2.2,1.9390719429665315,0.569,0.047212286536451493
lda,100.0,0.0,0.518,0.028565713714171402
