Estimator,Mean features,SD features,Mean Acc,SD Acc
map_summary_median,2.0,0.0,0.85,0.017888543819998333
manual+log,8.4,1.5620499351813308,0.85,0.011832159566199242
map_summary_tmean,2.0,0.0,0.849,0.018681541692269422
fnc,100.0,0.0,0.8479999999999999,0.014000000000000014
log,100.0,0.0,0.8479999999999999,0.015362291495737231
map_pp_mode,2.0,0.0,0.8479999999999999,0.01326649916142161
w_summary_median,10.0,0.0,0.8470000000000001,0.016763054614240228
pp_median,10.0,0.0,0.8469999999999999,0.01100000000000001
fpca+log,2.1,1.5132745950421556,0.8469999999999999,0.014177446878757837
w_pp_median,10.0,0.0,0.8469999999999999,0.01100000000000001
apls+nc,1.4,0.48989794855663565,0.8469999999999999,0.014177446878757837
pca+log,1.8,1.1661903789690602,0.8469999999999999,0.016155494421403526
pp_mean,10.0,0.0,0.8459999999999999,0.011135528725660053
pp_tmean,10.0,0.0,0.8459999999999999,0.011135528725660053
w_vs_tmean+log,10.0,0.0,0.8459999999999999,0.014282856857085711
map_pp_mean,2.0,0.0,0.8459999999999999,0.012806248474865708
w_pp_mode,10.0,0.0,0.8459999999999999,0.011135528725660053
w_pp_tmean,10.0,0.0,0.8459999999999999,0.011135528725660053
w_pp_mean,10.0,0.0,0.8459999999999999,0.011135528725660053
map_pp_median,2.0,0.0,0.845,0.012041594578792307
w_vs_median+log,10.0,0.0,0.845,0.016278820596099697
map_vs_tmean+log,2.0,0.0,0.845,0.0229128784747792
map_summary_mean,2.0,0.0,0.845,0.014317821063276366
map_vs_median+log,2.0,0.0,0.844,0.018547236990991405
w_summary_tmean,10.0,0.0,0.844,0.012806248474865708
pls+log,3.2,1.8867962264113207,0.844,0.020591260281973993
apls+log,1.3,0.45825756949558405,0.844,0.01200000000000001
map_pp_tmean,2.0,0.0,0.844,0.01200000000000001
pp_mode,10.0,0.0,0.844,0.012806248474865708
w_summary_mean,10.0,0.0,0.843,0.015524174696260037
map_vs_mean+log,2.0,0.0,0.842,0.023579652245103177
w_vs_mean+log,10.0,0.0,0.841,0.019209372712298545
pca+qda,1.6,0.66332495807108,0.8400000000000001,0.01843908891458577
rkvs+log,5.9,2.773084924772409,0.8379999999999999,0.02561249694973138
flog,1.1,0.3,0.837,0.023685438564654007
fknn,100.0,0.0,0.834,0.027276363393971697
flda,2.3,0.6403124237432849,0.8300000000000001,0.028635642126552695
map_vs_mode+log,2.0,0.0,0.8299999999999998,0.022360679774997883
w_vs_mode+log,10.0,0.0,0.8299999999999998,0.022360679774997883
pls+nc,1.8,0.4,0.8280000000000001,0.02227105745132007
map_summary_mode,2.0,0.0,0.827,0.022825424421026627
w_summary_mode,10.0,0.0,0.8240000000000001,0.0237486841740758
mdc,100.0,0.0,0.8219999999999998,0.021817424229271406
lda,100.0,0.0,0.6209999999999999,0.06594694837519018
qda,100.0,0.0,0.51,0.0
