*** Bayesian RKHS-based Functional Logistic Regression with RJMCMC ***

-- GENERAL INFORMATION --
Random seed: 2024
Train/test splits: 10

-- DATASET GENERATION --
Total samples: 300
Train size: 200
Grid size: 100
X ~ GP(0, fractional_brownian_kernel)
Model type: RKHS
Noise: 10%

-- BAYESIAN RKHS MODEL --
Max. number of components (p): 10
Prior p: U[1, 10]
Prior beta: t(df=5, scale=2.5)
Transform sigma: True
Min. distance tau: 1
Prediction noise: False

-- ERYN SAMPLER --
Walkers: 64
Temps: 10
Burn: 4000
Steps: 1000
Num try: 2

-- RESULTS REFERENCE METHODS --
Mean split execution time: 161.401±4.893 s
Total execution time: 26.900 min

 Estimator  Mean features  SD features  Mean Acc  SD Acc
manual+log            8.4       1.5620     0.850  0.0118
       log          100.0       0.0000     0.848  0.0154
       fnc          100.0       0.0000     0.848  0.0140
  fpca+log            2.1       1.5133     0.847  0.0142
   apls+nc            1.4       0.4899     0.847  0.0142
   pca+log            1.8       1.1662     0.847  0.0162
  apls+log            1.3       0.4583     0.844  0.0120
   pls+log            3.2       1.8868     0.844  0.0206
   pca+qda            1.6       0.6633     0.840  0.0184
  rkvs+log            5.9       2.7731     0.838  0.0256
      flog            1.1       0.3000     0.837  0.0237
      fknn          100.0       0.0000     0.834  0.0273
      flda            2.3       0.6403     0.830  0.0286
    pls+nc            1.8       0.4000     0.828  0.0223
       mdc          100.0       0.0000     0.822  0.0218
       lda          100.0       0.0000     0.621  0.0659
       qda          100.0       0.0000     0.510  0.0000

-- RESULTS ERYN METHODS--
Mean split execution time: 555.054±29.641 s
Total execution time: 92.509 min

         Estimator  Mean features  SD features  Mean Acc  SD Acc
map_summary_median            2.0          0.0     0.850  0.0179
 map_summary_tmean            2.0          0.0     0.849  0.0187
       map_pp_mode            2.0          0.0     0.848  0.0133
  w_summary_median           10.0          0.0     0.847  0.0168
       w_pp_median           10.0          0.0     0.847  0.0110
         pp_median           10.0          0.0     0.847  0.0110
         w_pp_mean           10.0          0.0     0.846  0.0111
           pp_mean           10.0          0.0     0.846  0.0111
          pp_tmean           10.0          0.0     0.846  0.0111
    w_vs_tmean+log           10.0          0.0     0.846  0.0143
       map_pp_mean            2.0          0.0     0.846  0.0128
         w_pp_mode           10.0          0.0     0.846  0.0111
        w_pp_tmean           10.0          0.0     0.846  0.0111
  map_summary_mean            2.0          0.0     0.845  0.0143
  map_vs_tmean+log            2.0          0.0     0.845  0.0229
     map_pp_median            2.0          0.0     0.845  0.0120
   w_vs_median+log           10.0          0.0     0.845  0.0163
           pp_mode           10.0          0.0     0.844  0.0128
      map_pp_tmean            2.0          0.0     0.844  0.0120
   w_summary_tmean           10.0          0.0     0.844  0.0128
 map_vs_median+log            2.0          0.0     0.844  0.0185
    w_summary_mean           10.0          0.0     0.843  0.0155
   map_vs_mean+log            2.0          0.0     0.842  0.0236
     w_vs_mean+log           10.0          0.0     0.841  0.0192
     w_vs_mode+log           10.0          0.0     0.830  0.0224
   map_vs_mode+log            2.0          0.0     0.830  0.0224
  map_summary_mode            2.0          0.0     0.827  0.0228
    w_summary_mode           10.0          0.0     0.824  0.0237
