Estimator,Mean features,SD features,Mean Acc,SD Acc
qda,100.0,0.0,0.62,0.0
mdc,100.0,0.0,0.615,0.029410882339705496
map_pp_mode,1.0,0.0,0.6100000000000001,0.020493901531919215
map_summary_median,1.0,0.0,0.61,0.028635642126552733
fnc,100.0,0.0,0.6090000000000001,0.029478805945967357
map_summary_mean,1.0,0.0,0.6079999999999999,0.021817424229271448
pls+nc,3.7,2.6095976701399777,0.6070000000000001,0.03494281041931231
map_vs_median+log,1.0,0.0,0.607,0.031000000000000007
map_vs_mode+log,1.0,0.0,0.606,0.018000000000000016
w_vs_median+log,10.0,0.0,0.6050000000000001,0.03324154027718932
pp_mode,10.0,0.0,0.6040000000000001,0.026532998322843206
w_summary_mean,10.0,0.0,0.6020000000000001,0.032802438933713464
map_summary_tmean,1.0,0.0,0.6020000000000001,0.019390719429665335
w_vs_mode+log,10.0,0.0,0.6010000000000001,0.02662705391138869
apls+nc,1.1,0.3,0.6010000000000001,0.028089143810376284
flog,1.8,1.5362291495737217,0.6,0.03130495168499706
fpca+log,3.4,2.7640549922170505,0.6,0.03872983346207418
w_summary_median,10.0,0.0,0.6,0.03577708763999663
pca+qda,2.4,2.1071307505705477,0.599,0.04323193264243458
map_summary_mode,1.0,0.0,0.599,0.014456832294800973
map_vs_tmean+log,1.0,0.0,0.599,0.015132745950421569
pca+log,2.5,2.6551836094703507,0.598,0.036551333764994136
map_pp_median,1.0,0.0,0.5970000000000001,0.024515301344262528
map_pp_mean,1.0,0.0,0.597,0.020518284528683182
map_vs_mean+log,1.0,0.0,0.597,0.014177446878757837
w_pp_mode,10.0,0.0,0.596,0.033526109228480414
apls+log,2.3,2.3259406699226015,0.595,0.025787593916455256
w_pp_tmean,10.0,0.0,0.5940000000000001,0.022000000000000002
w_summary_tmean,10.0,0.0,0.5940000000000001,0.03611094017053558
manual+log,3.9,1.972308292331602,0.5930000000000001,0.019000000000000017
pp_median,10.0,0.0,0.5930000000000001,0.021
w_vs_tmean+log,10.0,0.0,0.5930000000000001,0.026095976701399775
pls+log,1.5,0.6708203932499369,0.593,0.019519221295943134
flda,1.3,0.45825756949558405,0.593,0.03226453160980335
rkvs+log,5.9,3.0479501308256345,0.593,0.03522782990761707
map_pp_tmean,1.0,0.0,0.593,0.02325940669922601
pp_tmean,10.0,0.0,0.593,0.021931712199461315
w_pp_median,10.0,0.0,0.5920000000000001,0.02181742422927143
pp_mean,10.0,0.0,0.5920000000000001,0.02315167380558044
w_pp_mean,10.0,0.0,0.5920000000000001,0.02315167380558044
w_vs_mean+log,10.0,0.0,0.591,0.023430749027719945
log,100.0,0.0,0.591,0.023853720883753114
w_summary_mode,10.0,0.0,0.5879999999999999,0.02181742422927142
fknn,100.0,0.0,0.564,0.041521078984053376
lda,100.0,0.0,0.541,0.0391024295920343
