Estimator,Mean features,SD features,Mean Acc,SD Acc
pp_mode,10.0,0.0,0.8320000000000001,0.026758176320519286
w_vs_tmean+log,10.0,0.0,0.8319999999999999,0.029257477676655576
fpca+log,4.7,2.1,0.8300000000000001,0.024494897427831754
w_pp_mode,10.0,0.0,0.829,0.025475478405713972
map_pp_mean,5.3,0.6403124237432849,0.829,0.02299999999999998
w_vs_median+log,10.0,0.0,0.8280000000000001,0.01939071942966529
map_pp_median,5.3,0.6403124237432849,0.828,0.02399999999999998
w_pp_median,10.0,0.0,0.828,0.023151673805580433
map_pp_tmean,5.3,0.6403124237432849,0.828,0.02399999999999998
map_vs_tmean+log,5.3,0.6403124237432849,0.828,0.03458323293158115
pp_tmean,10.0,0.0,0.828,0.02399999999999998
pp_median,10.0,0.0,0.828,0.023151673805580433
w_pp_mean,10.0,0.0,0.828,0.02399999999999998
pp_mean,10.0,0.0,0.828,0.02399999999999998
w_pp_tmean,10.0,0.0,0.828,0.02399999999999998
w_summary_median,10.0,0.0,0.827,0.024919871588754212
map_summary_median,5.3,0.6403124237432849,0.826,0.022449944320643636
w_vs_mean+log,10.0,0.0,0.825,0.031064449134018117
map_pp_mode,5.3,0.6403124237432849,0.825,0.02499999999999998
w_summary_tmean,10.0,0.0,0.8240000000000001,0.024576411454889
pca+log,4.3,1.676305461424021,0.8240000000000001,0.01907878402833889
log,100.0,0.0,0.8240000000000001,0.02154065922853799
map_vs_median+log,5.3,0.6403124237432849,0.8230000000000001,0.02865309756378879
w_summary_mean,10.0,0.0,0.8220000000000001,0.020880613017821077
manual+log,6.3,0.6403124237432849,0.8210000000000001,0.01813835714721703
pca+qda,3.3,1.2688577540449522,0.8180000000000002,0.02561249694973138
map_vs_mean+log,5.3,0.6403124237432849,0.818,0.025612496949731372
pls+log,4.3,2.794637722496424,0.817,0.02193171219946129
apls+nc,2.4,0.48989794855663565,0.8160000000000001,0.0269072480941474
apls+log,2.6,0.48989794855663565,0.8160000000000001,0.027276363393971697
map_summary_tmean,5.3,0.6403124237432849,0.8160000000000001,0.03136877428271623
flda,2.8,1.1661903789690602,0.8130000000000001,0.028999999999999984
map_summary_mean,5.3,0.6403124237432849,0.812,0.013999999999999962
flog,3.6,2.2,0.8089999999999999,0.02773084924772408
w_vs_mode+log,10.0,0.0,0.806,0.024576411454888997
w_summary_mode,10.0,0.0,0.8030000000000002,0.02451530134426251
map_vs_mode+log,5.3,0.6403124237432849,0.8029999999999999,0.02609597670139976
fknn,100.0,0.0,0.799,0.024269322199023172
pls+nc,2.6,1.2,0.7930000000000001,0.029
map_summary_mode,5.3,0.6403124237432849,0.793,0.02865309756378881
rkvs+log,7.4,2.65329983228432,0.7899999999999999,0.0316227766016838
fnc,100.0,0.0,0.736,0.03498571136907181
mdc,100.0,0.0,0.735,0.03667424164178451
lda,100.0,0.0,0.6240000000000001,0.04152107898405339
qda,100.0,0.0,0.51,0.0
