Estimator,Mean features,SD features,Mean Acc,SD Acc
w_summary_mode,10.0,0.0,0.6319999999999999,0.030594117081556717
pls+nc,2.6,1.2,0.629,0.03645545226711638
fnc,100.0,0.0,0.625,0.04031128874149276
manual+log,6.3,2.9681644159311658,0.6210000000000001,0.04392038251199551
pls+log,5.0,3.3763886032268267,0.6210000000000001,0.04346262762420147
pca+qda,2.8,1.3266499161421599,0.6180000000000001,0.04467661580737734
pca+log,5.3,3.195309061734091,0.616,0.036386810797320514
apls+nc,1.5,1.2041594578792296,0.615,0.023345235059857524
fpca+log,5.8,2.925747767665559,0.6140000000000001,0.04152107898405339
apls+log,5.4,3.5270384177096794,0.612,0.04142463035441596
flog,5.3,2.9342801502242417,0.612,0.03155946767611901
map_vs_mode+log,1.4,0.48989794855663565,0.611,0.015132745950421569
map_summary_mode,1.4,0.48989794855663565,0.611,0.024677925358506155
rkvs+log,6.4,2.8,0.611,0.03360059523282289
pp_median,10.0,0.0,0.6100000000000001,0.028982753492378877
qda,100.0,0.0,0.6100000000000001,1.1102230246251565e-16
log,100.0,0.0,0.609,0.03672873534441392
pp_tmean,10.0,0.0,0.609,0.030149626863362672
w_vs_mode+log,10.0,0.0,0.608,0.02315167380558047
w_pp_mean,10.0,0.0,0.608,0.036551333764994136
w_pp_tmean,10.0,0.0,0.608,0.031559467676119
pp_mean,10.0,0.0,0.608,0.036551333764994136
w_pp_median,10.0,0.0,0.607,0.030016662039607272
map_vs_tmean+log,1.4,0.48989794855663565,0.604,0.02615339366124404
w_vs_tmean+log,10.0,0.0,0.604,0.029051678092667895
mdc,100.0,0.0,0.603,0.04243819034784587
w_vs_median+log,10.0,0.0,0.601,0.03112876483254676
w_pp_mode,10.0,0.0,0.599,0.03300000000000001
map_pp_mean,1.4,0.48989794855663565,0.599,0.03269556544854363
map_summary_mean,1.4,0.48989794855663565,0.599,0.025865034312755122
map_vs_mean+log,1.4,0.48989794855663565,0.599,0.028792360097775933
map_vs_median+log,1.4,0.48989794855663565,0.599,0.026999999999999996
map_pp_tmean,1.4,0.48989794855663565,0.5980000000000001,0.033406586176980134
pp_mode,10.0,0.0,0.5980000000000001,0.02561249694973139
w_summary_median,10.0,0.0,0.5970000000000001,0.02794637722496424
map_pp_median,1.4,0.48989794855663565,0.597,0.03407345007480164
w_summary_mean,10.0,0.0,0.596,0.026532998322843195
map_summary_tmean,1.4,0.48989794855663565,0.595,0.030083217912982643
w_vs_mean+log,10.0,0.0,0.595,0.03471310991541956
map_pp_mode,1.4,0.48989794855663565,0.595,0.0304138126514911
flda,1.8,1.2489995996796797,0.595,0.048425200051213015
w_summary_tmean,10.0,0.0,0.592,0.026381811916545837
lda,100.0,0.0,0.591,0.033301651610693414
map_summary_median,1.4,0.48989794855663565,0.5900000000000001,0.027568097504180437
fknn,100.0,0.0,0.5780000000000001,0.04093897898091743
