Estimator,Mean features,SD features,Mean Acc,SD Acc
map_summary_mean,5.5,0.6708203932499369,0.8779999999999999,0.03682390527904393
w_summary_mean,10.0,0.0,0.877,0.039000000000000014
map_pp_mode,5.5,0.6708203932499369,0.877,0.031320919526731654
map_vs_mode+log,5.5,0.6708203932499369,0.876,0.044090815370097215
pp_tmean,10.0,0.0,0.876,0.03469870314579496
w_pp_tmean,10.0,0.0,0.876,0.03469870314579496
w_pp_mean,10.0,0.0,0.875,0.03354101966249685
map_pp_mean,5.5,0.6708203932499369,0.875,0.033541019662496854
map_pp_median,5.5,0.6708203932499369,0.875,0.033541019662496854
pp_mean,10.0,0.0,0.875,0.03354101966249685
map_pp_tmean,5.5,0.6708203932499369,0.875,0.033541019662496854
pp_mode,10.0,0.0,0.875,0.03471310991541957
pp_median,10.0,0.0,0.875,0.03500000000000001
w_vs_mode+log,10.0,0.0,0.875,0.04295346318982907
w_pp_median,10.0,0.0,0.875,0.03500000000000001
w_pp_mode,10.0,0.0,0.874,0.03469870314579495
map_summary_tmean,5.5,0.6708203932499369,0.874,0.03800000000000001
w_summary_tmean,10.0,0.0,0.873,0.039000000000000014
rkvs+log,5.6,3.0066592756745814,0.8719999999999999,0.04069397989875163
w_vs_median+log,10.0,0.0,0.8710000000000001,0.04482186966202995
flog,4.0,2.0976176963403033,0.8710000000000001,0.03269556544854364
map_vs_median+log,5.5,0.6708203932499369,0.8699999999999999,0.04289522117905445
w_vs_tmean+log,10.0,0.0,0.869,0.042296571965113224
manual+log,6.7,1.3453624047073711,0.869,0.03207802986469089
pca+log,5.3,0.6403124237432849,0.868,0.03310589071449371
log,100.0,0.0,0.868,0.03600000000000002
pls+nc,3.0,1.8973665961010275,0.867,0.039
w_vs_mean+log,10.0,0.0,0.867,0.04124318125460257
w_summary_median,10.0,0.0,0.867,0.0433704968844029
map_vs_tmean+log,5.5,0.6708203932499369,0.866,0.04223742416388577
map_vs_mean+log,5.5,0.6708203932499369,0.866,0.042000000000000016
fpca+log,4.9,1.044030650891055,0.866,0.03583294573433783
pls+log,3.8,1.2489995996796797,0.8640000000000001,0.037469987990390405
fnc,100.0,0.0,0.8639999999999999,0.046086874487211646
map_summary_median,5.5,0.6708203932499369,0.8639999999999999,0.03903844259188628
apls+log,3.0,1.5491933384829668,0.857,0.039
pca+qda,2.5,0.9219544457292888,0.8539999999999999,0.03322649545167229
apls+nc,3.0,1.4142135623730951,0.8539999999999999,0.03555277766926237
flda,3.2,2.821347195933177,0.8539999999999999,0.03852272056851645
fknn,100.0,0.0,0.8469999999999999,0.041243181254602544
w_summary_mode,10.0,0.0,0.844,0.041036569057366384
mdc,100.0,0.0,0.8390000000000001,0.04459820624195551
lda,100.0,0.0,0.8230000000000001,0.027586228448267424
map_summary_mode,5.5,0.6708203932499369,0.8220000000000001,0.04770744176750624
qda,100.0,0.0,0.5,0.0
