Estimator,Mean features,SD features,Mean Acc,SD Acc
w_vs_mean+log,10.0,0.0,0.9612903225806452,0.028121928668004368
w_vs_tmean+log,10.0,0.0,0.9612903225806452,0.028121928668004365
apls+nc,2.9,2.118962010041709,0.9612903225806452,0.028121928668004368
log,31.0,0.0,0.9612903225806452,0.028121928668004368
pca+log,2.4,0.9165151389911681,0.9580645161290322,0.03548387096774195
pca+qda,2.0,0.0,0.9548387096774192,0.029565004483586087
fpca+log,2.8,0.8717797887081347,0.9548387096774192,0.0328969000876954
apls+log,4.0,2.898275349237888,0.9516129032258064,0.0360656125403192
pp_median,10.0,0.0,0.9516129032258064,0.0360656125403192
w_vs_median+log,10.0,0.0,0.9516129032258064,0.03305467989019227
w_pp_median,10.0,0.0,0.9516129032258064,0.0360656125403192
map_pp_median,5.0,0.0,0.9516129032258064,0.0360656125403192
w_pp_mean,10.0,0.0,0.9483870967741936,0.04131047895117968
w_pp_tmean,10.0,0.0,0.9483870967741936,0.04131047895117968
pp_mean,10.0,0.0,0.9483870967741936,0.04131047895117968
fknn,31.0,0.0,0.9483870967741936,0.035921060405355
w_vs_mode+log,10.0,0.0,0.9483870967741936,0.04607373179705065
pp_tmean,10.0,0.0,0.9483870967741936,0.04131047895117968
map_vs_mode+log,5.0,0.0,0.9483870967741936,0.04607373179705065
pls+log,3.1,1.1357816691600546,0.9451612903225808,0.03241895361651901
map_pp_tmean,5.0,0.0,0.9451612903225808,0.04573369960889622
map_pp_mean,5.0,0.0,0.9451612903225808,0.04573369960889622
map_vs_mean+log,5.0,0.0,0.9451612903225808,0.045733699608896214
map_vs_tmean+log,5.0,0.0,0.9451612903225808,0.045733699608896214
map_summary_mean,5.0,0.0,0.9419354838709679,0.05161290322580645
w_summary_mean,10.0,0.0,0.9419354838709679,0.05161290322580645
flda,4.0,2.449489742783178,0.9387096774193548,0.050902367219546774
map_vs_median+log,5.0,0.0,0.9387096774193548,0.046634942886454714
w_pp_mode,10.0,0.0,0.935483870967742,0.04561979233461597
map_pp_mode,5.0,0.0,0.935483870967742,0.04561979233461597
manual+log,4.8,1.9390719429665317,0.9322580645161291,0.05483870967741935
pp_mode,10.0,0.0,0.9322580645161291,0.04663494288645472
rkvs+log,5.6,2.727636339397171,0.9290322580645161,0.04955577901850715
flog,3.5,1.6278820596099706,0.9258064516129032,0.04339878724862487
map_summary_median,5.0,0.0,0.9225806451612903,0.07241917522788274
w_summary_median,10.0,0.0,0.9225806451612903,0.06797195969582413
w_summary_mode,10.0,0.0,0.9193548387096776,0.07104101788885564
map_summary_tmean,5.0,0.0,0.9129032258064516,0.07074745870793972
w_summary_tmean,10.0,0.0,0.9096774193548388,0.0673568161865197
map_summary_mode,5.0,0.0,0.906451612903226,0.09725686084955702
lda,31.0,0.0,0.893548387096774,0.054074369723355484
pls+nc,2.0,0.4472135954999579,0.8580645161290323,0.09032258064516129
fnc,31.0,0.0,0.7354838709677419,0.11702165901430359
mdc,31.0,0.0,0.6935483870967742,0.10327619737794917
qda,31.0,0.0,0.5806451612903227,1.1102230246251565e-16
