Estimator,Mean features,SD features,Mean Acc,SD Acc
manual+log,3.5,3.0083217912982647,0.6151685393258427,0.011851136578499412
pp_mean,8.4,1.0198039027185568,0.6123595505617978,0.02886569118801153
w_pp_mean,8.4,1.0198039027185568,0.6123595505617978,0.02886569118801153
pp_tmean,8.4,1.0198039027185568,0.6112359550561799,0.028067406734374824
w_pp_tmean,8.4,1.0198039027185568,0.6112359550561799,0.02917023592302735
w_pp_median,8.4,1.0198039027185568,0.6095505617977528,0.029002043818292828
map_pp_mean,1.9,0.3,0.6084269662921349,0.03087844063744111
pp_median,8.4,1.0198039027185568,0.6073033707865169,0.028805491557964642
map_pp_tmean,1.9,0.3,0.6061797752808988,0.03512471692660806
map_pp_median,1.9,0.3,0.6056179775280899,0.03825178546190831
pp_mode,8.4,1.0198039027185568,0.6056179775280899,0.03125938818706416
w_summary_mode,8.4,1.0198039027185568,0.603370786516854,0.021348314606741567
w_summary_median,8.4,1.0198039027185568,0.602808988764045,0.021910112359550572
w_pp_mode,8.4,1.0198039027185568,0.602808988764045,0.03343050684676818
map_pp_mode,1.9,0.3,0.6011235955056179,0.03956588058799779
w_vs_mean+log,8.4,1.0198039027185568,0.598876404494382,0.0393418907865429
w_vs_median+log,8.4,1.0198039027185568,0.5971910112359551,0.02117761441007952
w_vs_tmean+log,8.4,1.0198039027185568,0.5971910112359551,0.036152023692575655
w_vs_mode+log,8.4,1.0198039027185568,0.596629213483146,0.02459108834633627
flog,2.3,2.0518284528683193,0.5960674157303372,0.026043431430335422
map_summary_mode,1.9,0.3,0.5960674157303371,0.03467252612181902
w_summary_tmean,8.4,1.0198039027185568,0.5943820224719102,0.037248504391574774
map_summary_median,1.9,0.3,0.5943820224719101,0.032056949702667634
map_vs_mode+log,1.9,0.3,0.5921348314606741,0.036425988938083874
map_vs_tmean+log,1.9,0.3,0.592134831460674,0.0471508657491175
map_vs_median+log,1.9,0.3,0.5915730337078653,0.031082193693534942
w_summary_mean,8.4,1.0198039027185568,0.5910112359550562,0.04778914678232974
rkvs+log,3.5,2.9068883707497264,0.5893258426966292,0.03182473941183942
map_vs_mean+log,1.9,0.3,0.5853932584269662,0.052868720701207135
map_summary_tmean,1.9,0.3,0.5853932584269662,0.05092255817359397
map_summary_mean,1.9,0.3,0.5792134831460674,0.05278806661808704
qda,30.0,0.0,0.5786516853932583,0.028089887640449427
pca+qda,7.5,1.6881943016134133,0.5764044943820226,0.025149471107415042
lda,30.0,0.0,0.5764044943820223,0.016126629319558793
log,30.0,0.0,0.5752808988764045,0.02221766284638784
pls+log,3.9,3.1128764832546763,0.5741573033707865,0.019265649662339606
pca+log,5.3,3.1320919526731648,0.5623595505617976,0.02768813827045305
apls+log,3.6,3.4985711369071804,0.5617977528089887,0.015282551133410607
fpca+log,4.6,4.223742416388575,0.5612359550561796,0.024157303370786514
pls+nc,1.6,1.2,0.5584269662921348,0.03238996697842603
apls+nc,4.8,3.682390527904394,0.5511235955056181,0.029775280898876395
flda,4.2,3.4583232931581165,0.55,0.022951346309905054
fnc,30.0,0.0,0.55,0.03968137839642764
fknn,30.0,0.0,0.5393258426966292,0.02752235666048514
mdc,30.0,0.0,0.5264044943820224,0.02370893016405528
