Estimator,Mean features,SD features,Mean Acc,SD Acc
pca+qda,5.6,2.0099751242241783,0.642,0.019899748742132416
fknn,100.0,0.0,0.5379999999999999,0.037094473981982796
mdc,100.0,0.0,0.532,0.0040000000000000036
map_pp_mode,1.0,0.0,0.532,0.013266499161421611
w_pp_mode,9.4,0.66332495807108,0.531,0.014456832294800975
map_vs_median+log,1.0,0.0,0.53,0.0
qda,100.0,0.0,0.53,0.0
map_vs_mean+log,1.0,0.0,0.53,0.0
w_vs_mode+log,9.4,0.66332495807108,0.53,0.0
w_vs_median+log,9.4,0.66332495807108,0.53,0.0
w_vs_mean+log,9.4,0.66332495807108,0.53,0.0
w_vs_tmean+log,9.4,0.66332495807108,0.53,0.0
map_vs_tmean+log,1.0,0.0,0.53,0.0
map_vs_mode+log,1.0,0.0,0.53,0.0
pp_mode,9.4,0.66332495807108,0.5290000000000001,0.014456832294800973
map_pp_mean,1.0,0.0,0.527,0.022383029285599407
map_pp_tmean,1.0,0.0,0.526,0.0200997512422418
pp_tmean,9.4,0.66332495807108,0.524,0.023748684174075853
w_pp_mean,9.4,0.66332495807108,0.522,0.03187475490101848
pp_median,9.4,0.66332495807108,0.522,0.02088061301782112
pp_mean,9.4,0.66332495807108,0.522,0.03187475490101848
map_pp_median,1.0,0.0,0.522,0.016613247725836167
w_pp_tmean,9.4,0.66332495807108,0.5210000000000001,0.02879236009777596
w_pp_median,9.4,0.66332495807108,0.5210000000000001,0.023430749027719983
log,100.0,0.0,0.5200000000000001,0.026832815729997482
fpca+log,1.4,1.2000000000000002,0.519,0.03300000000000001
pca+log,2.0,2.04939015319192,0.5130000000000001,0.03195309061734092
apls+log,2.6,3.2310988842807027,0.5120000000000001,0.03841874542459711
manual+log,1.3,0.6403124237432849,0.5120000000000001,0.03600000000000001
map_summary_mode,1.0,0.0,0.5110000000000001,0.0336005952328229
rkvs+log,2.7,2.4103941586387903,0.5090000000000001,0.04369210454990696
pls+log,2.2,2.181742422927143,0.5070000000000001,0.03606937759374289
lda,100.0,0.0,0.506,0.0405462698654266
w_summary_mode,9.4,0.66332495807108,0.506,0.036932370625238777
flog,3.7,2.5317977802344322,0.499,0.03419064199455751
apls+nc,5.9,3.23882694814033,0.49800000000000005,0.05793099343184096
map_summary_median,1.0,0.0,0.4969999999999999,0.03348133808556643
w_summary_mean,9.4,0.66332495807108,0.491,0.05185556864985669
map_summary_mean,1.0,0.0,0.49000000000000005,0.0397492138287036
map_summary_tmean,1.0,0.0,0.4879999999999999,0.04019950248448358
w_summary_median,9.4,0.66332495807108,0.4879999999999999,0.03867815921162745
flda,4.3,3.1,0.48599999999999993,0.05919459434779497
w_summary_tmean,9.4,0.66332495807108,0.484,0.04152107898405341
pls+nc,3.1,3.014962686336267,0.4630000000000001,0.04196427051671458
fnc,100.0,0.0,0.457,0.04940647730814251
