Estimator,Mean features,SD features,Mean Acc,SD Acc
pls+log,3.4,1.2806248474865698,0.8104477611940298,0.042765817259386274
log,128.0,0.0,0.808955223880597,0.052046554549739395
w_vs_mode+log,10.0,0.0,0.8044776119402985,0.036832724415680806
rkvs+log,4.9,1.972308292331602,0.8044776119402984,0.04597887104701304
fknn,128.0,0.0,0.7955223880597015,0.034715532386904495
map_pp_mean,5.7,2.0024984394500787,0.7955223880597014,0.03204613515460281
w_pp_median,10.0,0.0,0.7940298507462686,0.04103799129811199
pca+log,8.8,1.0770329614269007,0.7925373134328358,0.04879935141573677
pp_median,10.0,0.0,0.7925373134328357,0.04297367178772527
map_pp_tmean,5.7,2.0024984394500787,0.791044776119403,0.03130772681104929
map_pp_median,5.7,2.0024984394500787,0.791044776119403,0.03130772681104929
w_pp_tmean,10.0,0.0,0.7895522388059701,0.0368327244156808
pp_tmean,10.0,0.0,0.7895522388059701,0.0368327244156808
w_pp_mean,10.0,0.0,0.7895522388059701,0.0368327244156808
pp_mean,10.0,0.0,0.7895522388059701,0.0368327244156808
w_pp_mode,10.0,0.0,0.78955223880597,0.041389327235409085
flog,4.2,1.5362291495737217,0.7850746268656716,0.05264236444342805
w_summary_median,10.0,0.0,0.7850746268656715,0.05348200855871317
pp_mode,10.0,0.0,0.782089552238806,0.03903491591230453
map_vs_median+log,5.7,2.0024984394500787,0.782089552238806,0.05003896899773196
flda,2.7,0.45825756949558405,0.7820895522388059,0.04585758655443945
apls+nc,3.6,0.8,0.7805970149253733,0.047221767222556346
map_vs_mode+log,5.7,2.0024984394500787,0.7791044776119403,0.03455473702325441
w_vs_median+log,10.0,0.0,0.7791044776119402,0.049411777185811474
map_pp_mode,5.7,2.0024984394500787,0.7791044776119402,0.03880597014925375
pls+nc,4.7,2.72213151776324,0.7761194029850746,0.057805721585185335
apls+log,2.4,0.8,0.7761194029850745,0.04813288207939431
fpca+log,8.0,1.8439088914585775,0.7686567164179104,0.04961423921968555
w_summary_mode,10.0,0.0,0.764179104477612,0.03390393042268822
map_summary_median,5.7,2.0024984394500787,0.7641791044776118,0.051616765569524124
fnc,128.0,0.0,0.755223880597015,0.06478368481853942
pca+qda,6.7,1.9000000000000001,0.7537313432835822,0.04286987049655244
w_vs_tmean+log,10.0,0.0,0.7492537313432835,0.07057665920917544
map_vs_tmean+log,5.7,2.0024984394500787,0.7462686567164178,0.06573944938968727
w_summary_tmean,10.0,0.0,0.7417910447761193,0.0706555246480276
map_summary_mode,5.7,2.0024984394500787,0.7402985074626866,0.04336071357114612
w_vs_mean+log,10.0,0.0,0.7328358208955225,0.06854305972062706
manual+log,7.9,1.374772708486752,0.7298507462686568,0.046460843033651875
mdc,128.0,0.0,0.7044776119402985,0.041577278439355596
map_vs_mean+log,5.7,2.0024984394500787,0.7,0.06521209634314472
w_summary_mean,10.0,0.0,0.6880597014925373,0.08159962347962176
map_summary_tmean,5.7,2.0024984394500787,0.6850746268656716,0.0970608387336663
map_summary_mean,5.7,2.0024984394500787,0.6567164179104478,0.09695750309798037
lda,128.0,0.0,0.5985074626865672,0.048799351415736776
qda,128.0,0.0,0.5776119402985074,0.03406779764332338
